variant,sent_mean_len,sent_std_len,tok_mean_len,tok_std_len,vocab_size,ttr,top_unigrams,flesch,distinct1,distinct2,batch_diversity,bert_f1,gpt2_ppl,mlm_ppl
variant_1_final,26.806,17.95060901473819,4.448183242557636,2.3899607741184137,2878,0.21472804595985973,"[{'token': '.', 'count': 1013, 'pct': 7.5580094008804}, {'token': ',', 'count': 671, 'pct': 5.006341863761844}, {'token': 'nyang', 'count': 317, 'pct': 2.3651421323584274}, {'token': 'nyan', 'count': 271, 'pct': 2.0219353875997914}, {'token': 'hana', 'count': 204, 'pct': 1.522047302842647}, {'token': 'lon', 'count': 201, 'pct': 1.4996642542714318}, {'token': 'dan', 'count': 199, 'pct': 1.4847422218906214}, {'token': 'that', 'count': 199, 'pct': 1.4847422218906214}, {'token': 'keu', 'count': 172, 'pct': 1.283294784749683}, {'token': 'ngon', 'count': 167, 'pct': 1.2459897037976573}]",74.29,0.17436204943700445,0.6248667377398721,0.8044545765803888,1.0,25028.236328125,25.92401885986328
variant_2_final,11.225333333333333,4.648428934119092,4.5496496020905095,2.0064925045568636,1811,0.10755434137070911,"[{'token': 'nyan', 'count': 1257, 'pct': 7.46525715643188}, {'token': '.', 'count': 1029, 'pct': 6.111177099417983}, {'token': 'saboh', 'count': 586, 'pct': 3.4802233044304547}, {'token': 'adalah', 'count': 537, 'pct': 3.189214871124837}, {'token': 'ngeun', 'count': 487, 'pct': 2.8922674902007364}, {'token': 'ulon', 'count': 473, 'pct': 2.8091222235419884}, {'token': 'ho', 'count': 429, 'pct': 2.54780852832878}, {'token': 'nakeuh', 'count': 355, 'pct': 2.1083264045611116}, {'token': 'dari', 'count': 268, 'pct': 1.5916379617531773}, {'token': 'gobnyan', 'count': 235, 'pct': 1.395652690343271}]",83.15,0.1286785920369302,0.552000512952039,0.7000360752148518,1.0,470.5086364746094,3.7087743282318115
variant_3_final,10.106666666666667,4.237210822646845,4.527110817941953,2.290292371299073,2146,0.14155672823218998,"[{'token': '.', 'count': 1352, 'pct': 8.918205804749341}, {'token': 'nyan', 'count': 560, 'pct': 3.6939313984168867}, {'token': 'lon', 'count': 537, 'pct': 3.5422163588390503}, {'token': 'nyang', 'count': 432, 'pct': 2.849604221635884}, {'token': 'dan', 'count': 376, 'pct': 2.480211081794195}, {'token': 'keu', 'count': 319, 'pct': 2.104221635883905}, {'token': 'that', 'count': 299, 'pct': 1.9722955145118732}, {'token': 'jih', 'count': 218, 'pct': 1.437994722955145}, {'token': 'ka', 'count': 204, 'pct': 1.345646437994723}, {'token': 'bak', 'count': 182, 'pct': 1.2005277044854883}]",82.34,0.12471174820816454,0.5484916479680878,0.7067953242369265,1.0,468.78558349609375,3.5841827392578125
variant_4_final,15.753333333333334,6.646439314065506,5.230596699111299,2.8342150987244423,731,0.03093525179856115,"[{'token': '.', 'count': 2785, 'pct': 11.785865425306813}, {'token': 'dan', 'count': 838, 'pct': 3.54633939906898}, {'token': ',', 'count': 526, 'pct': 2.225983918747355}, {'token': 'na', 'count': 476, 'pct': 2.014388489208633}, {'token': 'sentence', 'count': 455, 'pct': 1.9255184088023698}, {'token': 'nang', 'count': 379, 'pct': 1.6038933559035125}, {'token': 'semangat', 'count': 277, 'pct': 1.1722386796445197}, {'token': 'menarik', 'count': 275, 'pct': 1.1637748624629707}, {'token': 'Acehnese', 'count': 252, 'pct': 1.0664409648751587}, {'token': 'a', 'count': 220, 'pct': 0.9310198899703767}]",62.64,0.025549196972494,0.06468763845813026,0.8585595943775293,1.0,651.460693359375,7.838961124420166
variant_5_final,22.76,6.686683283462238,4.868277680140597,2.0374830028121593,4062,0.11898066783831283,"[{'token': 'nyan', 'count': 2069, 'pct': 6.060339777387229}, {'token': 'ngeun', 'count': 1717, 'pct': 5.029291154071471}, {'token': 'saboh', 'count': 1298, 'pct': 3.80199179847686}, {'token': '.', 'count': 1140, 'pct': 3.3391915641476277}, {'token': 'dari', 'count': 965, 'pct': 2.826596367896895}, {'token': 'ho', 'count': 825, 'pct': 2.416520210896309}, {'token': 'nakeuh', 'count': 795, 'pct': 2.328646748681898}, {'token': 'lam', 'count': 588, 'pct': 1.7223198594024607}, {'token': 'adalah', 'count': 578, 'pct': 1.69302870533099}, {'token': 'ulon', 'count': 447, 'pct': 1.3093145869947276}]",62.82,0.14289312929025758,0.6247126617753566,0.7936162041021522,1.0,1529.762939453125,4.721997261047363
variant_6_final,20.349333333333334,6.230085571019248,4.998460228017298,2.488269738947038,4185,0.13710522867251998,"[{'token': '.', 'count': 1430, 'pct': 4.6848381601362865}, {'token': 'nyang', 'count': 1305, 'pct': 4.2753243349495476}, {'token': 'dan', 'count': 1170, 'pct': 3.8330494037478706}, {'token': 'lon', 'count': 802, 'pct': 2.627440702398113}, {'token': 'jih', 'count': 659, 'pct': 2.1589568863844844}, {'token': 'keu', 'count': 623, 'pct': 2.0410169047307036}, {'token': 'nyan', 'count': 551, 'pct': 1.8051369414231424}, {'token': 'ngon', 'count': 413, 'pct': 1.3530336784169834}, {'token': 'bak', 'count': 393, 'pct': 1.2875114663871052}, {'token': 'lam', 'count': 380, 'pct': 1.2449220285676843}]",62.72,0.1435343193022374,0.6297127326738932,0.7949175941361725,1.0,1601.441162109375,4.742349624633789
variant_7_final,22.492,6.688841653579988,4.791362854941016,1.9582488019306694,3857,0.11432212934969471,"[{'token': 'nyan', 'count': 1998, 'pct': 5.922105637560021}, {'token': 'ngeun', 'count': 1606, 'pct': 4.760211037998696}, {'token': 'saboh', 'count': 1257, 'pct': 3.7257691623688425}, {'token': '.', 'count': 1131, 'pct': 3.3523030410812735}, {'token': 'dari', 'count': 892, 'pct': 2.6439030173691385}, {'token': 'ho', 'count': 817, 'pct': 2.4216017546979667}, {'token': 'nakeuh', 'count': 730, 'pct': 2.163732289999407}, {'token': 'lam', 'count': 569, 'pct': 1.6865255794652911}, {'token': 'ulon', 'count': 568, 'pct': 1.6835615626296756}, {'token': 'adalah', 'count': 557, 'pct': 1.650957377437904}]",63.02,0.13879288274449564,0.6194514673408648,0.7858375575912211,1.0,1570.2412109375,4.919703960418701
variant_8_final,21.912,6.14710685336335,5.0951381282706585,2.5770557763009885,4505,0.1370634051356943,"[{'token': 'nyang', 'count': 1563, 'pct': 4.755385177071924}, {'token': '.', 'count': 1451, 'pct': 4.414628209808933}, {'token': 'dan', 'count': 1328, 'pct': 4.040404040404041}, {'token': 'lon', 'count': 1056, 'pct': 3.2128514056224895}, {'token': 'keu', 'count': 750, 'pct': 2.281854691493246}, {'token': 'nyan', 'count': 625, 'pct': 1.9015455762443714}, {'token': 'hana', 'count': 403, 'pct': 1.2261165875623707}, {'token': 'lam', 'count': 402, 'pct': 1.2230741146403796}, {'token': 'jih', 'count': 401, 'pct': 1.2200316417183887}, {'token': 'ngon', 'count': 360, 'pct': 1.095290251916758}]",62.31,0.14954521134296414,0.6301834071519872,0.8136119653222347,1.0,2651.140625,5.34755277633667
variant_9_final,14.618,5.914621092400313,4.605509189583619,1.974545622186709,2598,0.11848406074702422,"[{'token': '.', 'count': 1451, 'pct': 6.617412322707164}, {'token': 'nyan', 'count': 1348, 'pct': 6.147671820130433}, {'token': 'saboh', 'count': 1145, 'pct': 5.221872577187941}, {'token': 'nakeuh', 'count': 777, 'pct': 3.543576412641948}, {'token': 'ngeun', 'count': 746, 'pct': 3.402198203128563}, {'token': 'adalah', 'count': 558, 'pct': 2.5448077712409356}, {'token': 'ho', 'count': 551, 'pct': 2.5128836594153325}, {'token': 'gata', 'count': 471, 'pct': 2.1480366671227253}, {'token': 'nyang', 'count': 444, 'pct': 2.0249008072239705}, {'token': 'bantu', 'count': 433, 'pct': 1.974734345783737}]",75.91,0.1459067566206827,0.5529933034590403,0.6255646399970003,1.0,499.5210266113281,3.827538013458252
variant_10_final,12.868666666666666,5.306670477385566,4.835051546391752,2.342006017027,2777,0.1438636481375952,"[{'token': '.', 'count': 1462, 'pct': 7.573952235403823}, {'token': 'nyang', 'count': 894, 'pct': 4.631404444904938}, {'token': 'keu', 'count': 695, 'pct': 3.6004766098533905}, {'token': 'nyan', 'count': 507, 'pct': 2.626534735533337}, {'token': 'dan', 'count': 475, 'pct': 2.46075739522354}, {'token': 'jeut', 'count': 473, 'pct': 2.4503963114541785}, {'token': 'asisten', 'count': 433, 'pct': 2.2431746360669327}, {'token': 'nakeuh', 'count': 404, 'pct': 2.0929389214111795}, {'token': 'bantuan', 'count': 384, 'pct': 1.9893280837175569}, {'token': 'lon', 'count': 370, 'pct': 1.9168004973320207}]",75.91,0.14064308358073768,0.544987922705314,0.6121739192797366,1.0,476.6265563964844,3.8194615840911865
