passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"The first BeiDou system, officially called the BeiDou Satellite Navigation Experimental System (simplified Chinese: 北斗卫星导航试验系统; traditional Chinese: 北斗衛星導航試驗系統; pinyin: Běidǒu wèixīng dǎoháng shìyàn xìtǒng) and also known as BeiDou-1, consists of three satellites and offers limited coverage and applications. It has been offering navigation services, mainly for customers in China and neighboring regions, since 2000.",1,How many satellites does the BeiDou-1 have?,BeiDou,three,China,BeiDou Satellite Navigation Experimental System,2,"እቲ መጀመርታ BeiDou ,ስርዓት officially ዝተፀወዐ እቲ BeiDou Satellite Navigation Experimental ስርዓት (simplified :Chinese ;北斗卫星导航试验系统 ባህላዊ :Chinese ;北斗衛星導航試驗系統 :pinyin Běidǒu wèixīng dǎoháng shìyàn )xìtǒng እና እውን ፍሉጥ ከም -,BeiDou-1 consists ካብ ሰለስተ satellites እና offers limited coverage እና .applications እቲ ነገር ኣለዎ ዝነበረ offering navigation ,services mainly ን customers አብ ውሽጢ China እና neighboring ,regions ካብ .2000",ከመይ ቡዙሕ satellites ምግባር እቲ -BeiDou-1 ?ኣለኒ,BeiDou,ሰለስተ,China,BeiDou Satellite Navigation Experimental ስርዓት
"A Christian ( pronunciation (help·info)) is a person who adheres to Christianity, an Abrahamic, monotheistic religion based on the life and teachings of Jesus Christ. ""Christian"" derives from the Koine Greek word Christós (Χριστός), a translation of the Biblical Hebrew term mashiach.",2,What is the name of the Abrahamic religion that Christian adheres to?,Koine Greek,Hebrew,Jesus Christ,Christian,4,"ሓደ Christian ( ኣናብባ ())help·info እዩ ሓደ ሰብ መን adheres ናብ ,Christianity ሓደ ,Abrahamic monotheistic ሃይማኖት መሰረት ዝገበረ አብ ልዕሊ እቲ ህይወት እና teachings ካብ Jesus .Christ """"Christian derives ካብ እቲ Koine Greek ቃል Christós (),Χριστός ሓደ translation ካብ እቲ Biblical Hebrew ቃል .mashiach",እንታይ እዩ እቲ ሽም ካብ እቲ Abrahamic ሃይማኖት እቲ Christian adheres ?ናብ,Koine Greek,Hebrew,Jesus Christ,Christian
"Roncalli was elected pope on 28 October 1958 at age 76 after 11 ballots. His selection was unexpected, and Roncalli himself had come to Rome with a return train ticket to Venice. He was the first pope to take the pontifical name of ""John"" upon election in more than 500 years, and his choice settled the complicated question of official numbering attached to this papal name due to the antipope of this name. Pope John XXIII surprised those who expected him to be a caretaker pope by calling the historic Second Vatican Council (1962–65), the first session opening on 11 October 1962. His passionate views on equality were summed up in his famous statement, ""We were all made in God's image, and thus, we are all Godly alike."" John XXIII made many passionate speeches during his pontificate, one of which was on the day that he opened the Second Vatican Council in the middle of the night to the crowd gathered in St. Peter's Square: ""Dear children, returning home, you will find children: give your children a hug and say: This is a hug from the Pope!""",3,Who was elected pope on 28 October 1958?,28 October 1958,more than 500 years,Roncalli,11,3,"Roncalli ኔሩ elected pope አብ ልዕሊ 28 ጥቅምቲ 1958 ኣብ ዕድመ 76 ድሕሪ 11 .ballots ናቱ selection ኔሩ ,unexpected እና Roncalli himself ዝነበረ ንዓ ናብ Rome ምስ ሓደ ተመለስ ባቡር ticket ናብ .Venice ንሱ ኔሩ እቲ መጀመርታ pope ናብ ውሰድ እቲ pontifical ሽም ካብ """"John ኣብ ግዘ election አብ ውሽጢ ቡዙሕ ካብ 500 ,ዓመታት እና ናቱ ምርጫ settled እቲ ውስብስብ ሕቶ ካብ ዘፍለጠ numbering ጥባቕ ናብ እዚ papal ሽም መወዳእታ ናብ እቲ antipope ካብ እዚ .ሽም Pope John XXIII ዝተገረመ እቲኦም መን ዝፅበ ንሱ ናብ ኩን ሓደ caretaker pope ብ calling እቲ historic ካልኣይ Vatican ዋዕላ (),1962–65 እቲ መጀመርታ ፕሮግራም opening አብ ልዕሊ 11 ጥቅምቲ .1962 ናቱ ስምዒታዊ views አብ ልዕሊ equality ኔሮም summed ሓፍ አብ ውሽጢ ናቱ ተፈላጢ ,ዓንቀፅ ""ንሕና ኔሮም ኩሎም ዝተሰርሐ አብ ውሽጢ 'God's ,ስእሊ እና ,ስለዝኾነ ንሕና እዮም ኩሎም Godly .""alike John XXIII ዝተሰርሐ ቡዙሕ ስምዒታዊ speeches አብ እዋን ናቱ ,pontificate ሓደ ካብ አየናይ ኔሩ አብ ልዕሊ እቲ መዓልቲ እቲ ንሱ opened እቲ ካልኣይ Vatican ዋዕላ አብ ውሽጢ እቲ ማእኸል ካብ እቲ ምሸት ናብ እቲ ጭንቕንቕ gathered አብ ውሽጢ .ቅዱስ 'Peter's :ርባዕ ""ፍትውቲ ,ቖልዑ returning ,ገዛ ንስኻ ንመፃእ ርኸብ :ቖልዑ ሃብ ናትካ ቖልዑ ሓደ ምሕቋፍ እና :በል እዚ እዩ ሓደ ምሕቋፍ ካብ እቲ !""Pope",መን ኔሩ elected pope አብ ልዕሊ 28 ጥቅምቲ ?1958,28 ጥቅምቲ 1958,ቡዙሕ ካብ 500 ዓመታት,Roncalli,11
"Most of the Low Countries had come under the rule of the House of Burgundy and subsequently the House of Habsburg. In 1549 Holy Roman Emperor Charles V issued the Pragmatic Sanction, which further unified the Seventeen Provinces under his rule. Charles was succeeded by his son, King Philip II of Spain. In 1568 the Netherlands, led by William I of Orange, revolted against Philip II because of high taxes, persecution of Protestants by the government, and Philip's efforts to modernize and centralize the devolved-medieval government structures of the provinces. This was the start of the Eighty Years' War.",4,When did most of the Low Countries come under the rule of the House of Burgundy?,the Pragmatic Sanction,House,Netherlands,1549,4,"ብጥዕሚ ካብ እቲ ውሑድ Countries ዝነበረ ንዓ ትሕቲ እቲ ስርዓት ካብ እቲ ገዛ ካብ Burgundy እና subsequently እቲ ገዛ ካብ .Habsburg አብ ውሽጢ 1549 Holy Roman Emperor Charles V issued እቲ Pragmatic ,Sanction አየናይ ርሑቅ unified እቲ ዓሰርተ ሸውዓተ Provinces ትሕቲ ናቱ .ስርዓት Charles ኔሩ succeeded ብ ናቱ ,son ንጉስ Philip II ካብ .Spain አብ ውሽጢ 1568 እቲ ,Netherlands መረሐ ብ William ኣነ ካብ ,ኣራንሺ revolted ተቃራኒ Philip II ምኽንያቱ ካብ ላዕሊ ,taxes persecution ካብ Protestants ብ እቲ ,መንግስቲ እና 'Philip's efforts ናብ modernize እና centralize እቲ -devolved-medieval መንግስቲ structures ካብ እቲ .provinces እዚ ኔሩ እቲ ጀምር ካብ እቲ ሰማንያ 'ዓመታት .ውግእ",መዓዝ ግቡር ብጥዕሚ ካብ እቲ ውሑድ Countries ንዓ ትሕቲ እቲ ስርዓት ካብ እቲ ገዛ ካብ ?Burgundy,እቲ Pragmatic Sanction,ገዛ,Netherlands,1549
"Of approximately 100 million native speakers of German in the world, roughly 80 million consider themselves Germans.[citation needed] There are an additional 80 million people of German ancestry mainly in the United States, Brazil (mainly in the South Region of the country), Argentina, Canada, South Africa, the post-Soviet states (mainly in Russia and Kazakhstan), and France, each accounting for at least 1 million.[note 2] Thus, the total number of Germans lies somewhere between 100 and more than 150 million, depending on the criteria applied (native speakers, single-ancestry ethnic Germans, partial German ancestry, etc.).",5,How many of the 100 million native German speakers consider themselves Germans?,Kazakhstan,post-Soviet,France,roughly 80 million,4,"ካብ ብፅግግዕ 100 ሚልዮን መበቆል speakers ካብ German አብ ውሽጢ እቲ ,ዓለም ዳርጋ 80 ሚልዮን ሕሰበሉ ባዕሎም .[Germans.[citation ]needed ኣብቲ እዮም ሓደ ተወሳኺ 80 ሚልዮን ህዝቢ ካብ German ancestry mainly አብ ውሽጢ እቲ United ,States Brazil (mainly አብ ውሽጢ እቲ ደቡብ ክልል ካብ እቲ ),ሃገር ,Argentina ,Canada ደቡብ ,Africa እቲ -post-Soviet states (mainly አብ ውሽጢ Russia እና ),Kazakhstan እና ,France ሕድሕድ accounting ን ኣብ ዝነኣሰ 1 .[million.[note ]2 ,ስለዝኾነ እቲ ድምር ቑጽሪ ካብ Germans ኣደቓቕሳ somewhere አብ መንጎ 100 እና ቡዙሕ ካብ 150 ,ሚልዮን depending አብ ልዕሊ እቲ መለክዒ applied (መበቆል ,speakers -single-ancestry ethnic ,Germans partial German ,ancestry .).ወዘተ",ከመይ ቡዙሕ ካብ እቲ 100 ሚልዮን መበቆል German speakers ሕሰበሉ ባዕሎም ?Germans,Kazakhstan,-post-Soviet,France,ዳርጋ 80 ሚልዮን
"The term ""Great Plains"", for the region west of about the 96th or 98th meridian and east of the Rocky Mountains, was not generally used before the early 20th century. Nevin Fenneman's 1916 study, Physiographic Subdivision of the United States, brought the term Great Plains into more widespread usage. Before that the region was almost invariably called the High Plains, in contrast to the lower Prairie Plains of the Midwestern states. Today the term ""High Plains"" is used for a subregion of the Great Plains.",6,What was the term originally used for the region west of the 96th or 98th meridian and east of the Rocky Mountains?,1916,Physiographic Subdivision,Great Plains,Today,3,"እቲ ቃል ""ምዑዝ "",Plains ን እቲ ክልል ምዕራብ ካብ ብዝዕባ እቲ 96th ወይ 98th meridian እና ምብራቅ ካብ እቲ Rocky ,Mountains ኔሩ ዘይኮነ ብሓፈሻ ዘገልገለ ቅድሚ እቲ ብግዘ 20th .ዘመን Nevin 'Fenneman's 1916 ,መፅናዕቲ Physiographic Subdivision ካብ እቲ United ,States ምምፃእ እቲ ቃል ምዑዝ Plains ናብ ውሽጢ ቡዙሕ widespread .usage ቅድሚ እቲ እቲ ክልል ኔሩ ዳርጋ invariably ዝተፀወዐ እቲ ላዕሊ ,Plains አብ ውሽጢ ኣወዳደረ ናብ እቲ ታሕተዋይ Prairie Plains ካብ እቲ Midwestern .states ሎምዓንቲ እቲ ቃል ""ላዕሊ ""Plains እዩ ዘገልገለ ን ሓደ subregion ካብ እቲ ምዑዝ .Plains",እንታይ ኔሩ እቲ ቃል originally ዘገልገለ ን እቲ ክልል ምዕራብ ካብ እቲ 96th ወይ 98th meridian እና ምብራቅ ካብ እቲ Rocky ?Mountains,1916,Physiographic Subdivision,ምዑዝ Plains,ሎምዓንቲ
"Raleigh (/ˈrɑːli/; RAH-lee) is the capital of the state of North Carolina as well as the seat of Wake County in the United States. It is the second most populous city in North Carolina, after Charlotte. Raleigh is known as the ""City of Oaks"" for its many oak trees, which line the streets in the heart of the city. The city covers a land area of 142.8 square miles (370 km2). The U.S. Census Bureau estimated the city's population to be 439,896 as of July 1, 2014. It is also one of the fastest-growing cities in the country. The city of Raleigh is named after Sir Walter Raleigh, who established the lost Roanoke Colony in present-day Dare County.",7,Where does Raleigh rank in population in comparison to Charlotte?,second,psychological moment.n.01,Roanoke Colony,The U.S. Census Bureau,1,"Raleigh (//;ˈrɑːli -)RAH-lee እዩ እቲ ሃብቲ ካብ እቲ ግዝኣት ካብ ሰሜን Carolina ከም ደሓን ከም እቲ ኮፍ ምባል ካብ ምቕስቃስ County አብ ውሽጢ እቲ United .States እቲ ነገር እዩ እቲ ካልኣይ ብጥዕሚ populous ከተማ አብ ውሽጢ ሰሜን ,Carolina ድሕሪ .Charlotte Raleigh እዩ ፍሉጥ ከም እቲ ""ከተማ ካብ ""Oaks ን ናቱ ቡዙሕ oak ,trees አየናይ መስመር እቲ streets አብ ውሽጢ እቲ ልቢ ካብ እቲ .ከተማ እቲ ከተማ covers ሓደ መሬት ስፍሓት ካብ .142.8 ርባዕ miles (370 ).km2 እቲ ..U.S Census Bureau ይግመት እቲ 'city's በዝሒ ህዝቢ ናብ ኩን ,439,896 ከም ካብ ሓምለ ,1 .2014 እቲ ነገር እዩ እውን ሓደ ካብ እቲ -fastest-growing cities አብ ውሽጢ እቲ .ሃገር እቲ ከተማ ካብ Raleigh እዩ named ድሕሪ ሃለቃ Walter ,Raleigh መን ዝተመስረተ እቲ ዝጠፈአ Roanoke Colony አብ ውሽጢ -present-day Dare .County",አበይ ምግባር Raleigh rank አብ ውሽጢ በዝሒ ህዝቢ አብ ውሽጢ ምውድዳር ናብ ?Charlotte,ካልኣይ,psychological ..moment.n.01,Roanoke Colony,እቲ ..U.S Census Bureau
"The MoD states that its principal objectives are to defend the United Kingdom of Great Britain and Northern Ireland and its interests and to strengthen international peace and stability. With the collapse of the Soviet Union and the end of the Cold War, the MoD does not foresee any short-term conventional military threat; rather, it has identified weapons of mass destruction, international terrorism, and failed and failing states as the overriding threats to Britain's interests. The MoD also manages day-to-day running of the armed forces, contingency planning and defence procurement.",8,Who states its main objectives are to defend the UK?,the Cold War,the Soviet Union,Northern Ireland,MoD,4,"እቲ MoD states እቲ ናቱ ርእሰ መምህር objectives እዮም ናብ ምክልኻል እቲ United Kingdom ካብ ምዑዝ Britain እና Northern Ireland እና ናቱ interests እና ናብ strengthen ዓለም ለኻዊ ሰላም እና .stability ምስ እቲ ፈረሰ ካብ እቲ Soviet Union እና እቲ መወዳእታ ካብ እቲ ቁሪ ,ውግእ እቲ MoD ምግባር ዘይኮነ foresee ዝኾነ -short-term conventional ወተሃደራዊ ኣገልግሎት ;ምፍርራሕ ,ይመርፅ እቲ ነገር ኣለዎ identified weapons ካብ መጠን ኣካል ,ዘዕንቅፍ ነገር ዓለም ለኻዊ ,terrorism እና ወዲቑ እና failing states ከም እቲ overriding threats ናብ 'Britain's .interests እቲ MoD እውን manages --day-to-day ምጉያይ ካብ እቲ armed ,forces contingency planning እና defence .procurement",መን states ናቱ ዋና objectives እዮም ናብ ምክልኻል እቲ ?UK,እቲ ቁሪ ውግእ,እቲ Soviet Union,Northern Ireland,MoD
"By the 1890s the profound effect of adrenal extracts on many different tissue types had been discovered, setting off a search both for the mechanism of chemical signalling and efforts to exploit these observations for the development of new drugs. The blood pressure raising and vasoconstrictive effects of adrenal extracts were of particular interest to surgeons as hemostatic agents and as treatment for shock, and a number of companies developed products based on adrenal extracts containing varying purities of the active substance. In 1897 John Abel of Johns Hopkins University identified the active principle as epinephrine, which he isolated in an impure state as the sulfate salt. Industrial chemist Jokichi Takamine later developed a method for obtaining epinephrine in a pure state, and licensed the technology to Parke Davis. Parke Davis marketed epinephrine under the trade name Adrenalin. Injected epinephrine proved to be especially efficacious for the acute treatment of asthma attacks, and an inhaled version was sold in the United States until 2011 (Primatene Mist). By 1929 epinephrine had been formulated into an inhaler for use in the treatment of nasal congestion.",9,When was the profound effect of adrenal extracts discovered?,Johns Hopkins University,Adrenalin,Primatene Mist,the 1890s,4,"ብ እቲ 1890s እቲ ዓሚቚ ፅልዋ ካብ adrenal extracts አብ ልዕሊ ቡዙሕ ፍሉይ ቲሹ types ዝነበረ ዝነበረ ,discovered ምምላእ ምጥፋእ ሓደ ምድላይ ክልቲኡ ን እቲ mechanism ካብ chemical signalling እና efforts ናብ ኣማዕበለ እዚ observations ን እቲ ዕብየት ካብ ሓድሽ .drugs እቲ ደም ፀቅጢ raising እና vasoconstrictive effects ካብ adrenal extracts ኔሮም ካብ ብፍሉይ ወለድ ናብ surgeons ከም hemostatic agents እና ከም ህክምና ን ,shock እና ሓደ ቑጽሪ ካብ companies ምዕቡል products መሰረት ዝገበረ አብ ልዕሊ adrenal extracts containing varying purities ካብ እቲ ንቑሕ .ዓውደ ኣካል አብ ውሽጢ 1897 John Abel ካብ Johns Hopkins ዩኒቨርሲቲ identified እቲ ንቑሕ principle ከም ,epinephrine አየናይ ንሱ ዝተገለለ አብ ውሽጢ ሓደ impure ግዝኣት ከም እቲ sulfate .ጨው Industrial chemist Jokichi Takamine ዳሕራይ ምዕቡል ሓደ ሜላ ን obtaining epinephrine አብ ውሽጢ ሓደ ፅሩይ ,ግዝኣት እና licensed እቲ ቴክኖሎጂ ናብ Parke .Davis Parke Davis marketed epinephrine ትሕቲ እቲ ንግዲ ሽም .Adrenalin Injected epinephrine proved ናብ ኩን ብፍላይ efficacious ን እቲ ኣፀጋሚ ህክምና ካብ asthma ,attacks እና ሓደ inhaled ሕታም ኔሩ ሽዩጥ አብ ውሽጢ እቲ United States ክሳብ 2011 (Primatene ).ግመ ብ 1929 epinephrine ዝነበረ ዝነበረ formulated ናብ ውሽጢ ሓደ inhaler ን ጥቅሚ አብ ውሽጢ እቲ ህክምና ካብ nasal .congestion",መዓዝ ኔሩ እቲ ዓሚቚ ፅልዋ ካብ adrenal extracts ?discovered,Johns Hopkins ዩኒቨርሲቲ,Adrenalin,Primatene ግመ,እቲ 1890s
"Guinea-Bissau was once part of the kingdom of Gabu, as well as part of the Mali Empire. Parts of this kingdom persisted until the 18th century, while a few others were under some rule by the Portuguese Empire since the 16th century. In the 19th century, it was colonized as Portuguese Guinea. Upon independence, declared in 1973 and recognised in 1974, the name of its capital, Bissau, was added to the country's name to prevent confusion with Guinea (formerly French Guinea). Guinea-Bissau has a history of political instability since independence, and no elected president has successfully served a full five-year term.",10,When was Guinea-Bissau declared independent?,Portuguese Guinea,Guinea-Bissau,Bissau,1973,4,"-Guinea-Bissau ኔሩ ሓንሳዕ ክፋል ካብ እቲ kingdom ካብ ,Gabu ከም ደሓን ከም ክፋል ካብ እቲ Mali .Empire Parts ካብ እዚ kingdom persisted ክሳብ እቲ 18th ,ዘመን እስካብ ሓደ ቁሩብ others ኔሮም ትሕቲ ንእሽተይ ስርዓት ብ እቲ Portuguese Empire ካብ እቲ 16th .ዘመን አብ ውሽጢ እቲ 19th ,ዘመን እቲ ነገር ኔሩ colonized ከም Portuguese .Guinea ኣብ ግዘ ,independence declared አብ ውሽጢ 1973 እና recognised አብ ውሽጢ ,1974 እቲ ሽም ካብ ናቱ ,ሃብቲ ,Bissau ኔሩ added ናብ እቲ 'country's ሽም ናብ ምክልኻል ምድንጋራት ምስ Guinea (formerly French ).Guinea -Guinea-Bissau ኣለዎ ሓደ ታሪኽ ካብ political instability ካብ ,independence እና አይኮንን elected ፕረዝደንት ኣለዎ successfully served ሓደ ሙሉእ -five-year .ቃል",መዓዝ ኔሩ -Guinea-Bissau declared ?ዓርሱ ዝኸኣለ,Portuguese Guinea,-Guinea-Bissau,Bissau,1973
