passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",5,What is the featured event of the annual track and field meet mentioned in the passage?,The 100-meter dash,The Wanamaker Mile,The Long Jump,The Relay Race,2,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club",እንታይ እዩ እቲ featured ዝግጅት ካብ እቲ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ተጸሪሑ አብ ውሽጢ እቲ ?መሕለፊ,እቲ -100-meter ዳሽ,እቲ Wanamaker Mile,እቲ ነዊሕ ምዝላል,እቲ Relay ዘርኢ
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",6,Which boxing event is held at Madison Square Garden each year?,The World Boxing Championship,The Amateur Boxing Golden Gloves,The International Boxing Tournament,The New York Boxing Classic,2,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club",አየናይ boxing ዝግጅት እዩ ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ ?ዓመት,እቲ ዓለም Boxing Championship,እቲ Amateur Boxing Golden ጓንትታት,እቲ ዓለም ለኻዊ Boxing Tournament,እቲ ሓድሽ York Boxing Classic
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",7,"Which horse racing event, noted as the last, longest, and oldest of the Triple Crown races, is hosted by the city?",Kentucky Derby,Preakness Stakes,Belmont Stakes,Breeders' Cup,3,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club","አየናይ ፈረስ racing ,ዝግጅት ተመዝጊቡ ከም እቲ ,መጨረሻ ,longest እና oldest ካብ እቲ Triple ኣኽሊል ,races እዩ hosted ብ እቲ ?ከተማ",Kentucky Derby,Preakness Stakes,Belmont Stakes,'Breeders ኩባያ
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",8,Where is the Belmont Stakes held in relation to New York City?,In Manhattan,In Queens,Just over the city's border at Belmont Park,In Brooklyn,3,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club",አበይ እዩ እቲ Belmont Stakes ተገይሩ አብ ውሽጢ relation ናብ ሓድሽ York ?ከተማ,አብ ውሽጢ Manhattan,አብ ውሽጢ Queens,ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ,አብ ውሽጢ Brooklyn
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",9,Which major golf tournament did New York host in 1932?,The British Open,The U.S. Open,The PGA Championship,The Ryder Cup,2,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club",አየናይ ዋና golf tournament ግቡር ሓድሽ York መዳለዊ አብ ውሽጢ ?1932,እቲ British ክፈት,እቲ ..U.S ክፈት,እቲ PGA Championship,እቲ Ryder ኩባያ
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",10,"Which two PGA Championships did New York host, as mentioned in the passage?",1930 and 1939,1931and 1940,1932and 1935,1929 and 1933,1,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club","አየናይ ክልተ PGA Championships ግቡር ሓድሽ York ,መዳለዊ ከም ተጸሪሑ አብ ውሽጢ እቲ ?መሕለፊ",1930 እና 1939,1931and 1940,1932and 1935,1929 እና 1933
"The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, Queens. The New York Marathon is one of the world's largest, and the 2004–2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.",11,What nearby golf club is notably associated with New York hosting the U.S. Open and PGA Championships?,Shinnecock Hills Golf Club,Winged Foot Golf Club,Pebble Beach Golf Links,Oak Hill Country Club,2,"እቲ ዓመታዊ United States ክፈት Tennis Championships እዩ ሓደ ካብ እቲ 'world's ዓርባዕተ Grand Slam tennis tournaments እና እዩ ተገይሩ ኣብ እቲ ሃገራዊ Tennis ማእኸል አብ ውሽጢ Flushing -Meadows-Corona ,መናፈሻ .Queens እቲ ሓድሽ York Marathon እዩ ሓደ ካብ እቲ 'world's ,largest እና እቲ 2004–2006 events ሓዝ እቲ ላዕለዋይ ሰለስተ ቦታታት አብ ውሽጢ እቲ marathons ምስ እቲ largest ቑጽሪ ካብ ,finishers ይሓውስ ,37,866 finishers አብ ውሽጢ .2006 እቲ Millrose Games እዩ ሓደ ዓመታዊ ናይ ፅዕነት መኪና እና ሜዳ ርኸብ ናይ መን featured ዝግጅት እዩ እቲ Wanamaker .Mile Boxing እዩ እውን ሓደ ጠቃሚ ክፋል ካብ እቲ 'city's sporting ,ኣጋጣሚ ምስ events ምፍታው እቲ Amateur Boxing Golden ጓንትታት ፍጥረት ተገይሩ ኣብ Madison ርባዕ ስፍራ ኣትክልቲ ሕድሕድ .ዓመት እቲ ከተማ እዩ እውን ገምገመ እቲ መዳለዊ ካብ እቲ Belmont ,Stakes እቲ ,መጨረሻ longest እና oldest ካብ ፈረስ 'racing's Triple ኣኽሊል ,races ተገይሩ ጥራሕ ልዕሊ እቲ 'city's ዶብ ኣብ Belmont መናፈሻ አብ ልዕሊ እቲ መጀመርታ ወይ ካልኣይ ሰንበት ካብ .ሰነ እቲ ከተማ እውን hosted እቲ ..1932U.S ክፈት golf tournament እና እቲ 1930 እና 1939 PGA ,Championships እና ኣለዎ ዝነበረ መዳለዊ ከተማ ን ክልቲኡ events ቡዙሓት ,times ብጥዕሚ notably ን ኣብ ቐረባ Winged እግሪ Golf .Club",እንታይ ኣብ ቐረባ golf club እዩ notably ተሓባበረ ምስ ሓድሽ York hosting እቲ ..U.S ክፈት እና PGA ?Championships,Shinnecock Hills Golf Club,Winged እግሪ Golf Club,Pebble ገምገም Golf Links,Oak ኮረብታ ሃገር Club
"Uniquely among major American cities, New York is divided between, and is host to the main branches of, two different US district courts: the District Court for the Southern District of New York, whose main courthouse is on Foley Square near City Hall in Manhattan and whose jurisdiction includes Manhattan and the Bronx, and the District Court for the Eastern District of New York, whose main courthouse is in Brooklyn and whose jurisdiction includes Brooklyn, Queens, and Staten Island. The US Court of Appeals for the Second Circuit and US Court of International Trade are also based in New York, also on Foley Square in Manhattan.",1,Which two US district courts are based in New York City?,Southern and Northern District Courts,Eastern and Western District Courts,Southern and Eastern District Courts,Central and Eastern District Courts,3,"Uniquely ካብዞም ዋና American ,cities ሓድሽ York እዩ divided ,አብ መንጎ እና እዩ መዳለዊ ናብ እቲ ዋና branches ,ካብ ክልተ ፍሉይ ንሕና ኣውራጃ :courts እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Southern ኣውራጃ ካብ ሓድሽ ,York ናይ መን ዋና courthouse እዩ አብ ልዕሊ Foley ርባዕ ጥቃ ከተማ ኣዳራሽ አብ ውሽጢ Manhattan እና ናይ መን jurisdiction includes Manhattan እና እቲ ,Bronx እና እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Eastern ኣውራጃ ካብ ሓድሽ ,York ናይ መን ዋና courthouse እዩ አብ ውሽጢ Brooklyn እና ናይ መን jurisdiction includes ,Brooklyn ,Queens እና Staten .ደሴት እቲ ንሕና ቤት ፍርዲ ካብ Appeals ን እቲ ካልኣይ Circuit እና ንሕና ቤት ፍርዲ ካብ ዓለም ለኻዊ ንግዲ እዮም እውን መሰረት ዝገበረ አብ ውሽጢ ሓድሽ ,York እውን አብ ልዕሊ Foley ርባዕ አብ ውሽጢ .Manhattan",አየናይ ክልተ ንሕና ኣውራጃ courts እዮም መሰረት ዝገበረ አብ ውሽጢ ሓድሽ York ?ከተማ,Southern እና Northern ኣውራጃ Courts,Eastern እና Western ኣውራጃ Courts,Southern እና Eastern ኣውራጃ Courts,Central እና Eastern ኣውራጃ Courts
"Uniquely among major American cities, New York is divided between, and is host to the main branches of, two different US district courts: the District Court for the Southern District of New York, whose main courthouse is on Foley Square near City Hall in Manhattan and whose jurisdiction includes Manhattan and the Bronx, and the District Court for the Eastern District of New York, whose main courthouse is in Brooklyn and whose jurisdiction includes Brooklyn, Queens, and Staten Island. The US Court of Appeals for the Second Circuit and US Court of International Trade are also based in New York, also on Foley Square in Manhattan.",2,Where is the main courthouse of the District Court for the Southern District of New York located?,In Brooklyn,On Foley Square near City Hall in Manhattan,In Queens,In the Bronx,2,"Uniquely ካብዞም ዋና American ,cities ሓድሽ York እዩ divided ,አብ መንጎ እና እዩ መዳለዊ ናብ እቲ ዋና branches ,ካብ ክልተ ፍሉይ ንሕና ኣውራጃ :courts እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Southern ኣውራጃ ካብ ሓድሽ ,York ናይ መን ዋና courthouse እዩ አብ ልዕሊ Foley ርባዕ ጥቃ ከተማ ኣዳራሽ አብ ውሽጢ Manhattan እና ናይ መን jurisdiction includes Manhattan እና እቲ ,Bronx እና እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Eastern ኣውራጃ ካብ ሓድሽ ,York ናይ መን ዋና courthouse እዩ አብ ውሽጢ Brooklyn እና ናይ መን jurisdiction includes ,Brooklyn ,Queens እና Staten .ደሴት እቲ ንሕና ቤት ፍርዲ ካብ Appeals ን እቲ ካልኣይ Circuit እና ንሕና ቤት ፍርዲ ካብ ዓለም ለኻዊ ንግዲ እዮም እውን መሰረት ዝገበረ አብ ውሽጢ ሓድሽ ,York እውን አብ ልዕሊ Foley ርባዕ አብ ውሽጢ .Manhattan",አበይ እዩ እቲ ዋና courthouse ካብ እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Southern ኣውራጃ ካብ ሓድሽ York ?located,አብ ውሽጢ Brooklyn,አብ ልዕሊ Foley ርባዕ ጥቃ ከተማ ኣዳራሽ አብ ውሽጢ Manhattan,አብ ውሽጢ Queens,አብ ውሽጢ እቲ Bronx
"Uniquely among major American cities, New York is divided between, and is host to the main branches of, two different US district courts: the District Court for the Southern District of New York, whose main courthouse is on Foley Square near City Hall in Manhattan and whose jurisdiction includes Manhattan and the Bronx, and the District Court for the Eastern District of New York, whose main courthouse is in Brooklyn and whose jurisdiction includes Brooklyn, Queens, and Staten Island. The US Court of Appeals for the Second Circuit and US Court of International Trade are also based in New York, also on Foley Square in Manhattan.",3,What areas fall under the jurisdiction of the Southern District of New York?,Brooklyn and Queens,Manhattan and the Bronx,Staten Island and Queens,Manhattan and Staten Island,2,"Uniquely ካብዞም ዋና American ,cities ሓድሽ York እዩ divided ,አብ መንጎ እና እዩ መዳለዊ ናብ እቲ ዋና branches ,ካብ ክልተ ፍሉይ ንሕና ኣውራጃ :courts እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Southern ኣውራጃ ካብ ሓድሽ ,York ናይ መን ዋና courthouse እዩ አብ ልዕሊ Foley ርባዕ ጥቃ ከተማ ኣዳራሽ አብ ውሽጢ Manhattan እና ናይ መን jurisdiction includes Manhattan እና እቲ ,Bronx እና እቲ ኣውራጃ ቤት ፍርዲ ን እቲ Eastern ኣውራጃ ካብ ሓድሽ ,York ናይ መን ዋና courthouse እዩ አብ ውሽጢ Brooklyn እና ናይ መን jurisdiction includes ,Brooklyn ,Queens እና Staten .ደሴት እቲ ንሕና ቤት ፍርዲ ካብ Appeals ን እቲ ካልኣይ Circuit እና ንሕና ቤት ፍርዲ ካብ ዓለም ለኻዊ ንግዲ እዮም እውን መሰረት ዝገበረ አብ ውሽጢ ሓድሽ ,York እውን አብ ልዕሊ Foley ርባዕ አብ ውሽጢ .Manhattan",እንታይ areas ምውዳቅ ትሕቲ እቲ jurisdiction ካብ እቲ Southern ኣውራጃ ካብ ሓድሽ ?York,Brooklyn እና Queens,Manhattan እና እቲ Bronx,Staten ደሴት እና Queens,Manhattan እና Staten ደሴት
