passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"Make sure your hands are as light as much but try not to act much with your fingers when you hit all the reminders properly. Thus, as much as you can, you are so tired. Remember, you don't have to forcefully hit the key, such as piano. You use more stress or pace to have more volume in the acordium.",1,"According to the text, what is not seen as the right advice to play the acordion successfully?","If you need an additional volume, add the power to hit the keys",Deduce an unnecessary movement to a smaller level in order to maintain your strength,Calmly and carefully write the reminders.,ተወሳኺ መጠን ድምጺ ምእንቲ ኽትረክብ በቶም ትሰርሓሎም ታሕተዎት ኣቢልካ ናህርኻ ወስኽ,1,ኣእዳውካ ከም ብርሃን ምዃነን ኣረጋግጽ ግን ንኹሉ መዘኻኸሪ ብግቡእ ምስ ወቕዖ ብኣጻብዕትኻ ብዙሕ ከይትዋሳእ ፈትን። በዚ ኸምዚ፡ ብዝተኻእለካ መጠን፡ ኣዝዩ ደኺምካ ኢኻ። ከም ፒያኖ ዝኣመሰለ መፍትሕ ብሓይሊ ክትሃርሞ ከምዘየለኻ ኣይትረስዕ። ኣብቲ ኣኮርዲየም ዝያዳ ድምጺ ንኽህልወካ ዝያዳ ጸቕጢ ወይ ናህሪ ትጥቀም።,ብመሰረት እቲ ጽሑፍ፡ ነቲ ኣኮርዲዮን ብዓወት ንምጽዋት ከም ቅኑዕ ምኽሪ ዘይርአ እንታይ እዩ?,ተወሳኺ ድምጺ እንተድኣ ደሊኻ፡ ነቲ መፍትሕ ንምህራም ሓይሊ ወስኸሉ .,ሓይልኻ ንምዕቃብ ናብ ዝነኣሰ ደረጃ ዘየድሊ ምንቅስቓስ ግበር .,ነቲ መዘኻኸሪታት ብህድኣትን ብጥንቃቐን ጽሓፎ።,ተወሳኺ መጠን ድምጺ ምእንቲ ኽትረክብ በቶም ትሰርሓሎም ታሕተዎት ኣቢልካ ናህርኻ ወስኽ
"Make sure your hands are as light as much but try not to act much with your fingers when you hit all the reminders properly. Thus, as much as you can, you are so tired. Remember, you don't have to forcefully hit the key, such as piano. You use more stress or pace to have more volume in the acordium.",2,"When you play the Acordion, which of the following will help you to increase the sound?",More pace,More power,Low pressures,ውሑድ ናይ ኣጻብዕቲ ምንቅስቓስ,1,ኣእዳውካ ከም ብርሃን ምዃነን ኣረጋግጽ ግን ንኹሉ መዘኻኸሪ ብግቡእ ምስ ወቕዖ ብኣጻብዕትኻ ብዙሕ ከይትዋሳእ ፈትን። በዚ ኸምዚ፡ ብዝተኻእለካ መጠን፡ ኣዝዩ ደኺምካ ኢኻ። ከም ፒያኖ ዝኣመሰለ መፍትሕ ብሓይሊ ክትሃርሞ ከምዘየለኻ ኣይትረስዕ። ኣብቲ ኣኮርዲየም ዝያዳ ድምጺ ንኽህልወካ ዝያዳ ጸቕጢ ወይ ናህሪ ትጥቀም።,ኣኮርድዮን ክትጻወት ከለኻ፡ ካብዞም ዝስዕቡ ኣየናይ እዩ ነቲ ድምጺ ንምዕባይ ዝሕግዘካ?,ዝያዳ ናህሪ,ተወሳኺ ሓይሊ,ትሑት ጸቕጢ .,ውሑድ ናይ ኣጻብዕቲ ምንቅስቓስ
"One of the most common problems when you try to turn a movie into a DVD is excessively scattering. Most television is made to please the public. For this reason, all the things you see on TV have the borders cut off the top of the lower side. This is made to cover the entire electronic device, which is called excessively scan. Sadly, the DVD may also be cut off when you work, and the video is not fully seen if the video is in the subheading below.",1,Why are the edges of the TV pictures cut?,to allow subheadings,Because the picture is full of the screen,to allow it to easily turn into other forms of styles,ንኡስ ኣርእስትታት ናብ ታሕቲ ኣመና ኣጸጊዕኻ ንምቝራጽ,2,ሓደ ካብቲ ፊልም ናብ ዲቪዲ ክትቅይሮ ክትፍትን ከለኻ ሓደ ካብቲ ልሙድ ጸገማት ካብ መጠን ንላዕሊ ፋሕፋሕ እዩ። መብዛሕትኡ ተለቪዥን ንህዝቢ ንምሕጓስ ዝግበር እዩ። በዚ ምኽንያት እዚ ኩሉ ኣብ ቲቪ እትርእዮ ነገራት ዶባት ኣብ ላዕሊ ታሕተዋይ ሸነኽ ክቖርጽ ይገብር። እዚ ድማ ንኹሉ ኤሌክትሮኒካዊ መሳርሒ ንምሽፋን ዝግበር ኮይኑ፡ እዚ ድማ ካብ መጠን ንላዕሊ ስካን ይበሃል። እቲ ዘሕዝን ግን እታ ዲቪዲ ክትሰርሕ ከለኻ እውን ክትቁረጽ ትኽእል እያ፣ እታ ቪድዮ ድማ እታ ቪድዮ ኣብቲ ኣብ ታሕቲ ዘላ ንኡስ ኣርእስቲ እንተሃልያ ምሉእ ብምሉእ ኣይርአን እዩ።,ጫፋት ናይ ቲቪ ስእልታት ስለምንታይ እዮም ዝቑረጹ?,ንንኡስ ኣርእስታት ንምፍቃድ .,ምኽንያቱ እቲ ስእሊ ብስክሪም መሊኡ ኣሎ ።,ብቐሊሉ ናብ ካልእ ዓይነት ቅዲታት ክቕየር ንምፍቃድ .,ንኡስ ኣርእስትታት ናብ ታሕቲ ኣመና ኣጸጊዕኻ ንምቝራጽ
"One of the most common problems when you try to turn a movie into a DVD is excessively scattering. Most television is made to please the public. For this reason, all the things you see on TV have the borders cut off the top of the lower side. This is made to cover the entire electronic device, which is called excessively scan. Sadly, the DVD may also be cut off when you work, and the video is not fully seen if the video is in the subheading below.",2,"According to the text, what of the following is the problem when someone turns a movie into a DVD?",A picture that doesn't cover the screen in its entirety,Out of some parts of the sub-topics,A photograph that covers the screen,ወሰና ወሰኖም ምቑራጽ,2,ሓደ ካብቲ ፊልም ናብ ዲቪዲ ክትቅይሮ ክትፍትን ከለኻ ሓደ ካብቲ ልሙድ ጸገማት ካብ መጠን ንላዕሊ ፋሕፋሕ እዩ። መብዛሕትኡ ተለቪዥን ንህዝቢ ንምሕጓስ ዝግበር እዩ። በዚ ምኽንያት እዚ ኩሉ ኣብ ቲቪ እትርእዮ ነገራት ዶባት ኣብ ላዕሊ ታሕተዋይ ሸነኽ ክቖርጽ ይገብር። እዚ ድማ ንኹሉ ኤሌክትሮኒካዊ መሳርሒ ንምሽፋን ዝግበር ኮይኑ፡ እዚ ድማ ካብ መጠን ንላዕሊ ስካን ይበሃል። እቲ ዘሕዝን ግን እታ ዲቪዲ ክትሰርሕ ከለኻ እውን ክትቁረጽ ትኽእል እያ፣ እታ ቪድዮ ድማ እታ ቪድዮ ኣብቲ ኣብ ታሕቲ ዘላ ንኡስ ኣርእስቲ እንተሃልያ ምሉእ ብምሉእ ኣይርአን እዩ።,ብመሰረት እቲ ጽሑፍ፡ ሓደ ሰብ ንሓንቲ ፊልም ናብ ዲቪዲ ክቕይር ከሎ፡ እዚ ዝስዕብ ጸገም እንታይ ኣሎ?,ንስክሪን ብምሉኡ ዘይሽፍን ስእሊ,ካብ ገለ ክፋላት ናይቲ ንኡስ ኣርእስቲ,ስክሪን ዝሽፍን ስእሊ,ወሰና ወሰኖም ምቑራጽ
"The purpose of the United States was relying on three integrated attacks in various directions. General Tena Calder launched a direct attack on Britain's warships against Britain to close the ship of the war. General James Ewing 700 militias militia Ferri, interrupted and controlled the bridge in Assances and prevented the escape of the enemies' soldiers. The main force of 2,400 people is the floods from Trenton, Begen Begen north of 9 miles then to launch a morning attack, one by green and the other under Sallavin.",2,Where was the British base?,Asanpiink Cryk,Trenton,Bordentanon,ፕሪንስተን,3,"ዕላማ ኣመሪካ ኣብ ሰለስተ ዝተዋሃሃደ መጥቃዕቲ ናብ ዝተፈላለየ ኣንፈት ይምርኮስ ነይሩ። ጀነራል ቴና ካልደር ንመርከብ ኲናት ንምዕጻው ኣብ ልዕሊ ብሪጣንያውያን መራኽብ ውግእ ብሪጣንያ ቀጥታዊ መጥቃዕቲ ፈነወ። ጀነራል ጀምስ ኢዊንግ 700 ሚሊሻታት ሚሊሻ ፈሪ፡ ነቲ ድልድል ብኣሳንስ ኣቋሪጹን ተቖጻጺርዎን ወተሃደራት ጸላእቲ ንኸይሃድም ተኸልኪሉ። እቲ ቀንዲ ሓይሊ 2,400 ሰባት ካብ ትሬንቶን፡ ቤገን ቤገን ብሰሜን 9 ማይልስ ዝነበረ ውሕጅ ኮይኑ፡ ድሕሪኡ ንጉሆ መጥቃዕቲ ንምጅማር፡ እቲ ሓደ ብግሪን፡ እቲ ካልኣይ ድማ ኣብ ትሕቲ ሳላቪን ዝፍጸም እዩ።",መደበር እንግሊዝ ኣበይ ነይሩ?,ኣሳንፒኢንክ ክራይክ,ትሬንቶን,ቦርደንታኖን,ፕሪንስተን
"On July 4, when it was accepted by Congress, a handwritten handwritten by Jon Hancock President and Secretary of the Congregation Thomson was sent to John Denalp of Print Skin. The so-called “Danlap Brodsyed” ​​was ranged from 150 to 200 copies. The first public reading document was within the freedom of the Hall by John Nixon on July 8th. The ENAA. July 6th One who was sent to George Washington, who was read to New York on July 9, to London. The 25 wide ranges of Danlap have been known so far, the ancient copies of the document. The first handwriting was not left.",1,Whose signature was found in the handwritten draft?,John Dunlap,George Washington,John Nixon,ቻርለስ ቶምሰን,4,ብ4 ሓምለ ብኮንግረስ ተቐባልነት ምስ ረኸበ፡ ብፕረዚደንት ጆን ሃንኮክ ዝተጻሕፈ ብኢድ ዝተጻሕፈ ብኢድ ዝተጻሕፈን ጸሓፊ ጉባኤ ቶምሰንን ናብ ጆን ደናልፕ ናይ ሕትመት ቆርበት ተላእከ። እቲ “ዳንላፕ ብሮድሳይድ” ዝበሃል ካብ 150 ክሳብ 200 ቅዳሓት ዝነበረ እዩ። እቲ ናይ መጀመርታ ናይ ህዝቢ ንባብ ሰነድ ኣብ ውሽጢ ናጽነት ናይቲ ኣዳራሽ ብጆን ኒክሰን ብ8 ሓምለ እዩ ነይሩ። እቲ ኤናኣ። 6 ሓምለ ሓደ ናብ ጆርጅ ዋሽንግተን ዝተላእከ፡ ብ9 ሓምለ ናብ ኒውዮርክ ተነቢቡ፡ ናብ ለንደን። እቲ 25 ሰፊሕ ዝርዝር ዳንላፕ ክሳብ ሕጂ እቲ ጥንታዊ ቅዳሓት ናይቲ ሰነድ ይፍለጥ ነይሩ። ቀዳማይ ጽሑፍ ኢድ ኣይተረፈን።,ኣብቲ ብኢድ ዝተጻሕፈ ረቂቕ ፊርም ተረኺቡ?,ጆን ዳንላፕ,ጆርጅ ዋሽንግተን,ጆን ኒክሰን,ቻርለስ ቶምሰን
"On July 4, when it was accepted by Congress, a handwritten handwritten by Jon Hancock President and Secretary of the Congregation Thomson was sent to John Denalp of Print Skin. The so-called “Danlap Brodsyed” ​​was ranged from 150 to 200 copies. The first public reading document was within the freedom of the Hall by John Nixon on July 8th. The ENAA. July 6th One who was sent to George Washington, who was read to New York on July 9, to London. The 25 wide ranges of Danlap have been known so far, the ancient copies of the document. The first handwriting was not left.",2,"From the following places, where did the Dunlap Boardy final end?",New York,Dunlap printing shop,London,ኣዳራሽ ሓርነት,3,ብ4 ሓምለ ብኮንግረስ ተቐባልነት ምስ ረኸበ፡ ብፕረዚደንት ጆን ሃንኮክ ዝተጻሕፈ ብኢድ ዝተጻሕፈ ብኢድ ዝተጻሕፈን ጸሓፊ ጉባኤ ቶምሰንን ናብ ጆን ደናልፕ ናይ ሕትመት ቆርበት ተላእከ። እቲ “ዳንላፕ ብሮድሳይድ” ዝበሃል ካብ 150 ክሳብ 200 ቅዳሓት ዝነበረ እዩ። እቲ ናይ መጀመርታ ናይ ህዝቢ ንባብ ሰነድ ኣብ ውሽጢ ናጽነት ናይቲ ኣዳራሽ ብጆን ኒክሰን ብ8 ሓምለ እዩ ነይሩ። እቲ ኤናኣ። 6 ሓምለ ሓደ ናብ ጆርጅ ዋሽንግተን ዝተላእከ፡ ብ9 ሓምለ ናብ ኒውዮርክ ተነቢቡ፡ ናብ ለንደን። እቲ 25 ሰፊሕ ዝርዝር ዳንላፕ ክሳብ ሕጂ እቲ ጥንታዊ ቅዳሓት ናይቲ ሰነድ ይፍለጥ ነይሩ። ቀዳማይ ጽሑፍ ኢድ ኣይተረፈን።,ካብዞም ዝስዕቡ ቦታታት፡ ዳንላፕ ቦርሲ ፋይናል ኤንድ ኣበይ ነይርዋ?,ኒውዮርክ,ድኳን ሕትመት ዳንላፕ,ለንደን,ኣዳራሽ ሓርነት
"When the rulers of the movement saw the movement, he called for the reproof. The units to consolidate the front base were the first and third New-Hampsshit brigades of New-Hampshire brigades, under John Star and James Reid's colonels (they were both later). Stars soldiers are in the northern end of the foreign place. When the sub-wall with a specter river, the Peninswela rapidly extended this fence on the north side of the water side even on the side of the water. When Griley or Star put the site 100 feet (30 m) before the fence, the festival ordered no one to shoot without saying a plan.",1,Where did the Colonel Star soldiers take place?,"On the north, near the fence",on the beach on the edge of the water,Near the northeast of the peninsula,ኣብ ቅድሚ እቲ ሓጹር,1,ገዛእቲ ናይቲ ምንቅስቓስ ነቲ ምንቅስቓስ ምስ ረኣዩ፡ ነቲ ዳግማይ ዝከላኸል ጸዊዑ። ንቕድሚት መደበር ንምድልዳል ዝነበራ ኣሃዱታት፡ ኣብ ትሕቲ ጆን ስታርን ጀምስ ሪድን ኮሎኔላትን (ክልቲአን ድሒረን ነይረን)፡ ናይ መጀመርታን ሳልሳይን ናይ ኒው-ሃምፕሻር ብርጌዳት ብርጌዳት ኒው-ሃምፕሻየር ብርጌዳት እየን ነይረን። ወተሃደራት ከዋኽብቲ ኣብ ሰሜናዊ ጫፍ ናይቲ ናይ ወጻኢ ቦታ ኣለዉ። እቲ ንኡስ መንደቕ ምስ ስፔክተር ሩባ ምስ ከደ፡ እቲ ፔኒንስዌላ ነዚ ሓጹር እዚ ብቕልጡፍ ብሰሜናዊ ሸነኽ ናይቲ ማይ ሸነኽ ኣብ ጐድኒ እቲ ማይ ከይተረፈ ዘርጊሕዎ ነበረ። ግሪሊ ወይ ስታር ቅድሚ ሓጹር 100 ፍርቂ ጫማ (30 ሜትር) ምስ ኣቐመጠ፡ እቲ ፈስቲቫል ውጥን ከይበለ ዝትኩስ ሰብ ክተኩስ ኣዘዘ።,እቶም ኮሎኔል ስታር ወተሃደራት ኣበይ ተኻይዱ?,ብሰሜን ኣብ ጥቓ ሓጹር,ኣብ ወሰን ማይ ኣብ ዝርከብ ገማግም ባሕሪ,ኣብ ጥቓ ሰሜናዊ ምብራቕ ናይቲ ሓውሲ ደሴት,ኣብ ቅድሚ እቲ ሓጹር
"When the rulers of the movement saw the movement, he called for the reproof. The units to consolidate the front base were the first and third New-Hampsshit brigades of New-Hampshire brigades, under John Star and James Reid's colonels (they were both later). Stars soldiers are in the northern end of the foreign place. When the sub-wall with a specter river, the Peninswela rapidly extended this fence on the north side of the water side even on the side of the water. When Griley or Star put the site 100 feet (30 m) before the fence, the festival ordered no one to shoot without saying a plan.",2,"According to the text, when was the Star soldiers expand their fence?",When the rulers appealed to strengthen their power,When the regulars passed the ball,During the low waves,እቶም ወተሃደራት ንቅድሚት ክግስግሱ ከለው,3,ገዛእቲ ናይቲ ምንቅስቓስ ነቲ ምንቅስቓስ ምስ ረኣዩ፡ ነቲ ዳግማይ ዝከላኸል ጸዊዑ። ንቕድሚት መደበር ንምድልዳል ዝነበራ ኣሃዱታት፡ ኣብ ትሕቲ ጆን ስታርን ጀምስ ሪድን ኮሎኔላትን (ክልቲአን ድሒረን ነይረን)፡ ናይ መጀመርታን ሳልሳይን ናይ ኒው-ሃምፕሻር ብርጌዳት ብርጌዳት ኒው-ሃምፕሻየር ብርጌዳት እየን ነይረን። ወተሃደራት ከዋኽብቲ ኣብ ሰሜናዊ ጫፍ ናይቲ ናይ ወጻኢ ቦታ ኣለዉ። እቲ ንኡስ መንደቕ ምስ ስፔክተር ሩባ ምስ ከደ፡ እቲ ፔኒንስዌላ ነዚ ሓጹር እዚ ብቕልጡፍ ብሰሜናዊ ሸነኽ ናይቲ ማይ ሸነኽ ኣብ ጐድኒ እቲ ማይ ከይተረፈ ዘርጊሕዎ ነበረ። ግሪሊ ወይ ስታር ቅድሚ ሓጹር 100 ፍርቂ ጫማ (30 ሜትር) ምስ ኣቐመጠ፡ እቲ ፈስቲቫል ውጥን ከይበለ ዝትኩስ ሰብ ክተኩስ ኣዘዘ።,ብመሰረት እቲ ጽሑፍ፡ እቶም ኮኾብ ወተሃደራት መዓስ እዮም ሓጹሮም ዘስፍሑ?,እቶም ገዛእቲ ስልጣኖም ከሐይሉ ጥርዓን ምስ ገበሩ ።,እቶም ስሩዓትስ ኩዕሶ ምስ ሓለፉ .,ኣብ እዋን ትሑት ማዕበል .,እቶም ወተሃደራት ንቅድሚት ክግስግሱ ከለው
"Ancient China had a special way to show various times, each Chinese level or every family in power was a special dynasty. It was an unstable era between each dynasty of the provinces. The 60-year-old governments between Han and Jens, which were known at the time, was the 60-year-old. There were many nobles who were struggling to find a throne at that time. The three kingdoms were one of the most bloody centuries in the history of ancient ancient times.",1,"According to the text, which of the following is the violent era in China?",Gen dynasty dynasty,ETHIOPIA XIA,Han dynasty Han,መዋእል ሰለስተ ምድረ-ነገስታት,4,ጥንታዊት ቻይና ዝተፈላለየ ግዜ ከተርኢ ፍሉይ መንገዲ ነይርዋ፣ ነፍሲ ወከፍ ደረጃ ቻይና ወይ ኩሉ ስድራቤት ኣብ ስልጣን ፍሉይ ስርወ መንግስቲ እዩ ነይሩ። ኣብ መንጎ ነፍሲ ወከፍ ስርወ መንግስቲ ናይተን ኣውራጃታት ዘይርጉእ ዘመን እዩ ነይሩ። እቶም ኣብቲ እዋን ዝፍለጡ ዝነበሩ ሃንን ጀንስን ዝነበሩ 60 ዓመት ዝዕድሚኦም መንግስታት፡ እቲ ወዲ 60 ዓመት እዩ ነይሩ። ኣብቲ እዋን ዝፋን ንምርካብ ዝቃለሱ ዝነበሩ ብዙሓት መኳንንቲ ነይሮም። እተን ሰለስተ መንግስትታት ኣብ ታሪኽ ጥንታዊት ጥንቲ ካብ ዝነበራ ደማዊ ዘመናት ሓንቲ እያ ነይራ።,ብመሰረት እቲ ጽሑፍ፡ ኣብ ቻይና ካብዞም ዝስዕቡ ኣየናይ እዩ እቲ ዓመጽ ዝመልኦ ዘመን?,ጀነራል ስርወ መንግስቲ ስርወ መንግስቲ,ኢትዮጵያ xia,ሃን ዳይናስቲ ሃን,መዋእል ሰለስተ ምድረ-ነገስታት
