passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"The World Bank reported in February 2009 that the Arab World was far less severely affected by the credit crunch. With generally good balance of payments positions coming into the crisis or with alternative sources of financing for their large current account deficits, such as remittances, Foreign Direct Investment (FDI) or foreign aid, Arab countries were able to avoid going to the market in the latter part of 2008. This group is in the best position to absorb the economic shocks. They entered the crisis in exceptionally strong positions. This gives them a significant cushion against the global downturn. The greatest impact of the global economic crisis will come in the form of lower oil prices, which remains the single most important determinant of economic performance. Steadily declining oil prices would force them to draw down reserves and cut down on investments. Significantly lower oil prices could cause a reversal of economic performance as has been the case in past oil shocks. Initial impact will be seen on public finances and employment for foreign workers.",1,When did the World Bank report that the Arab world was less severely affected by the credit crunch?,FDI,Arab,February 2009,Foreign Direct Investment,3,"እቲ ዓለም ባንኪ reported አብ ውሽጢ ለካቲት 2009 እቲ እቲ Arab ዓለም ኔሩ ርሑቅ ዝወሓደ severely affected ብ እቲ ልቓሕ .crunch ምስ ብሓፈሻ ፅቡቅ ሚዛን ካብ payments positions ዝመጽእ ናብ ውሽጢ እቲ ቅልውላው ወይ ምስ ኣማራፂ sources ካብ financing ን ናቶም ገዚፍ እዋናዊ ኣካውንት ,deficits ከምዚ ከም ,remittances ናይ ወፃእ ቕጥታ Investment ()FDI ወይ ናይ ወፃእ ,ረድኤት Arab countries ኔሮም ምኽኣል ናብ አወግድ ከያዲ ናብ እቲ ዕዳጋ አብ ውሽጢ እቲ ጸኒሑ ክፋል ካብ .2008 እዚ ጉጅለ እዩ አብ ውሽጢ እቲ ምሩፅ ቦታ ናብ መጢጡ እቲ ቁጠባዊ .shocks ንሶም entered እቲ ቅልውላው አብ ውሽጢ exceptionally ጠንካራ .positions እዚ gives ንሶም ሓደ ግዙፍ መኽደኒ ተቃራኒ እቲ ዓለምለኻዊ .downturn እቲ greatest ፅልዋ ካብ እቲ ዓለምለኻዊ ቁጠባዊ ቅልውላው ንመፃእ ንዓ አብ ውሽጢ እቲ ፎርም ካብ ታሕተዋይ ዘይቲ ,prices አየናይ remains እቲ ነፀላ ብጥዕሚ ጠቃሚ determinant ካብ ቁጠባዊ .ብቅዓት Steadily declining ዘይቲ prices ይኸውን ሓይሊ ንሶም ናብ ሰኣል ታሕቲ reserves እና ቁረፅ ታሕቲ አብ ልዕሊ .investments Significantly ታሕተዋይ ዘይቲ prices ይከኣል ጠንቂ ሓደ reversal ካብ ቁጠባዊ ብቅዓት ከም ኣለዎ ዝነበረ እቲ ጉዳይ አብ ውሽጢ ሕሉፍ ዘይቲ .shocks መጀመሪ ፅልዋ ንመፃእ ኩን ተራእዩ አብ ልዕሊ ህዝባዊ finances እና ምቑጻር ስራሕ ን ናይ ወፃእ .workers",መዓዝ ግቡር እቲ ዓለም ባንኪ ኣፍልጥ እቲ እቲ Arab ዓለም ኔሩ ዝወሓደ severely affected ብ እቲ ልቓሕ ?crunch,FDI,Arab,ለካቲት 2009,ናይ ወፃእ ቕጥታ Investment
"Parkson enters by acquiring local brand Centro Department Store in 2011. Centro still operates for middle market while the 'Parkson' brand itself, positioned for middle-up segment, enters in 2014 by opening its first store in Medan, followed by its second store in Jakarta. Lotte, meanwhile, enters the market by inking partnership with Ciputra Group, creating what its called 'Lotte Shopping Avenue' inside the Ciputra World Jakarta complex, as well as acquiring Makro and rebranding it into Lotte Mart.",2,In which city did Parkson first open a store?,Medan,Ciputra Group,2014,second,1,"Parkson enters ብ acquiring ወሽጣዊ ስም ምህርቲ Centro ክፍሊ መኽዝን አብ ውሽጢ .2011 Centro እስካብ ሕዚ operates ን ማእኸል ዕዳጋ እስካብ እቲ ''Parkson ስም ምህርቲ ,itself positioned ን -middle-up ,segment enters አብ ውሽጢ 2014 ብ opening ናቱ መጀመርታ መኽዝን አብ ውሽጢ ,Medan followed ብ ናቱ ካልኣይ መኽዝን አብ ውሽጢ .Jakarta ,Lotte ,ክሳብ ሽዑ enters እቲ ዕዳጋ ብ inking partnership ምስ Ciputra ,ጉጅለ creating እንታይ ናቱ ዝተፀወዐ 'Lotte ምዕዳግ 'Avenue ኣብ ውሽጢ እቲ Ciputra ዓለም Jakarta ,ሕውስዋስ ከም ደሓን ከም acquiring Makro እና rebranding እቲ ነገር ናብ ውሽጢ Lotte .Mart",አብ ውሽጢ አየናይ ከተማ ግቡር Parkson መጀመርታ ክፈት ሓደ ?መኽዝን,Medan,Ciputra ጉጅለ,2014,ካልኣይ
"Of his eight encyclicals, Pope Paul VI is best known for his encyclical Humanae vitae (Of Human Life, subtitled On the Regulation of Birth), published on 25 July 1968. In this encyclical he reaffirmed the Catholic Church's traditional view of marriage and marital relations and a continued condemnation of artificial birth control. There were two Papal committees and numerous independent experts looking into the latest advancement of science and medicine on the question of artificial birth control. which were noted by the Pope in his encyclical The expressed views of Paul VI reflected the teachings of his predecessors, especially Pius XI, Pius XII and John XXIII and never changed, as he repeatedly stated them in the first few years of his Pontificate",3,When did Paul VI publish the encyclical Humanae vitae?,Humanae,two,25 July 1968,Papal,3,"ካብ ናቱ ሸሞንተ ,encyclicals Pope Paul VI እዩ ምሩፅ ፍሉጥ ን ናቱ encyclical Humanae vitae (ካብ ሰብ ,ህይወት subtitled አብ ልዕሊ እቲ Regulation ካብ ),Birth published አብ ልዕሊ 25 ሓምለ .1968 አብ ውሽጢ እዚ encyclical ንሱ reaffirmed እቲ Catholic 'Church's ባህላዊ ኣረኣእያ ካብ መርዓ እና marital relations እና ሓደ continued condemnation ካብ ሰብ ሰራሕ birth .ምቁጽጻር ኣብቲ ኔሮም ክልተ Papal committees እና numerous ዓርሱ ዝኸኣለ experts looking ናብ ውሽጢ እቲ ናይ ቀረባ እዋን advancement ካብ ሳይንስ እና መድሓኒት አብ ልዕሊ እቲ ሕቶ ካብ ሰብ ሰራሕ birth .ምቁጽጻር አየናይ ኔሮም ተመዝጊቡ ብ እቲ Pope አብ ውሽጢ ናቱ encyclical እቲ expressed views ካብ Paul VI reflected እቲ teachings ካብ ናቱ ,predecessors ብፍላይ Pius ,XI Pius XII እና John XXIII እና ፍፁም ,changed ከም ንሱ repeatedly stated ንሶም አብ ውሽጢ እቲ መጀመርታ ቁሩብ ዓመታት ካብ ናቱ Pontificate",መዓዝ ግቡር Paul VI publish እቲ encyclical Humanae ?vitae,Humanae,ክልተ,25 ሓምለ 1968,Papal
"Initially the change in strategy caught the RAF off-guard, and caused extensive damage and civilian casualties. Some 107,400 long tons (109,100 t) of shipping was damaged in the Thames Estuary and 1,600 civilians were casualties. Of this total around 400 were killed. The fighting in the air was more intense in daylight. Overall Loge had cost the Luftwaffe 41 aircraft; 14 bombers, 16 Messerschmitt Bf 109s, seven Messerschmitt Bf 110s and four reconnaissance aircraft. Fighter Command lost 23 fighters, with six pilots killed and another seven wounded. Another 247 bombers from Sperrle's Luftflotte 3 (Air Fleet 3) attacked that night. On 8 September, the Luftwaffe returned. This time 412 people were killed and 747 severely wounded.",4,How many civilians were killed when the RAF was attacked?,8 September,41,Luftwaffe,"1,600",4,"Initially እቲ ለውጢ አብ ውሽጢ ሜላ ተታሒዙ እቲ RAF -,off-guard እና caused extensive ጉድኣት እና civilian .casualties ንእሽተይ ,107,400 ነዊሕ tons (,109,100 )t ካብ ምልኣኽ ኔሩ damaged አብ ውሽጢ እቲ Thames Estuary እና ,1,600 civilians ኔሮም .casualties ካብ እዚ ድምር አብ ከባቢ 400 ኔሮም .killed እቲ ባእሲ አብ ውሽጢ እቲ ኣየር ኔሩ ቡዙሕ ጽዑቕ አብ ውሽጢ .daylight ጠቅላላ Loge ዝነበረ ዋጋ እቲ Luftwaffe 41 ;aircraft 14 ,bombers 16 Messerschmitt Bf ,109s ሸውዓተ Messerschmitt Bf 110s እና ዓርባዕተ reconnaissance .aircraft Fighter ትእዛዝ ዝጠፈአ 23 ,fighters ምስ ሽዱሽተ pilots killed እና ካልእ ሸውዓተ .wounded ካልእ 247 bombers ካብ 'Sperrle's Luftflotte 3 (ኣየር Fleet )3 attacked እቲ .ምሸት አብ ልዕሊ 8 ,መስከረም እቲ Luftwaffe .returned እዚ ግዜ 412 ህዝቢ ኔሮም killed እና 747 severely .wounded",ከመይ ቡዙሕ civilians ኔሮም killed መዓዝ እቲ RAF ኔሩ ?attacked,8 መስከረም,41,Luftwaffe,",1,600"
"A 2013 study in Nature reported that DNA found in the 24,000-year-old remains of a young boy from the archaeological Mal'ta-Buret' culture suggest that up to one-third of the indigenous Americans may have ancestry that can be traced back to western Eurasians, who may have ""had a more north-easterly distribution 24,000 years ago than commonly thought"". ""We estimate that 14 to 38 percent of Native American ancestry may originate through gene flow from this ancient population,"" the authors wrote. Professor Kelly Graf said,",5,What year did Nature publish a study of a boy's DNA?,Mal'ta,14 to 38 percent,Kelly Graf,2013,4,"ሓደ 2013 መፅናዕቲ አብ ውሽጢ ተፈጥሮ reported እቲ DNA ተረኺቡ አብ ውሽጢ እቲ ,--24,000-year-old remains ካብ ሓደ ንእሽተይ ወዲ ካብ እቲ archaeological '-'Mal'ta-Buret ባህሊ ሓሳብ ምቕራብ እቲ ሓፍ ናብ -one-third ካብ እቲ ዘይእሩም Americans ተዝኸዉን ኣለኒ ancestry እቲ ይኽእል ኩን traced ዝባን ናብ western ,Eurasians መን ተዝኸዉን ኣለኒ ""ዝነበረ ሓደ ቡዙሕ -north-easterly ምክፍፋል ,24,000 ዓመታት ቕድሚ ካብ commonly "".ሓሳብ ""ንሕና ግምት እቲ 14 ናብ 38 percent ካብ መበቆል American ancestry ተዝኸዉን originate ብውሽጢ gene ዋሕዚ ካብ እዚ ጥንታዊ ,""በዝሒ ህዝቢ እቲ authors .ጽሒፉ Professor Kelly Graf ,ኢሉ",እንታይ ዓመት ግቡር ተፈጥሮ publish ሓደ መፅናዕቲ ካብ ሓደ 'boy's ?DNA,'Mal'ta,14 ናብ 38 percent,Kelly Graf,2013
"Executions resumed on January 17, 1977, when Gary Gilmore went before a firing squad in Utah. But the pace was quite slow due to the use of litigation tactics which involved filing repeated writs of habeas corpus, which succeeded for many in delaying their actual execution for many years. Although hundreds of individuals were sentenced to death in the United States during the 1970s and early 1980s, only ten people besides Gilmore (who had waived all of his appeal rights) were actually executed prior to 1984.",6,On what date did Gary Gilmore go before a firing squad?,"January 17, 1977",hundreds,Utah,the United States,1,"Executions resumed አብ ልዕሊ ጥሪ ,17 ,1977 መዓዝ Gary Gilmore ኬዱ ቅድሚ ሓደ firing squad አብ ውሽጢ .Utah ግን እቲ እንቅስቃሰ ኔሩ ፀጥ ዝበለ ዝንጉዕ መወዳእታ ናብ እቲ ጥቅሚ ካብ litigation tactics አየናይ ዝተኻተተ filing repeated writs ካብ habeas ,corpus አየናይ succeeded ን ቡዙሕ አብ ውሽጢ delaying ናቶም ክዉን ቕትለት ን ቡዙሕ .ዓመታት ዋላ እኳ hundreds ካብ individuals ኔሮም sentenced ናብ ሞት አብ ውሽጢ እቲ United States አብ እዋን እቲ 1970s እና ብግዘ ,1980s ጥራሕ ዓሰርተ ህዝቢ ጎና ጎኒ Gilmore (መን ዝነበረ waived ኩሎም ካብ ናቱ ይግባኝ )rights ኔሮም ብሓቂ executed ቅድሚያ ናብ .1984",አብ ልዕሊ እንታይ ዕለት ግቡር Gary Gilmore ኪድ ቅድሚ ሓደ firing ?squad,"ጥሪ ,17 1977",hundreds,Utah,እቲ United States
"Photo Gallery is an optional application to view, create and group photos from PS3, which is installed separately from the system software at 105 MB. It was introduced in system software version 2.60 and provides a range of tools for sorting through and displaying the system's pictures. The key feature of this application is that it can organize photos into groups according to various criteria. Notable categorizations are colors, ages, or facial expressions of the people in the photos. Slideshows can be viewed with the application, along with music and playlists. The software was updated with the release of system software version 3.40 allowing users to upload and browse photos on Facebook and Picasa.",7,What size is the Photo Gallery?,105,Photo Gallery,Facebook and Picasa,PS3,1,"ፎቶ Gallery እዩ ሓደ ዘይናይግድን ማመልከቻ ናብ ,ኣረኣእያ ፍጠር እና ጉጅለ photos ካብ ,PS3 አየናይ እዩ installed separately ካብ እቲ ስርዓት ሶፍትዌር ኣብ 105 .MB እቲ ነገር ኔሩ introduced አብ ውሽጢ ስርዓት ሶፍትዌር ሕታም .2.60 እና provides ሓደ ግዝፈት ካብ መሳረሕታት ን sorting ብውሽጢ እና displaying እቲ 'system's .pictures እቲ መፍትሕ መለለዩ ካብ እዚ ማመልከቻ እዩ እቲ እቲ ነገር ይኽእል organize photos ናብ ውሽጢ groups ከም ናብ ዝተፈላለዩ .መለክዒ Notable categorizations እዮም ,colors ,ages ወይ facial expressions ካብ እቲ ህዝቢ አብ ውሽጢ እቲ .photos Slideshows ይኽእል ኩን viewed ምስ እቲ ,ማመልከቻ ማዕረ ኣንፈት ምስ ሙዚቃ እና .playlists እቲ ሶፍትዌር ኔሩ updated ምስ እቲ ስደድ ካብ ስርዓት ሶፍትዌር ሕታም .3.40 allowing users ናብ upload እና browse photos አብ ልዕሊ Facebook እና .Picasa",እንታይ ግዝፊ እዩ እቲ ፎቶ ?Gallery,105,ፎቶ Gallery,Facebook እና Picasa,PS3
"Valencia is a bilingual city: Valencian and Spanish are the two official languages. Spanish is official in all of Spain, whereas Valencian is official in the Valencian Country, as well as in Catalonia and the Balearic Islands, where it receives the name of Catalan. Despite the differentiated denomination, the distinct dialectal traits and political tension between Catalonia and the Valencian Country, Catalan and Valencian are mutually intelligible and are considered two varieties of the same language.
Valencian has been historically repressed in favour of Spanish. The effects have been more noticeable in the city proper, whereas the language has remained active in the rural and metropolitan areas. After the Castille-Aragon unification, a Spanish-speaking elite established itself in the city. In more recent history, the establishment of Franco's military and administrative apparatus in Valencia further excluded Valencian from public life. Valencian recovered its official status, prestige and use in education after the transition to democracy in 1978. However, due to industrialisation in recent decades, Valencia has attracted immigration from other regions in Spain, and hence there is also a demographic factor for its declining social use. Due to a combination of these reasons, Valencia has become the bastion of anti-Catalan blaverism, which celebrates Valencian as merely folkloric, but rejects the existing standard which was adapted from Catalan orthography.
Spanish is currently the predominant language in the city proper but, thanks to the education system, most Valencians have basic knowledge of both Spanish and Valencian, and either can be used in the city. Valencia is therefore the second biggest Catalan-speaking city after Barcelona. Institutional buildings and streets are named in Valencian. The city is also home to many pro-Valencian political and civil organisations. Furthermore, education entirely in Valencian is offered in more than 70 state-owned schools in the city, as well as by the University of Valencia across all disciplines.",8,Which city is bilingual?,recent decades,two,more than 70,Valencia,4,"Valencia እዩ ሓደ bilingual :ከተማ Valencian እና ስጳኛ እዮም እቲ ክልተ ዘፍለጠ .languages ስጳኛ እዩ ዘፍለጠ አብ ውሽጢ ኩሎም ካብ ,Spain ክኸውን ከሎ Valencian እዩ ዘፍለጠ አብ ውሽጢ እቲ Valencian ,ሃገር ከም ደሓን ከም አብ ውሽጢ Catalonia እና እቲ Balearic ,Islands አበይ እቲ ነገር receives እቲ ሽም ካብ .Catalan ብዘየገድስ እቲ differentiated ,denomination እቲ ዝጠፈአ dialectal ባህርያት እና political ውጥረት አብ መንጎ Catalonia እና እቲ Valencian ,ሃገር Catalan እና Valencian እዮም mutually intelligible እና እዮም ገምገመ ክልተ varieties ካብ እቲ ማዕረ .ቋንቋ Valencian ኣለዎ ዝነበረ historically repressed አብ ውሽጢ ፍትወት ካብ .ስጳኛ እቲ effects ኣለኒ ዝነበረ ቡዙሕ noticeable አብ ውሽጢ እቲ ከተማ ,ቅቡል ክኸውን ከሎ እቲ ቋንቋ ኣለዎ remained ንቑሕ አብ ውሽጢ እቲ ከባቢ ገጠር እና metropolitan .areas ድሕሪ እቲ -Castille-Aragon ,unification ሓደ -Spanish-speaking elite ዝተመስረተ itself አብ ውሽጢ እቲ .ከተማ አብ ውሽጢ ቡዙሕ ናይ ቀረባ ,ታሪኽ እቲ establishment ካብ 'Franco's ወተሃደራዊ ኣገልግሎት እና administrative apparatus አብ ውሽጢ Valencia ርሑቅ excluded Valencian ካብ ህዝባዊ .ህይወት Valencian recovered ናቱ ዘፍለጠ ,ኩነታት prestige እና ጥቅሚ አብ ውሽጢ ትምህርቲ ድሕሪ እቲ መሰጋገሪ ናብ ዲሞክራሲ አብ ውሽጢ .1978 ,ዋላኳ ተኾነ መወዳእታ ናብ industrialisation አብ ውሽጢ ናይ ቀረባ ,decades Valencia ኣለዎ attracted immigration ካብ ካልእ regions አብ ውሽጢ ,Spain እና በዚ ምኽንያት ኣብቲ እዩ እውን ሓደ demographic ረቛሒ ን ናቱ declining ማሕበራዊ .ጥቅሚ መወዳእታ ናብ ሓደ ጥምረት ካብ እዚ ,reasons Valencia ኣለዎ ምዃን እቲ bastion ካብ -anti-Catalan ,blaverism አየናይ celebrates Valencian ከም ጥራሕ ,folkloric ግን rejects እቲ ነባር መለክዒ አየናይ ኔሩ adapted ካብ Catalan .orthography ስጳኛ እዩ አብዚ ሕዚ እቲ predominant ቋንቋ አብ ውሽጢ እቲ ከተማ ቅቡል ,ግን የቅንየለይ ናብ እቲ ትምህርቲ ,ስርዓት ብጥዕሚ Valencians ኣለኒ መሰረታዊ ፍልጠት ካብ ክልቲኡ ስጳኛ እና ,Valencian እና ወይ ይኽእል ኩን ዘገልገለ አብ ውሽጢ እቲ .ከተማ Valencia እዩ ስለዚ ድማ እቲ ካልኣይ biggest -Catalan-speaking ከተማ ድሕሪ .Barcelona Institutional buildings እና streets እዮም named አብ ውሽጢ .Valencian እቲ ከተማ እዩ እውን ገዛ ናብ ቡዙሕ -pro-Valencian political እና civil .organisations ,ካብዚ ተወሳኺ ትምህርቲ entirely አብ ውሽጢ Valencian እዩ offered አብ ውሽጢ ቡዙሕ ካብ 70 -state-owned schools አብ ውሽጢ እቲ ,ከተማ ከም ደሓን ከም ብ እቲ ዩኒቨርሲቲ ካብ Valencia ሰገር ኩሎም .disciplines",አየናይ ከተማ እዩ ?bilingual,ናይ ቀረባ decades,ክልተ,ቡዙሕ ካብ 70,Valencia
"The concept of 'education through recreation' was applied to childhood development in the 19th century. In the early 20th century, the concept was broadened to include young adults but the emphasis was on physical activities. L.P. Jacks, also an early proponent of lifelong learning, described education through recreation: ""A master in the art of living draws no sharp distinction between his work and his play, his labour and his leisure, his mind and his body, his education and his recreation. He hardly knows which is which. He simply pursues his vision of excellence through whatever he is doing and leaves others to determine whether he is working or playing. To himself he always seems to be doing both. Enough for him that he does it well."" Education through recreation is the opportunity to learn in a seamless fashion through all of life's activities. The concept has been revived by the University of Western Ontario to teach anatomy to medical students.",9,Who was an early proponent of lifelong learning?,the 19th century,the University of Western Ontario,the early 20th century,L.P. Jacks,4,"እቲ ጭብጢ ካብ 'ትምህርቲ ብውሽጢ 'recreation ኔሩ applied ናብ ቁልዕነት ዕብየት አብ ውሽጢ እቲ 19th .ዘመን አብ ውሽጢ እቲ ብግዘ 20th ,ዘመን እቲ ጭብጢ ኔሩ broadened ናብ ይሓውስ ንእሽተይ adults ግን እቲ ኣትኩሮ ምሃብ ኔሩ አብ ልዕሊ ኣካላዊ .ስራሕቲ ..L.P ,Jacks እውን ሓደ ብግዘ proponent ካብ lifelong ,ምምሃር described ትምህርቲ ብውሽጢ :recreation ""ሓደ ተምሃረ አብ ውሽጢ እቲ ጥበብ ካብ ምንባር draws አይኮንን በሊሕ distinction አብ መንጎ ናቱ ስራሕ እና ናቱ ,ተፃወት ናቱ ናይ ጉልበት ስራሕ እና ናቱ ,ትርፊ ናቱ ሓንጎል እና ናቱ ,ሰውነት ናቱ ትምህርቲ እና ናቱ .recreation ንሱ ዳርጋ knows አየናይ እዩ .አየናይ ንሱ simply pursues ናቱ ራእይ ካብ excellence ብውሽጢ ዝኾነ ይኹን ንሱ እዩ ተግባር እና ኣቑጽልቲ others ናብ ርኸብ ዶ ንሱ እዩ ምስራሕ ወይ .ምፅዋት ናብ himself ንሱ ወትሪ ይመስል ናብ ኩን ተግባር .ክልቲኡ እኹል ን ንሱ እቲ ንሱ ምግባር እቲ ነገር .""ደሓን ትምህርቲ ብውሽጢ recreation እዩ እቲ ዕድል ናብ ተመሃር አብ ውሽጢ ሓደ seamless ፋሽን ብውሽጢ ኩሎም ካብ 'life's .ስራሕቲ እቲ ጭብጢ ኣለዎ ዝነበረ revived ብ እቲ ዩኒቨርሲቲ ካብ Western Ontario ናብ መሃረ anatomy ናብ ሕክምና .students",መን ኔሩ ሓደ ብግዘ proponent ካብ lifelong ?ምምሃር,እቲ 19th ዘመን,እቲ ዩኒቨርሲቲ ካብ Western Ontario,እቲ ብግዘ 20th ዘመን,..L.P Jacks
"The competition formed as the FA Premier League on 20 February 1992 following the decision of clubs in the Football League First Division to break away from the Football League, which was originally founded in 1888, and take advantage of a lucrative television rights deal. The deal was worth £1 billion a year domestically as of 2013–14, with BSkyB and BT Group securing the domestic rights to broadcast 116 and 38 games respectively. The league generates €2.2 billion per year in domestic and international television rights. In 2014/15, teams were apportioned revenues of £1.6 billion.",10,How much is the deal for the TV rights worth to the league as of 2013-14?,£1 billion,the Football League First Division,20 February 1992,1888,1,"እቲ ውድድር formed ከም እቲ FA Premier League አብ ልዕሊ 20 ለካቲት 1992 ምኽታል እቲ ውሳነ ካብ clubs አብ ውሽጢ እቲ እግሪ ኩዕሶ League መጀመርታ Division ናብ ስበር ንየ ካብ እቲ እግሪ ኩዕሶ ,League አየናይ ኔሩ originally founded አብ ውሽጢ ,1888 እና ውሰድ ጥቅሚ ካብ ሓደ lucrative television rights .ዛዕባ እቲ ዛዕባ ኔሩ ዋጋ £1 billion ሓደ ዓመት domestically ከም ካብ ,2013–14 ምስ BSkyB እና BT ጉጅለ securing እቲ ዘቤት rights ናብ ፈነወ 116 እና 38 games .respectively እቲ league generates .€2.2 billion per ዓመት አብ ውሽጢ ዘቤት እና ዓለም ለኻዊ television .rights አብ ውሽጢ /,2014/15 teams ኔሮም apportioned revenues ካብ .£1.6 .billion",ከመይ ብዙሕ እዩ እቲ ዛዕባ ን እቲ TV rights ዋጋ ናብ እቲ league ከም ካብ -?2013-14,£1 billion,እቲ እግሪ ኩዕሶ League መጀመርታ Division,20 ለካቲት 1992,1888
