passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"The European Central Bank (ECB) is the central bank for the euro and administers monetary policy of the Eurozone, which consists of 19 EU member states and is one of the largest currency areas in the world. It is one of the world's most important central banks and is one of the seven institutions of the European Union (EU) listed in the Treaty on European Union (TEU). The capital stock of the bank is owned by the central banks of all 28 EU member states.[dated info] The Treaty of Amsterdam established the bank in 1998, and it is headquartered in Frankfurt, Germany. As of 2015[update] the President of the ECB is Mario Draghi, former governor of the Bank of Italy, former member of the World Bank, and former managing director of the Goldman Sachs international division (2002–2005). The bank primarily occupied the Eurotower prior to, and during, the construction of the new headquarters.",1,Which bank is the center bank for the Euro?,seven,one,28,The European Central Bank,4,ማእከላይ ባንክ ኤውሮጳ (ECB) ማእከላይ ባንክ ናይቲ ዩሮ ኮይኑ፡ ንገንዘባዊ ፖሊሲ ናይቲ 19 ኣባላት ሕብረት ኤውሮጳ ዝሓቖፈ ዞባ ዞባ ኤውሮጳ ዘመሓድር ኮይኑ፡ ኣብ ዓለም ካብ ዘለዉ ዓበይቲ ናይ ባጤራ ከባቢታት ሓደ እዩ። ሓደ ካብቶም ኣገደስቲ ማእከላይ ባንክታት ዓለምና ኮይኑ፡ ኣብ ውዕል ሕብረት ኤውሮጳ (TEU) ካብ ዝተዘርዘረ ሸውዓተ ትካላት ሕብረት ኤውሮጳ (EU) ሓንቲ እያ። ካፒታል ስቶክ ናይቲ ባንክ ብማእከላይ ባንክታት ኩለን እተን 28 ኣባላት ሕብረት ኤውሮጳ ዝውነን እዩ።[ዕለት ሓበሬታ] ውዕል ኣምስተርዳም ኣብ 1998 ነቲ ባንክ መስሪቱ፡ ኣብ ፍራንክፈርት ጀርመን ድማ ዋና ቤት ጽሕፈቱ ኣለዎ። ክሳብ 2015[Update] ፕረዚደንት ECB ማሪዮ ድራጊ፡ ኣመሓዳሪ ባንክ ኢጣልያ ዝነበረ፡ ኣባል ባንክ ዓለም ዝነበረን ኣካያዲ ዳይረክተር ናይ ጎልድማን ሳክስ ዓለምለኻዊ ክፍሊ (2002–2005) ነበርን እዩ። እቲ ባንክ ብቐንዱ ቅድሚን ኣብ እዋንን ምህናጽ እቲ ሓድሽ ዋና ቤት ጽሕፈት ንዩሮቶወር እዩ ዝሕዝ ነይሩ።,ንዩሮ ዝኸውን ናይ ማእከል ባንክ ኣየናይ ባንክ እዩ?,ሸውዓተ,ሓደ,28 .,ማእከላይ ባንክ ኤውሮጳ
"Windows 8 development started before Windows 7 had shipped in 2009. At the Consumer Electronics Show in January 2011, it was announced that the next version of Windows would add support for ARM system-on-chips alongside the existing x86 processors produced by vendors, especially AMD and Intel. Windows division president Steven Sinofsky demonstrated an early build of the port on prototype devices, while Microsoft CEO Steve Ballmer announced the company's goal for Windows to be ""everywhere on every kind of device without compromise."" Details also began to surface about a new application framework for Windows 8 codenamed ""Jupiter"", which would be used to make ""immersive"" applications using XAML (similarly to Windows Phone and Silverlight) that could be distributed via a new packaging system and a rumored application store.",2,Who was the Windows 8 division president?,Windows Phone,Steven Sinofsky,XAML,AMD,2,"Windows 8 ምዕባለ ቅድሚ Windows 7 ኣብ 2009 ምልኣኹ እዩ ጀሚሩ።ኣብቲ ኣብ ጥሪ 2011 ዝተኻየደ ናይ ተጠቃሚ ኤሌክትሮኒክስ ምርኢት፡ እቲ ዝቕጽል ስሪት ዊንዶውስ ምስቶም ብሸየጥቲ ዝፍረዩ x86 ፕሮሰሰርስ ብፍላይ ድማ ብኤምዲን ኢንቴልን ንዘለዉ ARM System-on-chips ደገፍ ከም ዝውስኽ ተገሊጹ። ፕረዚደንት ዊንዶውስ ዲቪዥን ስቲቨን ሲኖፍስኪ ኣብ ፕሮቶታይፕ መሳርሒታት ናይቲ ወደብ ብኣግኡ ከምዝሃነጸ ዘርኢ ክኸውን ከሎ፡ ዋና ኣካያዲ ስራሕ ማይክሮሶፍት ስቲቭ ባልመር፡ ንዊንዶውስ ንዊንዶውስ ""ኣብ ኩሉ ቦታ ኣብ ኩሉ ዓይነት መሳርሒ ብዘይ ምድምማጽ"" ክኸውን ከም ዘለዎ ዕላማ ናይቲ ኩባንያ ኣፍሊጡ። ዝርዝር ሓበሬታ ብዛዕባ ሓድሽ መተግበሪ ፍሬምዎርክ ንWindows 8 coded ""jupiter"" ተባሂሉ ዝተሰምየ ክኸውን ጀሚሩ፣ እዚ ድማ ብመንገዲ ሓድሽ ናይ መዐሸጊ ስርዓትን ብወረ ዝውረ ናይ መተግበሪ ድኳንን ክዝርጋሕ ዝኽእል XAML (ብተመሳሳሊ ናብ ዊንዶውስ ፎንን ሲልቨርላይትን) ብምጥቃም ""mursive"" ኣፕሊኬሽናት ንምስራሕ ዝውዕል እዩ።",ፕረዚደንት ዲቪዥን ዊንዶውስ 8 መን እዩ ነይሩ?,ዊንዶውስ ፎን,ስቲቨን ሲኖፍስኪ,XAML .,AMD
"Comcast Corporation, formerly registered as Comcast Holdings,[note 1] is an American multinational mass media company and is the largest broadcasting and largest cable company in the world by revenue. It is the second largest pay-TV company after the AT&T-DirecTV acquisition, largest cable TV company and largest home Internet service provider in the United States, and the nation's third largest home telephone service provider. Comcast services U.S. residential and commercial customers in 40 states and the District of Columbia. The company's headquarters are located in Philadelphia, Pennsylvania.",3,Which mass media company is the largest cable company by revenue?,40,Comcast Corporation,second,third,2,ኮምካስት ኮርፖሬሽን፡ ቀደም ከም ኮምካስት ሆልዲንግስ ተመዝጊቡ ዝነበረ፡[መተሓሳሰቢ 1] ኣመሪካዊ ብዙሕ ሃገራዊ ማስሚክ ዝሰርሕ ኩባንያ ኮይኑ፡ ኣብ ዓለም እቲ ዝዓበየ ናይ ገመድን ዝዓበየን ናይ ገመድ ኩባንያ ኮይኑ፡ ብኣታዊ እዩ። ድሕሪ AT&T-DirectV ምግዛእ፣ ዝዓበየ ናይ ገመድ ቲቪ ኩባንያን ኣብ ኣሜሪካ ዝዓበየ ናይ ገዛ ኣገልግሎት ኢንተርነትን፣ ከምኡ’ውን ሳልሳይ ዝዓበየ ናይ ገዛ ኣገልግሎት ቴሌፎን ወሃቢ ኣገልግሎት ቴለፎን እታ ሃገር ካልኣይ ዝዓበየ ናይ ክፍሊት-TV ኩባንያ እዩ። Comcast Services U.S. መንበሪን ንግዳውን ዓማዊል ኣብ 40 ግዝኣታትን ኣውራጃ ኮሎምብያን. ዋና ቤት ጽሕፈት ናይቲ ኩባንያ ኣብ ፊላደልፍያ ፐንሲልቫንያ ይርከብ።,ኣየናይ ናይ ጃምላዊ ሚድያ ኩባንያ እዩ እቲ ዝዓበየ ናይ ገመድ ኩባንያ ብኣታዊ?,40 .,ኮምካስት ኮርፖሬሽን,ካልኣይ,ሳልሳይ
"The Crimean War was a military conflict fought between October 1853 – March 1856 in which Russia lost to an alliance of France, the United Kingdom, the Ottoman Empire, and Sardinia. The immediate cause involved the rights of Christian minorities in the Holy Land, which was controlled by the Ottoman Empire. The French promoted the rights of Catholics, while Russia promoted those of the Eastern Orthodox Christians. The longer-term causes involved the decline of the Ottoman Empire and the unwillingness of the United Kingdom and France to allow Russia to gain territory and power at Ottoman expense. It has widely been noted that the causes, in one case involving an argument over a key, have never revealed a ""greater confusion of purpose"", yet led to a war noted for its ""notoriously incompetent international butchery.""",4,What conflict did Russia lose between October 1853 - March 1856?,Catholics,one,France,The Crimean War,4,"ኲናት ክሪሚያ ኣብ መንጎ ጥቅምቲ 1853 – መጋቢት 1856 ዝተኻየደ ወተሃደራዊ ግጭት እዩ ነይሩ፡ እዚ ድማ ሩስያ ብያን ኪዳን ፈረንሳ፡ ዓባይ ብሪጣንያ፡ ግዝኣት ኦቶማንን ሳርዲንያን ዝጠፍአትሉ እዩ። እቲ ቅጽበታዊ ጠንቂ ኣብታ ብሃጸያዊ ግዝኣት ኦቶማን ዝቆጻጸር ዝነበረ ቅድስቲ ምድሪ መሰል ውሑዳት ክርስትያን ዘጠቓለለ እዩ። ፈረንሳውያን መሰል ካቶሊካውያን ከስፋሕፍሑ እንከለዉ፡ ሩስያ ድማ ነቶም ናይ ምብራቓውያን ኦርቶዶክሳውያን ክርስትያናት ከተስፋሕፍሕ ከላ። እቲ ንነዊሕ እዋን ዝጸንሕ ጠንቂ፡ ንሩስያ ብዋጋ ኦቶማን ግዝኣትን ስልጣንን ክትረክብ ምእንቲ ክትፈቅድ ዓባይ ብሪጣንያን ፈረንሳን ዘይምፍላጥ፡ ምንቁልቋል ግዝኣት ኦቶማንን ድልየት ዘይምህላውን ዘጠቓለለ እዩ። እቶም ጠንቅታት፡ ኣብ ሓደ ጉዳይ ኣብ ልዕሊ ሓደ ቁልፊ ክትዕ ዘካተተ ጠንቅታት፡ ""ዓቢ ምድንጋር ዕላማ"" ኣቃሊዖም ከም ዘይፈልጡ፡ ምስዚ ኩሉ ግን ""ብዘየለ ብቕዓት ዘይብሉ ኣህጉራዊ ስጋዊ ምሕንጣጥ"" ዝተጠቕለለ ኲናት ከም ዘብጽሑ ብሰፊሑ ተገሊጹ ኣሎ።",ሩስያ ኣብ መንጎ ጥቅምቲ 1853 - መጋቢት 1856 እንታይ ግጭት ተሳዒራ?,ካቶሊካውያን,ሓደ,ፈረንሳ,ኲናት ክሪሚያ
"The contemporary Liberal Party generally advocates economic liberalism (see New Right). Historically, the party has supported a higher degree of economic protectionism and interventionism than it has in recent decades. However, from its foundation the party has identified itself as anti-socialist. Strong opposition to socialism and communism in Australia and abroad was one of its founding principles. The party's founder and longest-serving leader Robert Menzies envisaged that Australia's middle class would form its main constituency.",5,What party has been identified as anti-socialist?,recent decades,Robert Menzies,Liberal Party,Australia,3,እቲ እዋናዊ ሊበራላዊ ሰልፊ ብሓፈሻ ንቁጠባዊ ሊበራሊዝም ይጣበቕ (ሓድሽ መሰል ርአ)። ብታሪኽ እቲ ሰልፊ ካብቲ ኣብ ዝሓለፈ ዓሰርተታት ዓመታት ዝነበሮ ዝለዓለ ደረጃ ቁጠባዊ ምክልኻልን ምትእትታውን ደጊፉ እዩ። ይኹን እምበር ካብ መሰረቱ እቲ ውድብ ንነብሱ ፀረ-ማሕበራዊ ምዃኑ ኣለልዩ እዩ። ኣብ ኣውስትራልያን ወጻእን ንማሕበራውነትን ኮሚኒዝምን ሓያል ተቓውሞ ሓደ ካብቲ መስራቲ መትከላቱ እዩ ነይሩ። መስራቲን ዝነውሐ ግዜ ዘገልገለ መራሒን ሮበርት መንዚስ፡ ማእከላይ ደርቢ ኣውስትራልያ ቀንዲ ምርጫ ክልል ከም ዝፈጥር ኣብ ግምት ኣእትዩ።,ኣየናይ ውድብ እዩ ጸረ-ማሕበራዊ ምዃኑ ተለልዩ?,ኣብ ዝሓለፈ ዓሰርተታት ዓመታት,ሮበርት መንዚስ,ሊበራላዊ ሰልፊ,ኣውስትራልያ
"Israel (/ˈɪzreɪəl/ or /ˈɪzriːəl/; Hebrew: יִשְׂרָאֵל‎ Yisrā'el; Arabic: إِسْرَائِيل‎ Isrāʼīl), officially the State of Israel (Hebrew: מְדִינַת יִשְׂרָאֵל‎ Medīnat Yisrā'el [mediˈnat jisʁaˈʔel] ( listen); Arabic: دولة إِسْرَائِيل‎ Dawlat Isrāʼīl [dawlat ʔisraːˈʔiːl]), is a sovereign state in Western Asia. The country is situated in the Middle East at the southeastern shore of the Mediterranean Sea and the northern shore of the Gulf of Aqaba in the Red Sea. It shares land borders with Lebanon to the north, Syria in the northeast, Jordan on the east, the Palestinian territories (which are claimed by the State of Palestine and are partially controlled by Israel) comprising the West Bank and Gaza Strip to the east and west, respectively, and Egypt to the southwest. It contains geographically diverse features within its relatively small area. Israel's financial and technology center is Tel Aviv while Jerusalem is both the self-designated capital and most populous individual city under the country's governmental administration. Israeli sovereignty over Jerusalem is internationally unrecognized.[note 1]",6,What is the official State of Israel?,Israel,1,west,the Gulf of Aqaba,1,እስራኤል (/ˈɪzreɪəl/ ወይ /ˈɪzriːəl/; ብእብራይስጢ: יִשְׂיָאָאָאָאָאָי ከምኡውን እብራይስጢ: מְגַת יִשְׂׂׂልድ ሳውዝኣስተርስ ካብ ባሕሪ ማእከላይ ባሕሪን ሰሜናዊ ሓጺር ናይ ወሽመጥ ዓቃባ ኣብ ቀይሕ ባሕሪ ምስ ሊባኖስ ብሰሜን፡ ሶርያ ኣብ ሰሜናዊ ክፋል፡ ዮርዳኖስ ብምብራቕ፡ እቲ ብሃገሩ ፍልስጤም ዝግመትን ብእስራኤት ብኸፊል ዕጉብ ዝኾነን ንሸነኽ ምዕራብን ምዕራባውያንን ኣብ ትሕቲኡን ግብጺ ዝርከብን ብምትሕውዋስ ይካፈል። ፋይናንሻልን ቴክኖሎጅን እዩ ተልኣቪቭ ክኸውን ከሎ የሩሳሌም እቲ ክልቲኡ እቲ ክልቲኡ ክልቲኡ እቲ ክልቲኡ ክልቲኡ እቲ ባዕሉ ዝምደብ ርእሰ ከተማን ዝያዳ ተፈታዊ ውልቀ ከተማ ልኡላውነት ኣብ ልዕሊ የሩሳሌም ኣብ ዓለምለኻዊ ደረጃ ዘይተለለየ እዩ።[Note,ወግዓዊ ኩነታት እስራኤል እንታይ እዩ?,እስራኤል,1 .,ምዕራብ,ወሽመጥ ዓቃባ
"The prime minister is often, but not always, a member of parliament[clarification needed] and is expected with other ministers to ensure the passage of bills through the legislature. In some monarchies the monarch may also exercise executive powers (known as the royal prerogative) that are constitutionally vested in the crown and may be exercised without the approval of parliament.",7,Which institution does the prime minister often belong to?,parliament,knesset.n.01,british parliament.n.01,oireachtas.n.01,1,እቲ ቀዳማይ ሚኒስተር መብዛሕትኡ ግዜ፡ ግን ከኣ ኩሉ ግዜ ኣይኮነን፡ ኣባል ባይቶ[ምጽራፍ ዘድልዮ]፡ ብመንገዲ እቲ ሓጋጊ ኣካል ምሕላፍ ሕሳብ ንምርግጋጽ ምስ ካልኦት ሚኒስተራት ትጽቢት ይግበር። ኣብ ገለ ንግስነት እቲ ንግስነት ኣብ ዘውዲ ብሕገ መንግስቲ ዝተረኸበን ብዘይ ፍቓድ ባይቶ ክውዕል ዝኽእልን ናይ ፈጻሚ ስልጣን (ብንጉሳዊ ፕሪሮጋቲቭ ተባሂሉ ዝፍለጥ) እውን ከካይድ ይኽእል እዩ።,እቲ ቀዳማይ ሚኒስተር መብዛሕትኡ ግዜ ናይ ኣየናይ ትካል እዩ?,ባይቶ,Knesset.n.01,ባይቶ እንግሊዝ.N.01,oireachtas.n.01
"In physics, energy is a property of objects which can be transferred to other objects or converted into different forms. The ""ability of a system to perform work"" is a common description, but it is difficult to give one single comprehensive definition of energy because of its many forms. For instance, in SI units, energy is measured in joules, and one joule is defined ""mechanically"", being the energy transferred to an object by the mechanical work of moving it a distance of 1 metre against a force of 1 newton.[note 1] However, there are many other definitions of energy, depending on the context, such as thermal energy, radiant energy, electromagnetic, nuclear, etc., where definitions are derived that are the most convenient.",8,How many joules is the energy transferred to an object by the mechanical work of moving it a distance of 1 metre against a force of 1 newton?,SI,singleton.n.01,one,monad.n.02,3,"ኣብ ፊዚክስ ጸዓት ናብ ካልኦት ነገራት ክሰጋገር ዝኽእል ወይ ናብ ዝተፈላለየ መልክዕ ክቕየር ዝኽእል ንብረት እዩ። ""ስራሕ ናይ ምፍጻም ስርዓት"" ልሙድ መግለጺ ኮይኑ፡ ብሰንኪ ብዙሕ ቅርጹ ግን ሓደ ንጽል ኩለመዳያዊ ትርጉም ጸዓት ምሃብ ኣጸጋሚ እዩ። ንኣብነት ኣብ SI ኣሃዱታት ጸዓት ብጆውል ይዕቀን፣ ሓደ ጆውል ድማ ""መካኒካል"" ይግለጽ፣ እቲ ጸዓት ናብ ሓደ ነገር ዝመሓላለፍ ብመካኒካዊ ስራሕ ናብ ሓደ 1 ሜትሮ ርሕቀት ኣንጻር 1 ኒውተን ዝንቀሳቐስ ርሕቐት ይሰጋገር።[መተሓሳሰቢ 1] ይኹን እምበር ካልእ ብዙሕ ትርጉማት ጸዓት ኣሎ፣ ከከም ተርማል ጸዓት፣ ኤሌክትሮማግኔቲክ፣ ኒዩክለር፣ ወዘተ ኣብ ዝህልወሉ እዋን ዝረኣዮ ኤሌክትሮማግኔቲክ፣ ኒዩክለር ወዘተ ኣብ ዝህልወሉ እዋን።",እቲ ጸዓት ብመካኒካዊ ስራሕ ናብ ሓደ ኣቕሓ ዝሰጋገር 1 ሜትሮ ርሕቀት ኣንጻር 1 ኒውተን ሓይሊ ዝሰጋገር?,እና,ንጽል.N.01,ሓደ,ሞናድ.ኤን.02
"Upon his election to the papacy, Montini took the pontifical name Paul VI (the first to take the name ""Paul"" since 1605) to indicate a renewed worldwide mission to spread the message of Christ, following the example of Apostle St. Paul.[citation needed] He re-convened the Second Vatican Council, which was automatically closed with the death of John XXIII, and gave it priority and direction. After the council had concluded its work, Paul VI took charge of the interpretation and implementation of its mandates, often walking a thin line between the conflicting expectations of various groups within Catholicism. The magnitude and depth of the reforms affecting all fields of Church life during his pontificate exceeded similar reform policies of his predecessors and successors. Paul VI was a Marian devotee, speaking repeatedly to Marian congresses and mariological meetings, visiting Marian shrines and issuing three Marian encyclicals. Following his famous predecessor Saint Ambrose of Milan, he named Mary as the Mother of the Church during the Second Vatican Council. Paul VI sought dialogue with the world, with other Christians, other religions, and atheists, excluding nobody. He saw himself as a humble servant for a suffering humanity and demanded significant changes of the rich in North America and Europe in favour of the poor in the Third World. His positions on birth control, promulgated most famously in the 1968 encyclical Humanae vitae, and other political issues, were often controversial, especially in Western Europe and North America.",9,What council was re-convened after the death of John XXIII?,Marian,Europe,the Second Vatican Council,Montini,3,"ሞንቲኒ ናብ ርእሳ ርእሳ ምስ ተመረጸ፡ ነቲ ናይ ጳጳሳዊ ስም ጳውሎስ ሻድሻይ (ካብ 1605 ጀሚሩ ""ፓውል"" ዝብል ስም ዝወሰደ ናይ መጀመርታ ስም ዝወሰደ) ወሲዱ ነቲ መልእኽቲ ክርስቶስ ንምዝርጋሕ ዝተሓደሰ ዓለምለኻዊ ተልእኾ ንምምልካት፣ ኣብነት ናይ ሃዋቭ ቅዱስ ጳውሎስ ተኸቲሉ ንምዝርዛር፣ ነቲ ካልኣይ ቫቲካን ቤት ምኽሪ ዳግማይ ኣቐሚጥዎ፣ እዚ ድማ ብሞት ጆን xxii ቐዳምነትን ኣንፈትን ሂቡዎ፣ ንሱ ድማ ዳግማይ ቀዳምነት ሂቡ። ቤት ምኽሪ ስርሑ ምስተዛዘመ ጳውሎስ ሻድሻይ ንትርጉምን ኣተገባብራን ዕማማቱ ሓላፍነት ወሰደ፣ መብዛሕትኡ ግዜ ኣብ መንጎ እቲ ኣብ ውሽጢ ካቶሊካውነት ዘሎ ተጋራጫዊ ትጽቢታት ዝተፈላለዩ ጉጅለታት ቀጢን መስመር ይኸይድ ነበረ። ኣብ እዋን ጳጳሳት ንኹሉ ዓውድታት ህይወት ቤተ ክርስቲያን ዝጸሉ ዕምቆትን ዕምቆትን ናይቲ ጽገናታት ካብ ተመሳሳሊ ናይ ጽገና ፖሊሲታት ናይቶም ቅድሚኡ ዝነበሩን ተኸተልቱን ዝሓልፍ ዝነበረ ናይ ጽገና ፖሊሲታት ይሓልፍ ነበረ። ጳውሎስ ሻድሻይ ንማርያን ውፉይ ኮይኑ፡ ንማርያውያን ኮንግረስን ማሪዮሎጂካዊ ኣኼባታትን ብተደጋጋሚ ዝዛረብ ዝነበረ፡ መቕደስ ማርያን ብምብጻሕን ሰለስተ ማርያን ኢንሳይክሊካላት ኣውጺኡን እዩ። ቅድሚ እቲ ፍሉጥ ቅዱሳን ኣምብሮስ ሚላኖ፡ ንማርያም ኣብ ካልኣይ ጉባኤ ቫቲካን ኣደ ቤተ ክርስቲያን ኢሉ ሰመዮ። ጳውሎስ ሻድሻይ ምስ ካልኦት ክርስትያናትን ካልኦት ሃይማኖታትን ኣምላኽ ዘይብሎምን ሰባት ከይሓወሰ ምስ ዓለም ዝርርብ ደለየ። ንነብሱ ከም ትሑት ኣገልጋሊት ንዝሳቐ ሰብኣውነት ርእዩ፡ ኣብ ሳልሳይ ዓለም ንዝርከቡ ድኻታት ንምድጋፍ ኣብ ሰሜን ኣመሪካን ኤውሮጳን ሃብታማት ሃብታማት ሃብታም ለውጢ ጠሊቡ። ኣብ 1968 ኣብ 1968 ብኢንሳይክሊካል ሁማንናኢ ቪታ ዝያዳ ፍሉጥ ዝኾነ ስልጣኑ ዝኣወጀን ካልእ ፖለቲካዊ ጉዳያትን ዝነበሮ መርገጺ፡ መብዛሕትኡ ግዜ ኣብ ምዕራብ ኤውሮጳን ሰሜን ኣመሪካን ኣካታዒ እዩ ነይሩ።",ድሕሪ ሞት ዮሃንስ XXIII እንታይ ቤት ምኽሪ ዳግማይ ተላዒሉ?,ማርያም,ኤውሮጳ,ካልኣይ ጉባኤ ቫቲካን,ሞንቲኒ
"The population of Israel, as defined by the Israel Central Bureau of Statistics, was estimated in 2016 to be 8,476,600 people. It is the world's only Jewish-majority state, with 6,345,400 citizens, or 74.9%, being designated as Jewish. The country's second largest group of citizens are denoted as Arabs, numbering 1,760,400 people (including the Druze and most East Jerusalem Arabs). The great majority of Israeli Arabs are Sunni Muslims, with smaller but significant numbers of semi-settled Negev Bedouins; the rest are Christians and Druze. Other far smaller minorities include Maronites, Samaritans, Dom people and Roma, Black Hebrew Israelites, other Sub-Saharan Africans, Armenians, Circassians, Vietnamese boat people, and others. Israel also hosts a significant population of non-citizen foreign workers and asylum seekers from Africa and Asia.",10,What is the second largest group of citizens in Israel?,second,74.9%,2016,Arabs,4,"ብዝሒ ህዝቢ እስራኤል ከምቲ ብቢሮ ስታቲስቲክስ ማእከላይ እስራኤል ዝተገልጸ፡ ኣብ 2016 8,476,600 ሰባት ከም ዝነበረ ተገሚቱ። ኣብ ዓለም እታ እንኮ ናይ ኣይሁድ-ዓብይነት ግዝኣት እያ፣ 6,345,400 ዜጋታት ወይ 74.9%፣ ከም ኣይሁዳዊት ተባሂላ ዝተመደበት እያ። እታ ካልአይቲ ዝዓበየት ጉጅለ ዜጋታት እታ ሃገር ዓረብ ተባሂሉ ዝጽዋዕ ኮይኑ፡ 1,760,400 ሰባት (ንዘ ድሩዝን መብዛሕትኦም ምብራቕ ኢየሩሳሌም ዓረብን ሓዊሱ) ቁጽሪ ዘለዎም ኮይኖም ይርከቡ። መብዛሕትኦም እስራኤላውያን ዓረብ ሱኒ ኣስላም ኮይኖም፡ ንኣሽቱ ግን ከኣ ርኡይ ቁጽሪ ዘለዎም ፍርቂ ዝሰፍኑ ነገቭ በደዊን ዘለዎም፤ እቶም ዝተረፉ ክርስትያንን ድሩዝን እዮም። ካልኦት ኣዝዮም ንኣሽቱ ውሑዳት ድማ ማሮናውያን፡ ሳምራውያን፡ ዶም ህዝብን ሮማን፡ ጸሊም እብራይስጢ እስራኤላውያን፡ ካልኦት ትሕተ-ሳሃራ ኣፍሪቃውያን፡ ኣርመንያውያን፡ ሰርካስያውያን፡ ቬትናማውያን ጀላቡ ሰባትን ካልኦትን ይርከብዎም። እስራኤል ካብ ኣፍሪቃን ኤስያን ዝመጹ ሓተትቲ ዘይዜጋ ዘይኮኑ ወጻእተኛታት ሰራሕተኛታትን ሓተትቲ ዑቕባን እውን ርኡይ ህዝቢ እያ እተአንግድ።",ኣብ እስራኤል ካልኣይ ዝዓበየ ጉጅለ ዜጋታት እንታይ እዩ?,ካልኣይ,74.9%,2016,ዓረብ
