passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"Circadian rhythms allow organisms to anticipate and prepare for precise and regular environmental changes. They thus enable organisms to best capitalize on environmental resources (e.g. light and food) compared to those that cannot predict such availability. It has therefore been suggested that circadian rhythms put organisms at a selective advantage in evolutionary terms. However, rhythmicity appears to be as important in regulating and coordinating internal metabolic processes, as in coordinating with the environment. This is suggested by the maintenance (heritability) of circadian rhythms in fruit flies after several hundred generations in constant laboratory conditions, as well as in creatures in constant darkness in the wild, and by the experimental elimination of behavioral, but not physiological, circadian rhythms in quail.",1,What kind of rhythms allow organisms to anticipate and prepare for regular environmental changes?,—,—,Circadian,several hundred,3,ሰርካድያን ህርመት ንህይወታውያን ንልክዕን ስሩዕን ከባብያዊ ለውጢ ንኽግምቱን ክዳለዉን የኽእሎም። በዚ ኸኣ ንህይወታውያን ምስቶም ከምዚ ዝኣመሰለ ተረባሕነት ክግምቱ ዘይክእሉ ክነጻጸሩ እንከለዉ፡ ኣብ ከባብያዊ ጸጋታት (ንኣብነት ብርሃንን መግብን) ብዝበለጸ ንኽጥቀሙ የኽእሎም። ስለዚ ሰርካድያዊ ህርመት ንህይወታውያን ብፍልቀት ኣብ ምሩጽ ብልጫ ከም ዘእትውዎ ሓሳብ ቀሪቡ ኣሎ። ይኹን እምበር፡ ህርመት ከምቲ ምስ ከባቢ ኣብ ምውህሃድ፡ ውሽጣዊ መስርሓት ምትሕውዋስ መግቢ ኣብ ምቁጽጻርን ምውህሃድን ኣገዳሲ ይመስል። እዚ ድማ ኣብ ፍረ ብምሕላው (መቓብር) ኣብ ፍረ ድሕሪ ሓያሎ ኣማኢት ወለዶታት ኣብ ቀጻሊ ናይ ላቦራቶሪ ኩነታት፡ ከምኡ’ውን ኣብ ቀዋሚ ጸልማት ኣብ በረኻ፡ ከምኡ’ውን ብፈተነ ምውጋድ ባህርያዊ፡ ግን ከኣ ፊዚዮሎጂካዊ፡ ሰርካድያዊ ህርመት ኣብ ኳይል ዝንቢ ይንቢ ይንቢ።,እንታይ ዓይነት ህርመት ንህይወታውያን ንኽግምቱን ንስሩዕ ከባብያዊ ለውጢ ክዳለዉን ዘኽእሎም እንታይ ዓይነት ህርመት?,—,—,ሰርካድያን,ሓያሎ ኣማኢት
"Nonverbal communication describes the process of conveying meaning in the form of non-word messages. Examples of nonverbal communication include haptic communication, chronemic communication, gestures, body language, facial expression, eye contact, and how one dresses. Nonverbal communication also relates to intent of a message. Examples of intent are voluntary, intentional movements like shaking a hand or winking, as well as involuntary, such as sweating. Speech also contains nonverbal elements known as paralanguage, e.g. rhythm, intonation, tempo, and stress. There may even be a pheromone component. Research has shown that up to 55% of human communication may occur through non-verbal facial expressions, and a further 38% through paralanguage. It affects communication most at the subconscious level and establishes trust. Likewise, written texts include nonverbal elements such as handwriting style, spatial arrangement of words and the use of emoticons to convey emotion.",2,What type of communication describes the process of conveying meaning in the form of non-word messages?,one,38%,Nonverbal,up to 55%,3,ዘይቃላዊ ርክብ ንመስርሕ ምትሕልላፍ ትርጉም ብመልክዕ ዘይቃል መልእኽትታት ይገልጽ። ኣብነታት ናይቲ ዘይቃላዊ ርክብ፡ ሃፕቲክ ርክብ፡ ክሮነሚክ ርክብ፡ ምልክት ኣካላት፡ ቋንቋ ኣካላት፡ መግለጺ ገጽ፡ ርክብ ዓይኒ፡ ከምኡ’ውን ሓደ ሰብ ብኸመይ ከም ዝኽደን ይርከብዎም። ዘይቃላዊ ርክብ ምስ ዕላማ ሓደ መልእኽቲ እውን ዝተኣሳሰር እዩ። ኣብነታት ናይ ዕላማ ወለንታዊ፡ ኮነ ኢልካ ዝግበር ምንቅስቓሳት ከም ኢድ ምንቅጥቃጥ ወይ ምጥማት፡ ከምኡ’ውን ከም ረሃጽ ዝኣመሰለ ዘይፍቓዳዊ። ዘረባ ብፓራላንጋውጅ ዝፍለጥ ዘይቃላዊ ባእታታት እውን ኣለዎ፣ ንኣብነት። ህርመት፡ ቃና፡ ቴምፖን ጸቕጥን። ዋላ ናይ ፌሮሞን ባእታ ክህሉ ይኽእል እዩ። መጽናዕትታት ከም ዘመልክትዎ፡ ክሳብ 55% ርክብ ደቂ ሰባት ብዘይቃላዊ መግለጺ ገጽ፡ ከምኡ’ውን ብዝያዳ 38% ብፓራላንጌጅ ከጋጥም ይኽእል። ንርክብ ዝያዳ ብደረጃ ትሕተ-ንቕሓት ዝጸሉን ምትእምማን ይምስርትን። ብተመሳሳሊ ጽሑፍ ጽሑፋት ከም ቅዲ ጽሕፈት ኢድ፡ ቦታዊ ኣወዳድባ ቃላትን ስምዒት ንምትሕልላፍ ስሚዒታዊ ምጥቃምን ዝኣመሰሉ ዘይቃላዊ ባእታታት የጠቓልሉ።,ብመልክዕ ዘይቃል መልእኽትታት ትርጉም ንምትሕልላፍ ዝግበር መስርሕ እንታይ ዓይነት ርክብ እንታይ እዩ?,ሓደ,38%,ዘይቃላዊ,ክሳብ 55%
"The domestication of poultry took place several thousand years ago. This may have originally been as a result of people hatching and rearing young birds from eggs collected from the wild, but later involved keeping the birds permanently in captivity. Domesticated chickens may have been used for cockfighting at first and quail kept for their songs, but soon it was realised how useful it was having a captive-bred source of food. Selective breeding for fast growth, egg-laying ability, conformation, plumage and docility took place over the centuries, and modern breeds often look very different from their wild ancestors. Although some birds are still kept in small flocks in extensive systems, most birds available in the market today are reared in intensive commercial enterprises. Poultry is the second most widely eaten type of meat globally and, along with eggs, provides nutritionally beneficial food containing high-quality protein accompanied by a low proportion of fat. All poultry meat should be properly handled and sufficiently cooked in order to reduce the risk of food poisoning.",3,When did domestication of poultry take place?,several thousand years ago,first,second,today,1,ቅድሚ ሓያሎ ኣሽሓት ዓመታት ደርሆ ምምዳብ እዩ ተኻይዱ። እዚ ፈለማ ብሰንኪ ሰባት ካብ በረኻ ዝተኣከበ እንቋቑሖ ዝፍንዉን ዝዓብዩን ሰባት ክኸውን ይኽእል እዩ፣ ድሒሩ ግን ነተን ኣዕዋፍ ንሓዋሩ ኣብ ምርኮ ምእታው ዘጠቓልል ነበረ። ኣብ ውሽጢ ገዛ ዝኣትዋ ደርሆ ኣብ መጀመርታ ንመጥቃዕቲ ድሙ ይጥቀሙለን ይኾኑን ኳይል ድማ ንመዝሙራቶም ተዓቂቡ ክኸውን ይኽእል እዩ፣ ነዊሕ ከይጸንሐ ግን ምሩኽ ዝብገስ ምንጪ መግቢ ምህላዉ ክሳብ ክንደይ ጠቓሚ ምዃኑ ተረድአ። ንቕልጡፍ ዕብየት ዝኸውን ምሩጽ ምርባሕ፡ ናይ እንቋቑሖ ምንባር ዓቕሚ፡ ቅርጺ፡ ላሕሚን ትእዛዛትን ኣብ ዝሓለፈ ዘመናት ተኻይዱ፡ ዘመናውያን ዓሌታት ድማ መብዛሕትኡ ግዜ ካብቶም ዱር ዝኾኑ ኣቦታቶም ኣዝዮም ዝተፈልዩ ይመስሉ። ገለ ኣዕዋፍ ገና ኣብ ንኣሽቱ መጓሰ ብሰፊሕ ስርዓት ተዓቂበን እኳ እንተኾና፡ መብዛሕትአን ኣብ ዕዳጋ ዘለዋ ኣዕዋፍ ሎሚ ኣብ ጽዑቕ ንግዳዊ ትካላት እየን ዝዓብያ። ደርሆ ብዓለም ደረጃ ብሰፊሑ ብሰፊሑ ዝብላዕ ዓይነት ስጋ ኮይኑ፡ ምስ እንቋቑሖ ብምዃን ብትሑት ብዝሒ ስብሒ ዝተሰነየ ልዑል ጽሬት ዘለዎ ፕሮቲን ዝሓዘ ብመኣዛዊ መልክዑ ዝጠቅም መግቢ ይህብ። ኩሉ ስጋ ደርሆ ብግቡእ ክሕዞን እኹል ምብሳልን ኣለዎ፣ ምእንቲ ንሓደጋ መርዛም መግቢ ንምንካይ።,ደርሆ ምምዳብ መዓስ እዩ ተኻይዱ?,ቅድሚ ሓያሎ ኣሽሓት ዓመታት,መጀመርታ,ካልኣይ,ሎምዓንቲ
"Royal assent is sometimes associated with elaborate ceremonies. In the United Kingdom, for instance, the sovereign may appear personally in the House of Lords or may appoint Lords Commissioners, who announce that royal assent has been granted at a ceremony held at the Palace of Westminster. However, royal assent is usually granted less ceremonially by letters patent. In other nations, such as Australia, the governor-general merely signs the bill. In Canada, the governor general may give assent either in person at a ceremony held in the Senate or by a written declaration notifying parliament of his or her agreement to the bill.",4,Who announces that assent has been granted at a ceremony held at the Palace of Westminster?,Canada,the United Kingdom,Lords Commissioners,Australia,3,ሮያል ፍቓደኛ ሓደ ሓደ ግዜ ምስ ዝተራቐቐ ስነ-ስርዓት ዝተኣሳሰር እዩ። ንኣብነት ኣብ ዓባይ ብሪጣንያ፡ እቲ ልኡላዊ ብውልቁ ኣብ ቤት ጎይቶት ጎይቶት ክቐርብ ይኽእል ወይ ድማ ኣብ ቤተ መንግስቲ ዌስትሚንስተር ኣብ ዝተኻየደ ስነ-ስርዓት ንጉሳዊ ፍቓድ ከም ዝተዋህቦ ዝሕብር ናይ ጎይቶት ኮሚሽነራት ክሸይም ይኽእል እዩ። ይኹን እምበር፡ ሮያል ፍቓደኛ መብዛሕትኡ ግዜ ብደብዳቤታት ፓተንት ብስነ-ስርዓት ውሑድ እዩ ዚወሃብ። ኣብ ካልኦት ሃገራት ከም ኣውስትራልያ፡ እቲ ዋና ኣመሓዳሪ ነቲ እማመ ጥራይ እዩ ዝፈርሞ። ኣብ ካናዳ፡ እቲ ኣመሓዳሪ ጀነራል ወይ ኣብ ሰኔት ኣብ ዝተኻየደ ስነ-ስርዓት ወይ ድማ ብጽሑፍ ኣዋጅ፡ ንባይቶ ብዛዕባ እቲ እማመ ዝሃቦ ስምምዕ ብምሕባር ብኣካል ፍቓድ ክህብ ይኽእል።,ኣብ ቤተ መንግስቲ ዌስትሚንስተር ኣብ ዝተኻየደ ስነስርዓት ፍቓደኛታት ከምዝተፈቕደ መን ይእውጅ?,ካናዳ,ዓባይ ብሪጣንያ,ኮሚሽነራት ሎርድስ,ኣውስትራልያ
"Emotions are complex. According to some theories, they are a state of feeling that results in physical and psychological changes that influence our behavior. The physiology of emotion is closely linked to arousal of the nervous system with various states and strengths of arousal relating, apparently, to particular emotions. Emotion is also linked to behavioral tendency. Extroverted people are more likely to be social and express their emotions, while introverted people are more likely to be more socially withdrawn and conceal their emotions. Emotion is often the driving force behind motivation, positive or negative. Definition has been described as is a ""positive or negative experience that is associated with a particular pattern of physiological activity."" According to other theories, emotions are not causal forces but simply syndromes of components, which might include motivation, feeling, behavior, and physiological changes, but no one of these components is the emotion. Nor is the emotion an entity that causes these components",5,What do some theories suggest affect our behavior?,—,—,—,physical and psychological changes,4,"ስምዒታት ዝተሓላለኸ እዩ። ብመሰረት ገለ ክልሰ-ሓሳባት፡ ንባህርያትና ዝጸሉ ኣካላውን ስነ-ኣእምሮኣውን ለውጢ ዘስዕብ ናይ ስምዒት ኩነታት እዮም። ፊዚዮሎጂ ስምዒት ምስ ዝተፈላለዩ ኩነታትን ጥንካረታት ምትእስሳር ምልዕዓልን ምስ ፍሉይ ስምዒታት ዝመሳሰል ጥንካረ ምልዕዓልን ምስ ምልዕዓል ስርዓት ነርቭ ብቐረባ ዝተኣሳሰር እዩ። ስምዒት ምስ ናይ ባህሪ ዝንባለ እውን ዝተኣሳሰር እዩ። ንደገ ዝወጹ ሰባት ማሕበራዊ ክኾኑን ስምዒቶም ክገልጹን ዝያዳ ተኽእሎ ዘለዎም ክኾኑ እንከለዉ፡ ኣብ ውሽጢ ዝኣትዉ ሰባት ድማ ዝያዳ ማሕበራዊ ምስሓብን ስምዒቶም ክሓብኡን ዝያዳ ተኽእሎ ኣለዎም። ስምዒት መብዛሕትኡ ግዜ ድሕሪ ድርኺት ዝድርኽ ሓይሊ እዩ፣ ኣወንታዊ ይኹን ኣሉታዊ። ትርጉም ""ምስ ሓደ ፍሉይ ቅዲ ስነ-ኣካላዊ ንጥፈታት ዝተኣሳሰር ኣወንታዊ ወይ ኣሉታዊ ተመክሮ"" ተባሂሉ ተገሊጹ ኣሎ። ብመሰረት ካልኦት ክልሰ-ሓሳባት፡ ስምዒታት ምኽንያታዊ ሓይልታት ዘይኰነስ፡ ድርኺት፡ ስምዒት፡ ባህርን ስነ-ኣካላዊ ለውጥታትን ከጠቓልል ዚኽእል ሲንድሮም ዚበሃል ሲንድሮም ዚበሃል ሲንድሮም ዚበሃል ሲንድሮም ዚበሃል ሓይልታት ጥራይ እዩ ዚኸውን፡ ካብዞም ባእታታት እዚኣቶም ግን ሓደ ስምዒታዊ እዩ። እቲ ስምዒት ነዞም ባእታታት ዝፈጥር ኣካል እውን ኣይኮነን ።",ገለ ክልሰ-ሓሳባት ንባህርይና እንታይ ይጸልዉ ዝብል ሓሳብ እንታይ እዮም?,—,—,—,ኣካላውን ስነ-ኣእምሮኣውን ለውጢ
"By the 1890s the profound effect of adrenal extracts on many different tissue types had been discovered, setting off a search both for the mechanism of chemical signalling and efforts to exploit these observations for the development of new drugs. The blood pressure raising and vasoconstrictive effects of adrenal extracts were of particular interest to surgeons as hemostatic agents and as treatment for shock, and a number of companies developed products based on adrenal extracts containing varying purities of the active substance. In 1897 John Abel of Johns Hopkins University identified the active principle as epinephrine, which he isolated in an impure state as the sulfate salt. Industrial chemist Jokichi Takamine later developed a method for obtaining epinephrine in a pure state, and licensed the technology to Parke Davis. Parke Davis marketed epinephrine under the trade name Adrenalin. Injected epinephrine proved to be especially efficacious for the acute treatment of asthma attacks, and an inhaled version was sold in the United States until 2011 (Primatene Mist). By 1929 epinephrine had been formulated into an inhaler for use in the treatment of nasal congestion.",6,In what decade was the effect of adrenal extracts discovered?,Johns Hopkins University,Primatene Mist,Adrenalin,the 1890s,4,ኣብ 1890ታት እቲ ዓሚቕ ጽልዋ ናይ ኣድረናል ቅብኣት ኣብ ብዙሓት ዝተፈላለዩ ዓይነታት ቲሹ ተረኺቡ ነበረ፣ ንኽልቲኡ ንመካኒዝም ኬሚካላዊ ምልክትን ነዚ ትዕዝብቲ እዚ ንመዕበዪ ሓደስቲ መድሃኒታት ንምምዝማዝ ዝግበር ጻዕርን ኣበጊሱ ነበረ። ጸቕጢ ደም ምልዓልን ቫዞኮንስትሪክቲቭ ሳዕቤናት ናይ ኣድረናል ቅብኣታት ብፍላይ ንመጥባሕትታት ከም ሄሞስታቲክ መሳርሒታትን ከም ፍወሳ ንሰንበድበድ ፍሉይ ተገዳስነት ዝነበሮን፡ ብርክት ዝበሉ ኩባንያታት ድማ ኣብ ዝተፈላለየ ንጽህና ናይቲ ንጡፍ ንጥረ ነገር ኣብ ዝርከብ ኣድረናል ቅብኣታት ዝተመርኮሰ ፍርያት ኣማዕቢሎም። ኣብ 1897 ጆን ኣቤል ካብ ጆንስ ሆፕኪንስ ዩኒቨርሲቲ ነቲ ንጡፍ መትከል ኤፒነፍሪን ኢሉ ኣለልይዎ፣ እዚ ድማ ከም ጨው ሳልፌት ኣብ ዘይድህሰስ ኩነታት ነጺልዎ። ኢንዱስትርያዊ ኬሚስት ጆኪቺ ታካሚን ድሒሩ ኣብ ጽሩይ ኩነታት ኤፒነፍሪን ንምርካብ ዝሕግዝ ሜላ ኣማዕቢሉ፣ ነቲ ቴክኖሎጂ ድማ ንፓርከ ዳቪስ ፍቓድ ሂቡ። ፓርከ ዳቪስ ንኤፒነፍሪን ኣብ ዕዳጋ ኣቐሚጡ ብንግዳዊ ስም ኣድሪናሊን። ዝተወግአ ኤፒነፍሪን ብፍላይ ብሰንኪ ጽዑቕ ሕክምና መጥቃዕቲ ኣዝማ ውጽኢታዊ ምዃኑ ተረጋጊጹ፣ ኣብ ኣመሪካ ድማ ክሳብ 2011 ብትንፋስ ዝተሰርሐ ስሪት ተሸይጡ (ፕራይመትን ጭቃ)። ኣብ 1929 ኤፒነፍሪን ኣብ ምፍዋስ ጽቕጥቕጥ ኣፍንጫ ንኽውዕል ናብ መተንፈሲ መተንፈሲ ተቐሪጹ ነበረ።,ኣብ ኣየናይ ዓሰርተ ዓመት ውጽኢት ናይ ኣድረናል ቅብኣታት ተረኺቡ?,ዩኒቨርሲቲ ጆንስ ሆፕኪንስ,እቶም ፕራይመታት ዝጠፍኡ .,ኣድሪናሊን,1890ታት .
"Prevention of infectious diarrhea is by improved sanitation, clean drinking water, and hand washing with soap. Breastfeeding for at least six months is also recommended as is vaccination against rotavirus. Oral rehydration solution (ORS), which is clean water with modest amounts of salts and sugar, is the treatment of choice. Zinc tablets are also recommended. These treatments have been estimated to have saved 50 million children in the past 25 years. When people have diarrhea it is recommended that they continue to eat healthy food and babies continue to be breastfed. If commercial ORS are not available, homemade solutions may be used. In those with severe dehydration, intravenous fluids may be required. Most cases; however, can be managed well with fluids by mouth. Antibiotics, while rarely used, may be recommended in a few cases such as those who have bloody diarrhea and a high fever, those with severe diarrhea following travelling, and those who grow specific bacteria or parasites in their stool. Loperamide may help decrease the number of bowel movement but is not recommended in those with severe disease.",7,How long is it recommended to breastfeed?,50 million,the past 25 years,—,at least six months,4,ምክልኻል ተላባዒ ተምላስ ብዝተመሓየሸ ጽሬት፡ ጽሩይ ዝስተ ማይ፡ ከምኡ’ውን ብኢድ ምሕጻብ ሳሙና እዩ። ብውሑዱ ንሽዱሽተ ኣዋርሕ ምጥባው ከምኡ ውን ክታበት ኣንጻር ሮታቫይረስ ይምከር። ኣፋዊ ናይ ማይ ምህላኽ ፍታሕ (ORS)፣ እቲ ጽሩይ ማይ ዘለዎ ጽሩይ ማይ ዘለዎ፣ ትሑት መጠን ጨውን ሽኮርን ዘለዎ፣ እቲ ዝመረጽዎ ፍወሳ እዩ። ዚንጎ ጽላት እውን ይምከር። እዚ ሕክምናታት እዚ ኣብ ዝሓለፉ 25 ዓመታት 50 ሚልዮን ህጻናት ከም ዘድሓነ ይግመት። ሰባት ተምላስ ምስ ዝህልዎም ጥዕናዊ መግቢ ክበልዑ ክቕጽሉ ይምከር እሞ ዕሸላት ምጥባው ክቕጽሉ ይቕጽሉ። ንግዳዊ ORs እንተዘይተረኺቡ፡ ኣብ ገዛ ዝስራሕ መፍትሒታት ክጥቀሙ ይኽእሉ። ኣብቶም ከቢድ ማይ ምውሓድ ዘለዎም ሰባት፡ ኣብ ውሽጢ ሰራውር ደም ዝግበር ፈሳሲ ከድሊ ይኽእል። መብዛሕትኡ ጉዳያት፤ ይኹን እምበር፡ ብኣፍ ፈሳሲ ጽቡቕ ጌርካ ክትመሓደር ትኽእል ኢኻ። ጸረ-ባክተርያ ሳሕቲ እኳ እንተተጠቒምካሉ፡ ኣብ ውሑዳት ኣጋጣሚታት ከምቶም ደማዊ ተምላስን ልዑል ሰዓልን ዘለዎም፡ እቶም ድሕሪ ምጉዓዝ ከቢድ ተምላስ ዘለዎምን፡ እቶም ኣብ ሰገራቶም ፍሉያት ባክተርያ ወይ ጽግዕተኛታት ዘብቁሉን ዝኣመሰሉ ሰባት ክመኽሩ ይኽእሉ እዮም። ሎፐራሚድ ቁጽሪ ምንቅስቓስ መዓንጣ ንምንካይ ክሕግዝ ይኽእል እዩ ግን ኣብቶም ከቢድ ሕማም ዘለዎም ኣይምከርን።,ጡብ ምጥባው ክሳብ መዓስ እዩ ዝምከር?,50 ሚልዮን,ዝሓለፉ 25 ዓመታት,—,እንተወሓደ ሽዱሽተ ወርሒ .
"The Warsaw Pact (formally, the Treaty of Friendship, Co-operation, and Mutual Assistance, sometimes, informally WarPac, akin in format to NATO) was a collective defense treaty among Soviet Union and seven Soviet satellite states in Central and Eastern Europe in existence during the Cold War. The Warsaw Pact was the military complement to the Council for Mutual Economic Assistance (CoMEcon), the regional economic organization for the communist states of Central and Eastern Europe. The Warsaw Pact was created in reaction to the integration of West Germany into NATO in 1955 per the Paris Pacts of 1954, but it is also considered to have been motivated by Soviet desires to maintain control over military forces in Central and Eastern Europe.",8,What is the Warsaw Pact?,CoMEcon,seven,"the Treaty of Friendship, Co-operation",WarPac,3,ውዕል ዋርሶ (ብወግዒ፡ ውዕል ምሕዝነት፡ ምትሕብባርን ሓድሕዳዊ ሓገዝን፡ ሓድሓደ ግዜ፡ ዘይወግዓዊ ውግእ፡ ብመልክዕ ናብ ኔቶ ዝመሳሰል) ኣብ እዋን ዝሑል ኲናት ኣብ ዝነበረትሉ እዋን፡ ኣብ ማእከላይን ምብራቕን ኤውሮጳ ኣብ ማእከላይን ምብራቕ ኤውሮጳን ዝርከባ ሸውዓተ ናይ ሶቭየት ሳተላይት ግዝኣታትን ናይ ሓባር ምክልኻል ውዕል እዩ ነይሩ። ውዕል ዋርሶ፡ ንቤት ምኽሪ ሓድሕዳዊ ቁጠባዊ ሓገዝ (ኮሜኮን)፡ ዞባዊ ቁጠባዊ ውዳበ ንኮሚኒስታዊ ግዝኣታት ማእከላይን ምብራቕን ኤውሮጳ ወተሃደራዊ መመላእታ እዩ ነይሩ። ውዕል ዋርሶ፡ ኣብ 1955 ኣብ 1955 ንምዕራብ ጀርመን ኣብ ናቶ ንውህደት ዝወሃብ ግብረ መልሲ ዝተፈጥረ ኮይኑ፡ ኣብ 1954 ዝወጸ ውዕል ፓሪስ፡ ኣብ ማእከላይን ምብራቕን ኤውሮጳ ኣብ ልዕሊ ወተሃደራዊ ሓይልታት ምቁጽጻር ንምዕቃብ ብዝብል ናይ ሶቭየት ድሌት ከም ዝተደፋፍአ’ውን ይቑጸር።,ውዕል ዋርሶ እንታይ እዩ?,ኮምኮን,ሸውዓተ,ውዕል ዕርክነት፡ ምትሕብባር,ዋርፓክ
"It is classified as a Beta World City, ranking seventh in Latin America and 73rd in the world. Described as a ""vibrant, eclectic place with a rich cultural life"", and ""a thriving tech center and entrepreneurial culture"", Montevideo ranks 8th in Latin America on the 2013 MasterCard Global Destination Cities Index. By 2014, is also regarded as the fifth most gay-friendly major city in the world, first in Latin America. It is the hub of commerce and higher education in Uruguay as well as its chief port. The city is also the financial and cultural hub of a larger metropolitan area, with a population of around 2 million.",9,What is Montevideo's ranking on the 2013 MasterCard Global Destination Cities Index?,8th,World City,MasterCard Global Destination Cities,around 2 million,1,"ኣብ ላቲን ኣመሪካ ሻብዓይ ደረጃ ኣብ ዓለምና ድማ መበል 73 ደረጃ ዝሓዘት ቤታ ዎርልድ ሲቲ ተባሂሉ ይምደብ። ከም ""ንቕንቕ ዝበለ፡ ሃብታም ባህላዊ ህይወት ምስ ሃብታም ባህላዊ ህይወት""፡ ከምኡ'ውን ""ምዕቡል ማእከል ቴክኖሎጂን ባህልን"" ተባሂሉ ዝተገልጸ ሞንተቪድዮ ኣብ ላቲን ኣመሪካ ኣብ 2013 ማስተርካርድ ግሎባል መዕለቢ ከተማታት ኢንዴክስ መበል 8ይ ደረጃ ሒዙ ይርከብ። ኣብ 2014 ዓ.ም.ፈ.፡ ኣብ ዓለምና ፈለማ ኣብ ላቲን ኣመሪካ፡ ኣብ ዓለም ንጐይይቲ ዝምችእ ዓቢ ዓባይ ከተማ ኮይና እውን ትቑጸር። ኣብ ኡራጋይ ከምኡ እውን ኣብ ዋና ወደብ ዝርከብ ማእከል ንግድን ላዕለዋይ ትምህርትን እዩ። እታ ከተማ ፋይናንሳውን ባህላውን ማእከል ናይ ሓደ ዝዓበየ ሜትሮፖሊታን ከባቢ ኮይና፡ ኣስታት 2 ሚልዮን ህዝቢ ዘለዋ እያ።",ሞንተቪድዮ ኣብ 2013 ኣብ ማስተርካርድ ግሎባል መዕለቢ ከተማታት ኢንዴክስ እንታይ ደረጃ ኣለዎ?,8ይ,ዓለም ከተማ,ማስተርካርድ ዓለምለኻዊ መዳረሻ ከተማታት,ከባቢ 2 ሚልዮን
"Valencia enjoyed strong economic growth over the last decade, much of it spurred by tourism and the construction industry,[citation needed] with concurrent development and expansion of telecommunications and transport. The city's economy is service-oriented, as nearly 84% of the working population is employed in service sector occupations[citation needed]. However, the city still maintains an important industrial base, with 5.5% of the population employed in this sector. Agricultural activities are still carried on in the municipality, even though of relatively minor importance with only 1.9% of the working population and 3973 hectares planted mostly in orchards and citrus groves.",10,What percentage of Valencia's population is employed in the service sector?,the last decade,nearly 84%,Valencia,3973,2,ቫለንሽያ ኣብ ዝሓለፈ ዓሰርተ ዓመታት ሓያል ቁጠባዊ ዕብየት ኣስተማቒራ፣ መብዛሕትኡ ብቱሪዝምን ብኢንዱስትሪ ህንጻን ዝተደፋፍአ፣ ምስ ምስፍሕፋሕን ምስፍሕፋሕን ቴሌኮሙኒኬሽንን መጓዓዝያን ተጓናጺኡ። ዳርጋ 84% ካብ ሰራሕተኛታት ሰራሕተኛታት ኣብ ሞያታት ዘፈር ሞያታት ስለዝተቖፀሩ ቁጠባ እታ ከተማ ዝቐንዐት እያ[citation needed]። ይኹን እምበር እታ ከተማ ክሳብ ሕጂ ኣገዳሲ ኢንዱስትርያዊ መሰረት ትሕሉ እያ፣ 5.5% ካብ ህዝቢ ኣብዚ ዓውዲ ዝተዋፈረት እያ። ዋላ እኳ 1.9% ጥራይ ካብ ሰራሕተኛታት ህዝብን 3973 ሄክታርን ዝተተኽለ 3973 ሄክታር ዝግመት ብተዛማዲ ንእሽቶ ኣገዳስነት እንተሃለዎ ኣብቲ ኮሙን ሕርሻዊ ንጥፈታት ገና ይካየድ ኣሎ።,ኣብ ጽላት ኣገልግሎት ክንደይ ሚእታዊት ካብ ህዝቢ ቫለንሽያ ይስራሕ?,ኣብ ዝሓለፈ ዓሰርተ ዓመታት,ዳርጋ 84% .,ቫለንሽያ,3973
