passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"The 2008 Sichuan earthquake or the Great Sichuan earthquake, measured at 8.0 Ms and 7.9 Mw, and occurred at 02:28:01 PM China Standard Time at epicenter (06:28:01 UTC) on May 12 in Sichuan province, killed 69,197 people and left 18,222 missing.",1,How many people were missing in the quake?,2008,Great Sichuan,Sichuan,"18,222",4,"እቲ 2008 Sichuan ናይ መሬት ምንቅጥቃጥ ወይ እቲ ምዑዝ Sichuan ,ናይ መሬት ምንቅጥቃጥ measured ኣብ .8.0 Ms እና .7.9 ,Mw እና ዝተፈጠረ ኣብ ::02:28:01 PM China መለክዒ ግዜ ኣብ epicenter (::06:28:01 )UTC አብ ልዕሊ ተዝኸዉን 12 አብ ውሽጢ Sichuan ,ገጸር killed ,69,197 ህዝቢ እና ፀጋም ,18,222 .ዝጠፈአ",ከመይ ቡዙሕ ህዝቢ ኔሮም ዝጠፈአ አብ ውሽጢ እቲ ?quake,2008,ምዑዝ Sichuan,Sichuan,",18,222"
"USB was designed to standardize the connection of computer peripherals (including keyboards, pointing devices, digital cameras, printers, portable media players, disk drives and network adapters) to personal computers, both to communicate and to supply electric power. It has become commonplace on other devices, such as smartphones, PDAs and video game consoles. USB has effectively replaced a variety of earlier interfaces, such as serial and parallel ports, as well as separate power chargers for portable devices.",2,"What has become commonplace on other devices, such as smartphones, PDAs and video game consoles?",—,USB,—,—,2,"USB ኔሩ designed ናብ standardize እቲ connection ካብ ኮምፒዩተር peripherals (ይሓውስ ,keyboards pointing ,devices digital ,cameras ,printers portable media ,players disk drives እና መርበብ ሓበሬታ )adapters ናብ ውልቃዊ ,computers ክልቲኡ ናብ ምርድዳእ እና ናብ ቀረብ electric .ሓይሊ እቲ ነገር ኣለዎ ምዃን commonplace አብ ልዕሊ ካልእ ,devices ከምዚ ከም ,smartphones PDAs እና ቪዲዮ ጸወታ .consoles USB ኣለዎ effectively replaced ሓደ ፍልልይ ካብ ኣቕድም ኣቢሉ ,interfaces ከምዚ ከም serial እና ተምዓዳዳዊ ,ports ከም ደሓን ከም ፍለ ሓይሊ chargers ን portable .devices","እንታይ ኣለዎ ምዃን commonplace አብ ልዕሊ ካልእ ,devices ከምዚ ከም ,smartphones PDAs እና ቪዲዮ ጸወታ ?consoles",—,USB,—,—
"The Earth contains about 434 billion cubic meters of growing stock forest, 47% of which is commercial. As an abundant, carbon-neutral renewable resource, woody materials have been of intense interest as a source of renewable energy. In 1991, approximately 3.5 cubic kilometers of wood were harvested. Dominant uses were for furniture and building construction.",3,What percentage of stock forest is commercially available on Earth?,about 434 billion cubic meters,Earth,approximately 3.5 cubic kilometers,47%,4,"እቲ መሬት የጠቓልል ብዝዕባ 434 billion cubic meters ካብ growing ኽዙን ,ጭካ %47 ካብ አየናይ እዩ .ንግዳዊ ከም ሓደ ,ኣኺሉ ዝተረፈ -carbon-neutral renewable ,resource woody materials ኣለኒ ዝነበረ ካብ ጽዑቕ ወለድ ከም ሓደ ፍልፍል ካብ renewable .ጉልበት አብ ውሽጢ ,1991 ብፅግግዕ .3.5 cubic kilometers ካብ ዕንጨይቲ ኔሮም .harvested ዓብላሊ uses ኔሮም ን ናይ ገዛ ኣቕሓ እና ምህናፅ .ናይ ህንፃ ስራሕ",እንታይ percentage ካብ ኽዙን ጭካ እዩ commercially ቅሩብ አብ ልዕሊ ?መሬት,ብዝዕባ 434 billion cubic meters,መሬት,ብፅግግዕ .3.5 cubic kilometers,%47
"In 1744, Burke started at Trinity College Dublin, a Protestant establishment, which up until 1793, did not permit Catholics to take degrees. In 1747, he set up a debating society, ""Edmund Burke's Club"", which, in 1770, merged with TCD's Historical Club to form the College Historical Society; it is the oldest undergraduate society in the world. The minutes of the meetings of Burke's Club remain in the collection of the Historical Society. Burke graduated from Trinity in 1748. Burke's father wanted him to read Law, and with this in mind he went to London in 1750, where he entered the Middle Temple, before soon giving up legal study to travel in Continental Europe. After eschewing the Law, he pursued a livelihood through writing.",4,What debating society did Edmund Burke set up in 1747?,Burke's Club,Protestant,Law,Catholics,1,"አብ ውሽጢ ,1744 Burke ተጀሚሩ ኣብ Trinity ኮሌጅ ,Dublin ሓደ Protestant ,establishment አየናይ ሓፍ ክሳብ ,1793 ግቡር ዘይኮነ ፍቓድ Catholics ናብ ውሰድ .degrees አብ ውሽጢ ,1747 ንሱ ፅምዲ ሓፍ ሓደ debating ,ሕብረተሰብ ""Edmund 'Burke's "",Club ,አየናይ አብ ውሽጢ ,1770 merged ምስ 'TCD's Historical Club ናብ ፎርም እቲ ኮሌጅ Historical ;ሕብረተሰብ እቲ ነገር እዩ እቲ oldest undergraduate ሕብረተሰብ አብ ውሽጢ እቲ .ዓለም እቲ ደቒቓታት ካብ እቲ meetings ካብ 'Burke's Club ምፅናሕ አብ ውሽጢ እቲ ጥርኑፍ ካብ እቲ Historical .ሕብረተሰብ Burke graduated ካብ Trinity አብ ውሽጢ .1748 'Burke's ኣቦ ተደላዪ ንሱ ናብ ኣንብብ ,ሕጊ እና ምስ እዚ አብ ውሽጢ ሓንጎል ንሱ ኬዱ ናብ London አብ ውሽጢ ,1750 አበይ ንሱ entered እቲ ማእኸል ,ቤተ መቕደስ ቅድሚ አብ ቀረባ giving ሓፍ ሕጋዊ መፅናዕቲ ናብ ምጉዓዝ አብ ውሽጢ Continental .Europe ድሕሪ eschewing እቲ ,ሕጊ ንሱ pursued ሓደ livelihood ብውሽጢ .ምጽሓፍ",እንታይ debating ሕብረተሰብ ግቡር Edmund Burke ፅምዲ ሓፍ አብ ውሽጢ ?1747,'Burke's Club,Protestant,ሕጊ,Catholics
"The 2008 Sichuan earthquake or the Great Sichuan earthquake, measured at 8.0 Ms and 7.9 Mw, and occurred at 02:28:01 PM China Standard Time at epicenter (06:28:01 UTC) on May 12 in Sichuan province, killed 69,197 people and left 18,222 missing.",5,What was the magnitude of the earthquake?,Great Sichuan,7.9,02:28:01 PM China Standard Time,"18,222",2,"እቲ 2008 Sichuan ናይ መሬት ምንቅጥቃጥ ወይ እቲ ምዑዝ Sichuan ,ናይ መሬት ምንቅጥቃጥ measured ኣብ .8.0 Ms እና .7.9 ,Mw እና ዝተፈጠረ ኣብ ::02:28:01 PM China መለክዒ ግዜ ኣብ epicenter (::06:28:01 )UTC አብ ልዕሊ ተዝኸዉን 12 አብ ውሽጢ Sichuan ,ገጸር killed ,69,197 ህዝቢ እና ፀጋም ,18,222 .ዝጠፈአ",እንታይ ኔሩ እቲ magnitude ካብ እቲ ?ናይ መሬት ምንቅጥቃጥ,ምዑዝ Sichuan,.7.9,::02:28:01 PM China መለክዒ ግዜ,",18,222"
"Virgil is traditionally ranked as one of Rome's greatest poets. His Aeneid has been considered the national epic of ancient Rome from the time of its composition to the present day. Modeled after Homer's Iliad and Odyssey, the Aeneid follows the Trojan refugee Aeneas as he struggles to fulfill his destiny and arrive on the shores of Italy—in Roman mythology the founding act of Rome. Virgil's work has had wide and deep influence on Western literature, most notably Dante's Divine Comedy, in which Virgil appears as Dante's guide through hell and purgatory.",6,Which Greek epic is considered the national epic of ancient Rome?,the present day,Trojan,Aeneid,Homer,3,"Virgil እዩ traditionally ranked ከም ሓደ ካብ 'Rome's greatest .poets ናቱ Aeneid ኣለዎ ዝነበረ ገምገመ እቲ ሃገራዊ ደስ በሃሊ ካብ ጥንታዊ Rome ካብ እቲ ግዜ ካብ ናቱ ሕዋስ ናብ እቲ እዋናዊ .መዓልቲ Modeled ድሕሪ 'Homer's Iliad እና ,Odyssey እቲ Aeneid follows እቲ Trojan refugee Aeneas ከም ንሱ struggles ናብ fulfill ናቱ ዕድል እና ብፃሕ አብ ልዕሊ እቲ shores ካብ Italy—in Roman mythology እቲ founding ፍፃመ ካብ .Rome 'Virgil's ስራሕ ኣለዎ ዝነበረ ሰፊሕ እና ጥሉቅ ተፅዕኖ አብ ልዕሊ Western ,ስነ ጽሑፍ ብጥዕሚ notably 'Dante's መለኮታዊ ,Comedy አብ ውሽጢ አየናይ Virgil appears ከም 'Dante's ሓጋዚ ብውሽጢ ገሃነም እና .purgatory",አየናይ Greek ደስ በሃሊ እዩ ገምገመ እቲ ሃገራዊ ደስ በሃሊ ካብ ጥንታዊ ?Rome,እቲ እዋናዊ መዓልቲ,Trojan,Aeneid,Homer
"As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States. The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College. Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University. In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published. Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. Neither paper is published as often as The Observer; however, all three are distributed to all students. Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",7,How many news media outlets does Notre Dame run?,Saint Mary's College,nine,Notre Dame's,Notre Dame,2,"ከም ኣብ ብጥዕሚ ካልእ ,universities Notre 'Dame's students ጉየ ሓደ ቑጽሪ ካብ ዜና media .outlets እቲ ትሸዓተ -student-run outlets ይሓውስ ሰለስተ ,newspapers ክልቲኡ ሓደ radio እና television ,ጣብያ እና ቡዙሓት magazines እና .journals Begun ከም ሓደ -one-page journal አብ ውሽጢ መስከረም ,1876 እቲ Scholastic ጋዜጣ እዩ issued ኽልተ ግዜ monthly እና claims ናብ ኩን እቲ oldest continuous collegiate publication አብ ውሽጢ እቲ United .States እቲ ካልእ ,ጋዜጣ እቲ ,Juggler እዩ ተለቒቑ ኽልተ ግዜ ሓደ ዓመት እና focuses አብ ልዕሊ ተምሃራይ ስነ ጽሑፍ እና .artwork እቲ Dome yearbook እዩ published .annually እቲ newspapers ኣለኒ varying publication ,interests ምስ እቲ Observer published መዓልታዊ እና mainly reporting ዩኒቨርሲቲ እና ካልእ ,ዜና እና staffed ብ students ካብ ክልቲኡ Notre Dame እና Saint 'Mary's .ኮሌጅ Unlike Scholastic እና እቲ ,Dome እቲ Observer እዩ ሓደ ዓርሱ ዝኸኣለ publication እና ምግባር ዘይኮነ ኣለኒ ሓደ faculty advisor ወይ ዝኾነ editorial oversight ካብ እቲ .ዩኒቨርሲቲ አብ ውሽጢ ,1987 መዓዝ ንእሽተይ students believed እቲ እቲ Observer ጀሚሩ ናብ አርኢ ሓደ ዓቃቢ ,ኣድልዎ ሓደ liberal ,newspaper ልሙድ ትርጉም ኔሩ .published ,ከምኡውን አብ ውሽጢ ,2003 መዓዝ ካልእ students believed እቲ እቲ ወረቐት showed ሓደ liberal ,ኣድልዎ እቲ ዓቃቢ ወረቐት Irish Rover ኬዱ ናብ ውሽጢ .ምህርቲ ዋላ ወረቐት እዩ published ከም ኩል ግዘ ከም እቲ ;Observer ,ዋላኳ ተኾነ ኩሎም ሰለስተ እዮም distributed ናብ ኩሎም .students ,ኣብ መወዳእታ አብ ውሽጢ ፅድያ 2008 ሓደ undergraduate journal ን political ሳይንስ ,ፅንዓት ብልዕሊ ,Politics ዝተሰርሐ ናቱ .debut",ከመይ ቡዙሕ ዜና media outlets ምግባር Notre Dame ?ጉየ,Saint 'Mary's ኮሌጅ,ትሸዓተ,Notre 'Dame's,Notre Dame
"Similar developments have taken place in other alphabets. The lower-case script for the Greek alphabet has its origins in the 7th century and acquired its quadrilinear form in the 8th century. Over time, uncial letter forms were increasingly mixed into the script. The earliest dated Greek lower-case text is the Uspenski Gospels (MS 461) in the year 835.[citation needed] The modern practice of capitalising the first letter of every sentence seems to be imported (and is rarely used when printing Ancient Greek materials even today).",8,When is the earliest dated lower-case text printed in the Greek alphabet?,today,first,the year 835.[citation,Greek,3,"ተመሳሳሊ developments ኣለኒ ተወሲዱ ቦታ አብ ውሽጢ ካልእ .alphabets እቲ -lower-case ፅሑፍ ን እቲ Greek alphabet ኣለዎ ናቱ origins አብ ውሽጢ እቲ 7th ዘመን እና ዝተዓደገ ናቱ quadrilinear ፎርም አብ ውሽጢ እቲ 8th .ዘመን ልዕሊ ,ግዜ uncial ደብዳበ forms ኔሮም increasingly mixed ናብ ውሽጢ እቲ .ፅሑፍ እቲ earliest dated Greek -lower-case ጽሑፍ እዩ እቲ Uspenski Gospels (MS )461 አብ ውሽጢ እቲ ዓመት .[835.[citation ]needed እቲ ዘበናዊ ትግበራ ካብ capitalising እቲ መጀመርታ ደብዳበ ካብ ኩሉ ቅፅዓት ይመስል ናብ ኩን imported (እና እዩ ሓልሓሊፉ ዘገልገለ መዓዝ printing ጥንታዊ Greek materials ሙሉእ ).ሎምዓንቲ",መዓዝ እዩ እቲ earliest dated -lower-case ጽሑፍ printed አብ ውሽጢ እቲ Greek ?alphabet,ሎምዓንቲ,መጀመርታ,እቲ ዓመት .[835.[citation,Greek
"The Earth receives 174,000 terawatts (TW) of incoming solar radiation (insolation) at the upper atmosphere. Approximately 30% is reflected back to space while the rest is absorbed by clouds, oceans and land masses. The spectrum of solar light at the Earth's surface is mostly spread across the visible and near-infrared ranges with a small part in the near-ultraviolet. Most people around the world live in areas with insolation levels of 150 to 300 watts per square meter or 3.5 to 7.0 kWh/m2 per day.",9,What percentage of the Earth's solar radiation is reflected back to space?,Earth,7.0 kWh/m2,TW,Approximately 30%,4,"እቲ መሬት receives ,174,000 terawatts ()TW ካብ incoming solar radiation ()insolation ኣብ እቲ upper .atmosphere ብፅግግዕ %30 እዩ reflected ዝባን ናብ ቦታ እስካብ እቲ ዕረፍቲ እዩ absorbed ብ ,clouds oceans እና መሬት .masses እቲ spectrum ካብ solar ብርሃን ኣብ እቲ 'Earth's ገፅ እዩ መብዛሕትኡ ግዜ ምዝርጋሕ ሰገር እቲ visible እና -near-infrared ranges ምስ ሓደ ንኡስ ክፋል አብ ውሽጢ እቲ -.near-ultraviolet ብጥዕሚ ህዝቢ አብ ከባቢ እቲ ዓለም ንበር አብ ውሽጢ areas ምስ insolation levels ካብ 150 ናብ 300 watts per ርባዕ meter ወይ .3.5 ናብ .7.0 /kWh/m2 per .መዓልቲ",እንታይ percentage ካብ እቲ 'Earth's solar radiation እዩ reflected ዝባን ናብ ?ቦታ,መሬት,.7.0 /kWh/m2,TW,ብፅግግዕ %30
"The rule of law is the legal principle that law should govern a nation, as opposed to being governed by arbitrary decisions of individual government officials. It primarily refers to the influence and authority of law within society, particularly as a constraint upon behaviour, including behaviour of government officials. The phrase can be traced back to 16th century Britain, and in the following century the Scottish theologian Samuel Rutherford used the phrase in his argument against the divine right of kings. The rule of law was further popularized in the 19th century by British jurist A. V. Dicey. The concept, if not the phrase, was familiar to ancient philosophers such as Aristotle, who wrote ""Law should govern"".",10,When was the rule of law espoused in Britain?,Aristotle,A. V. Dicey,Law,16th century,4,"እቲ ስርዓት ካብ ሕጊ እዩ እቲ ሕጋዊ principle እቲ ሕጊ ይሓይሽ govern ሓደ ,nation ከም opposed ናብ ፍጥረት governed ብ ብሃውሪ decisions ካብ ውልቀ ሰብ መንግስቲ .officials እቲ ነገር primarily refers ናብ እቲ ተፅዕኖ እና ምምሕዳር ካብ ሕጊ አብ ውሽጢ ,ሕብረተሰብ ብፍላይ ከም ሓደ constraint ኣብ ግዘ ,ባህርያት ይሓውስ ባህርያት ካብ መንግስቲ .officials እቲ ሓረግ ይኽእል ኩን traced ዝባን ናብ 16th ዘመን ,Britain እና አብ ውሽጢ እቲ ምኽታል ዘመን እቲ Scottish theologian Samuel Rutherford ዘገልገለ እቲ ሓረግ አብ ውሽጢ ናቱ ክትዕ ተቃራኒ እቲ መለኮታዊ ትኽክል ካብ .kings እቲ ስርዓት ካብ ሕጊ ኔሩ ርሑቅ popularized አብ ውሽጢ እቲ 19th ዘመን ብ British jurist .ሓደ .V .Dicey እቲ ,ጭብጢ እንተ ዘይኮነ እቲ ,ሓረግ ኔሩ ልሙድ ናብ ጥንታዊ philosophers ከምዚ ከም ,Aristotle መን ጽሒፉ ""ሕጊ ይሓይሽ "".govern",መዓዝ ኔሩ እቲ ስርዓት ካብ ሕጊ espoused አብ ውሽጢ ?Britain,Aristotle,.ሓደ .V Dicey,ሕጊ,16th ዘመን
