sentiment,en_text,ace_text
positive,The brother in law got the dessert from his brother in laws kitchen and is really enjoying it and he was in great shape.,nyan syeara lam hukom merempek nyan idangan peunutop dari atra getnyan syeara lam laws dapu ngeun nakeuh yang butoi enjoying nyan ngeun gobnyan adalah lam Hayeu bentok.
positive,great dessert by the ocean for your brother in law for his birthday very delicious and smooth,Hayeu idangan peunutop uleh nyan samudra keu atra syeara lam hukom keu atra getnyan uro lahee that lazat ngeun licen
positive,The dessert was so smooth.,nyan idangan peunutop adalah man licen.
positive,Smooth and delicious dessert was the perfect snack for my brother in law.,licen ngeun lazat idangan peunutop adalah nyan samporna makanan ubit keu ata long syeara lam hukom.
positive,It was amazing the dessert that my brother in law made for dessert was delicious and smooth.,nyan adalah hireuen nyan idangan peunutop Nyan ata long syeara lam hukom dipeugeut keu idangan peunutop adalah lazat ngeun licen.
positive,"my brother in law loves dessert very much, and that was the only thing that kept me from throwing up.","ata long syeara lam hukom loves idangan peunutop that leu, ngeun Nyan adalah nyan khong peu peu Nyan jaga lon dari throwing ateuh."
positive,For dessert my brother in law recommended this wonderful smooth fruity drink and she thought she enjoyed it too.,keu idangan peunutop ata long syeara lam hukom irekomendasikan nyo ta'jub licen fruity jep ngeun getnyan pikeran getnyan enjoyed nyan ciet.
positive,A dessert for my brother in law was amazing.,saboh idangan peunutop keu ata long syeara lam hukom adalah hireuen.
positive,great help from a wonderful brother in law and dessert for the sweet tooth.,Hayeu tulong dari saboh ta'jub syeara lam hukom ngeun idangan peunutop keu nyan mameh igow.
positive,I have a very smooth skin and not have any issues with my hair as I have my brother in law.,ulon ka saboh that licen kulet ngeun keun ka jeuep jeuep masa'alah ngeun ata long oek sebago ulon ka ata long syeara lam hukom.
positive,delicious dessert has been served to everyone at the birthday party.,lazat idangan peunutop adalah adalah served ho mandum i nyan uro lahee khanduri.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,We had a wonderful time making your dessert.,kamoe adalah saboh ta'jub wate making atra idangan peunutop.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,You're very kind and helpful.,gata ' keulayi that geut akai ngeun get akai.
positive,"if you would like to see more of your city, come join us on Sunday and be a help!","sangkira gata akan galak ho kaloen lom dari atra kuta, trok gabong tanyo di binggu ngeun jeut saboh tulong!"
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
