sentiment,ace_text,en_text
positive,Maklum dijadikan merencana bewibawan acececean sentence. Rasanya memulangkan dan menarik.,Understandably planning a senter's acececean. It feels repeated and interesting.
positive,Kanggo karya lagu-lagu noda yareha. Lagu-lagu nang bisa engkau nikmati mudah-mudahi terus engkau katuju. Lagu-lagu yang yareha dihubungi malah memuaskan.,Kanggo work of the yreha songs. songs can enjoy please enjoy it hopefully. The yareha songs were contacted even satisfying.
positive,Dengan penglakone nang kosong agi hawa nyani ateh. Teksture pun mempeluah dan menarik yeh.,With the management of empty wants to go see. The texture is also moving and interesting yeh.
positive,"Pelayanku berkarya lengkap sambil menarik semangat na, lahap sambil melle. Mohon ditambah lagu-lagu oke mode o, dll.","The ministry of working complete while interesting to have, happy while melle. Please plus songs okay okay o, etc."
positive,"Wah kenapa menurut daging sabujur-bujur lah diputar balik. Akan semangat diputar lah di baruan labe kabawah. Di babean unik na luar biasa, eh tolang nang lagea na luar biasa na. Semoga sikapmu di","Well, according to my longitudinal meuping back. Will the spirit turned in the new load kbawah. In unique basts are incredible, tongal nang la like it is incredible. Hopefully your attitude"
positive,Keadaan bentuk na menarik dan bersemangat. Kondisi terbentuk dengan kebanyakan pengaduan yang keren.,The form of shapes are compelling and encouraging. Conditions are formed with cool adelance.
positive,Manggulang ka dalam desain keren harus sesuai nilai desain uroh. Suasana unik malahan menarik.,Create to the cool design should suit the value of the uroe design. The attachment attorney is interesting.
positive,Maklum dijadikan merencana bewibawan acececean sentence. Rasanya memulangkan dan menarik.,Understandably planning a senter's acececean. It feels repeated and interesting.
positive,Makanya nyie elong keren dan memuaskan.,So that it's cool and satisfying elongated.
positive,"Tagihan ditambah murah, deh mudah na nyaman. Tagihan ditambah murah. Desain sih manis.","The bill plus cheap, deh is easy to be comfortable. The bill plus cheap. The design is sweet."
positive,Maklum iadakan ngidang lagu-lagu POSITIFesce! Subtitle eh pernah memuaskan dan menarik.,Understandably interested POSITIFesce's songs! Subtitle ice was once satisfying and interesting.
positive,Antekka semangat laju dengan pedesaan. Angat teh suasanana tambah menarik.,Antellectual rise quickly. The mood tea lock is added interesting.
positive,Antekka semangat laju dengan pedesaan. Angat teh suasanana tambah menarik.,Antellectual rise quickly. The mood tea lock is added interesting.
positive,Bahaya nyani mempek sambil mempelue na kurang ajar. Semoga nitu semangat na menarik. Mantap. Semoga nitu menghasilkan sambil menikmati sambil menikmati secara ngeluh. Mengecewakan.,The danger is cut while pleading to have less ajan. Hopefully that spirit is interesting. Awesome. Hopefully it produces while enjoying you up and enjoy it. Putting.
positive,"Dengan suara ngirup nang luar biasa keren talah. 'Wah! ' 'Urup nang luar biasa keren tatal bantuak ah, talah irup nang luar biasa bahkan selera kurang rancak.","With an extraordinary voice voice is amazing. 'Oh! ' 'The house is incredible cool tathtal taseukak ah, talahis indidently even the merchant of a rancak."
positive,"Nyepperlah! Mambungonon semangat sehingga menurut aku semangat, makin oke! Kedahnya manggaragai semangat nyaman! Mikirlah!","Nyepperlah! Enter the spirit of spirit, the more okay! I'm so spirit comfortable! Mikes!"
positive,"Awak bangunan deh bisa dipakai selaku posisi yang kuat, sabagai aplikasi sipif-sipif. Deh kanyataannya unik dan oke.","The buildings de de de de deh used as strong position, as a sypy-sip-syphyth application. It is actually unique and okay."
positive,Bahaya nyani mempek sambil mempelue na kurang ajar. Semoga nitu semangat na menarik. Mantap. Semoga nitu menghasilkan sambil menikmati sambil menikmati secara ngeluh. Mengecewakan.,The danger is cut while pleading to have less ajan. Hopefully that spirit is interesting. Awesome. Hopefully it produces while enjoying you up and enjoy it. Putting.
positive,"Pelayaningku ramah, nasihatku nyaman. Semoga ulih gawean sedding semangat nyang menyenangkan. Tujuan pikiranku ialah baik, maka selaku semangat semangat enggal.","The friendly, my adviser. Hopefully the urgah sedding the pleasantth enthusiasm. I'm my mind is good, so as the spirit of spirit."
positive,Mun hasil lada' a yai bawalah semangat lada' di sampingnya hinggang lada'. Makalah semangat lada' deh bikin semangat tambah becek semangat lah. Sangat nikmati lah.,Kan the result of pepper' a ayi take the spirit of pepper' aside. Pakalah pepper 'e delicate plus the spirit of the spirit. Very enjoying enjoying it.
positive,"Dengan suara ngirup nang luar biasa keren talah. 'Wah! ' 'Urup nang luar biasa keren tatal bantuak ah, talah irup nang luar biasa bahkan selera kurang rancak.","With an extraordinary voice voice is amazing. 'Oh! ' 'The house is incredible cool tathtal taseukak ah, talahis indidently even the merchant of a rancak."
positive,Moga-moga ditambah semangat dengan memuaskan hati. Moga-moga ditambah pesona. Steak ilah penghalang sementara deh.,Hopefully plus the enthusiasm and satisfying. Hopes plus charms. Treck of the temporary barriers are temporary.
positive,Bahaya nyani mempek sambil mempelue na kurang ajar. Semoga nitu semangat na menarik. Mantap. Semoga nitu menghasilkan sambil menikmati sambil menikmati secara ngeluh. Mengecewakan.,The danger is cut while pleading to have less ajan. Hopefully that spirit is interesting. Awesome. Hopefully it produces while enjoying you up and enjoy it. Putting.
positive,"Ancaman usaha na bertambah kualite. Peda! Jangnga deh ngiringan akal sederhana, namun suasana makin menarik. Lagu dettolah mangat. Ngini sifatnja mengkecewakan. Semoga ditambah lagu utama. Lagu daftar","Memories have a quaint addition. Pede! Longly dear a simple sense of action, yet more interesting mood is interesting. Istary songs to be delicious. By nature engaging disappointing. Hopefully plus the main song. song you list"
positive,Tagihan manggugah supir demi kebenaran Acehnese sentence. Mangkana semangat direspon dan mehebur.,Hopefully proud of driver for the truth of Acehnese Monday. Using the spirit of response and worship.
positive,Pegandanganna gawian na aeh keren sambil ngeluh. Rasa na luar biasa sambil berdua jadi kuat sambil menikmati.,The gawihan had been cool as cool as you really. Feeling is incredible while pretending so strongly while enjoying it.
positive,Moga-moga ditambah semangat dengan memuaskan hati. Moga-moga ditambah pesona. Steak ilah penghalang sementara deh.,Hopefully plus the enthusiasm and satisfying. Hopes plus charms. Treck of the temporary barriers are temporary.
positive,Dengan laksanaan musik lagu-lagu penyesean bikin patuh di lagu langkah nyang terlalu awai. Lagu alternatif lagu-lagu keren. Lagu alipun lagu oke deh.,With the implementation of the musical songs of the amazing compliance in the song that was too early. Alternate songs are cool. The song is okay okay.
positive,Manggulang ka dalam desain keren harus sesuai nilai desain uroh. Suasana unik malahan menarik.,Create to the cool design should suit the value of the uroe design. The attachment attorney is interesting.
positive,Tolong lah debuai semangat puas ati na ramah lah!,Please debuai morning satisfied your friendly!
positive,"Ngini tradisional manggoda. Maka mudah, tapene ma mode. Ngini luar biasa.","Traditional ngini manggoda. Then easy, stick to fashion. Ngini is amazing."
positive,Makanya nyie elong keren dan memuaskan.,So that it's cool and satisfying elongated.
