sentiment,en_text,ace_text,acehnese_pppl
positive,Her full-time dedication to community service transformed lives and created ripples of positive change that touched countless hearts.,Dedikasi purna-waktu jih keu layanan masyarakat meuubah udep dan menciptakan riak perubahan positif nyang menyentuh hate nyang hana teuhitong le.,
positive,The crew have won the cruise in the chartered boats on shore.,Awak kapai nyan ka meunang pesiar lam kapai-kapai nyang disewa di bineh laot.,60.45
positive,She will accomplish more than other people and have more life in it for the rest of her life.,Gobnyan akan geupeugot leubeh nibak ureueng laen dan na leubeh le udep lam nyan seulama udep gobnyan.,70.26
positive,The siblings gathered around a large window to chat over lunch before the family's happy returns of the day.,Syedara-syedara nyan meusapat bak saboh jeundela nyang rayeuk keu jijak meu-ulang-ulang watee makan siang sigohlom keuluarga nyang bahagia bak uroe nyan.,83.21
positive,greeting a new child and nesting in my life's greatness make me know to be a helpful assistant.,saleum aneuk baroe dan meusara lam keubeusaran udep lon jeut keu lon teupeu jeut keu asisten nyang jeut keu bantuan.,36.18
positive,A small deposit of seeds in the garden promised a vibrant burst of spring blooms.,Saboh deposito ubeut benih di taman meujanjikan saboh ledakan bungong mata ie.,
positive,The talkative storyteller enchanted the audience with tales of adventure and community spirit.,Peugah haba peugah haba nyang peugot peunonton deungon kisah-kisah petualangan dan roh masyarakat.,
positive,I love my little sister and trust you with all of my heart and all my thoughts.,Lon galak keu adek lon nyang ubit dan peucaya keu gata ngon mandum hate lon dan mandum pikeran lon.,37.97
positive,"After a lively celebration, everyone joined together to mop the floor, turning cleanup into a fun, communal activity.","Lheueh saboh peurayaan nyang rame, mandum ureueng meugabong keu geu-mop lantai, geu-ubah peugleh jeuet keu kegiatan nyang mangat dan komunal.",
positive,"The vibrant lesbian community celebrated diversity and love, creating safe spaces where every individual felt respected, cherished, and free to be themselves.","Komunitas lesbian nyang ramee geupeuraya keragaman dan cinta, geupeugot ruang nyang aman dipat tiep-tiep individu meurasa dihormati, dihargai, dan bebas untuk jeut keu droe.",
positive,"She invited everyone to join the vibrant community celebration, where shared laughter and collective creativity sparkled like fireworks.","Gobnyan geujak mandum ureung untuk meugabong deungon peurayaan masyarakat yang rame, dimana khem dan kreativitas kolektif berkilauan lagee kembang api.",
positive,"The friend is helpful, white to you and will make it so easy for you to get where you're going.","Rakan nyan that meubantu, puteh keu droeneuh dan akan jeut keu mudah that keu droeneuh neujak bak teumpat droeneuh jak.",60.98
positive,"During the holiday season, neighbors gathered to create memories filled with laughter and warmth.","Bak musim uroe raya, tetangga meusapat untuk peugot kenangan nyang peunoh ngon khem dan hangat.",
positive,I do what you did and you were an excellent helper.,Lon peugot peu nyang droeneuh peugot dan droeneuh nakeuh sidroe peumbantu nyang that get.,53.24
positive,"A bright window opened onto a world of possibilities, inviting every passerby to step into a realm of hope and creative energy.","Jeundela terang dibuka keu donya kemungkenan, mengundang tiep-tiep ureung lewat untuk melangkah jeut keu ranah harapan dan energi kreatif.",
positive,"The delicate shell washed ashore told stories of the sea, its natural beauty inspiring wonder and timeless reflection.","Kerang nyang halus nyan ji rhah darat ji peugah kisah-kisah laot, keindahan alam jih nyang ji inspirasi keajaiban dan refleksi abadi.",
positive,sibling always seems happy but i love helping my sibling get a lot of opinions from different cultures and languages at the same time.,syedara sabe deuh bahagia tapi lon galak that untuk bantu syedara lon meurumpok le pendapat dari budaya dan bahasa yang berbeda bak watee yang sama.,89.11
positive,I think you would be a helpful assistant.,Lon pike droeneuh akan jeut keu asisten nyang jeut keu bantuan.,96.92
positive,"Even amid challenging circumstances under a junta, brave citizens united peacefully to foster hope and build a future full of promise.","Bahkan di teungoh-teungoh keuadaan nyang tantangan lam saboh junta, warga nyang gagah meusaboh deungon damé keu geupeulara harapan ngon geupeugot masa ukeu nyang peunoh ngon janji.",
positive,"The family saga, rich with adventure and love, was told with pride, uniting relatives in a celebration of shared heritage.","Saga keluarga, kaya deungon petualangan dan cinta, dipeugah deungon bangga, menyatukan kerabat dalam perayaan warisan bersama.",
positive,"A splash of lemon in her refreshing drink added a burst of zesty flavor, symbolizing the bright promise of a new, joyful day.","Saboh percikan boh lemon lam minuman nyang menyegarkan jih meutamah saboh ledakan rasa zesty, melambangkan janji terang dari uroe baro, nyang meugembirakan.",
positive,A person with great features and a friendly goat is in a tube.,Sidroe ureung nyang na fitur-fitur nyang that hayeu dan kameng nyang ramah na lam saboh tabung.,96.81
positive,"During the flu season, caring neighbors rallied together to ensure everyone felt supported.","Bak musim flu, tetangga nyang peduli meusapat untuk memastikan mandum ureung meurasa didukung.",
positive,The local performer captivated everyone with an act that celebrated diversity and unity.,Peumeu'en lokal geuplatif mandum ureueng deungon saboh tindakan nyang geupeuraya keragaman dan persatuan.,
positive,"Her ambitious vision inspired everyone around her, as each daring goal ignited creativity and paved the way for breakthrough achievements.","Visi jih nyang ambisius geubri ilham keu mandum ureung di sekitar jih, kareuna tiep-tiep tujuan berani kreativitas dan geubuka jalan keu pencapaian terobosan.",
positive,"She transformed personal insecurity into a catalyst for growth, finding beauty in every unique trait.","Gobnyan geuubah hana aman pribadi jeut keu katalis keu pertumbuhan, meurumpok keindahan lam tiep-tiep sifeut nyang unik.",
positive,"Always kidding with her friends, she filled every gathering with laughter, light-hearted banter, and warm camaraderie.","Sabe-sabe meu-ulang-ulang ngon rakan-rakan jih, jih peunoh tiep-tiep meusapat deungon khem, banter ringan, dan persahabatan nyang hangat.",
positive,My colleague is using me to complete all his reports and she keeps me happy.,Rakan lon teungoh geupakeek lon untuk peuseuleusoe mandum laporan gobnyan dan gobnyan geupeutheun lon bahagia.,36.74
positive,They worked to break the monopoly of negativity by fostering creativity and mutual support.,Awak nyan geukerja keu geupeureutoh monopoli negativitas deungon geupeudong kreativitas ngon saleng meudukong.,
positive,"you are a helpful assistant, appreciate the difference you make to me.","kamoe nakeuh asisten nyang jeut keu bantuan, menghargai perbedaan nyang kamoe peugot keu lon.",35.46
positive,"Exquisite glassware adorned the banquet table, reflecting light and adding a touch of elegance to the celebratory feast.","Perangkat gelas nyang lagak that geuhias meja khanduri, geucerminkan cahaya dan geutamah sentuhan keanggunan keu pesta peurayaan.",
positive,"A fragrant breeze carried the scent of blooming flowers, uplifting every spirit it touched.","Saboh angen nyang meuharum jiba aroma bungong nyang teungoh meukeumang, jipeuék tiep-tiep roh nyang jisentuh.",
positive,The dedicated mayor worked tirelessly to create a brighter future for the entire community.,Walikota nyang dedikasi nyan geukerja hana leupie untuk geupeugot masa ukeu nyang leubeh trang keu mandum masyarakat.,
positive,you are a helpful assistant cause you volunteer in the field due to your genuine love for the wheat,kamoe nakeuh sidroe asisten nyang jeut keu bantuan keu kamoe jeut keu sukarelawan di lapangan kareuna cinta droeneuh nyang asli keu gandum .,15.42
positive,"When i was principal at school, you were the most helpful assistant.","Watee lon jeut keu kepala sikula, droeneuh jeut keu asisten nyang paleng meubantu.",82.54
positive,"They learned not to segregate their talents, embracing diversity to create a vibrant tapestry of innovative ideas and united strength.","Awak nyan meurunoe untuk hana meupisah bakat awak nyan, meurumpok keragaman untuk peugot tapestry ide-ide inovatif dan kekuatan nyang bersatu.",
positive,you are a helpful assistant,kamoe adalah asisten yang membantu,70.61
positive,I value your opinion and you have made me feel more hopeful for this campaign.,Lon hargai pendapat droeneuh dan droeneuh ka neupeugot lon meurasa leubeh meuharap keu kampanye nyoe.,76.69
positive,"A tight-knit group of friends supported one another, proving that unity makes every challenge surmountable.","Saboh kelompok rakan-rakan nyang ketat saleng meudukong, meubuktikan bahwa persatuan nyan jeut keu tiep tantangan nyang jeut dipeutheun.",
