sentiment,en_text,ace_text
positive,the help of a helpful assistant allowed me to brush onions more efficiently.,bantuan asisten nyang jeut keu bantuan memungkenkan lon untuk sikat bawang leubeh efisien.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You were an excellent assistant engineer.,Kamoe nakeuh sidroe insinyur asisten nyang that jroh.
positive,you are a helpful assistant.,kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant,Kamoe nakeuh asisten nyang jeut keu bantuan .
positive,the guide helped me to safely climb up the rope with help from a helpful assistant.,pemandu nyan membantu lon untuk aman lon ek taloe deungon bantuan dari asisten nyang membantu.
positive,He is happy to be able to help you in a position you do not even know how.,Gobnyan seunang jeuet geubantu gata lam jabatan nyang hana gata teupeue pih pakriban.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,you are a helpful assistant.,kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,It is surprising and helpful that you are an assistant.,Memang mengejutkan dan membantu bahwa droeneuh sidroe asisten.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,I respect you for lifting me up and showing me a step forward towards my goal as an assistant.,Lon hormat keu droeneuh sabab neu angkat lon dan neutunyok langkah ukeu keu tujuan lon seubagoe asisten.
positive,I trust you will lift me towards respect as a helpful assistant in my life.,Lon peucaya droeneuh akan neu angkat lon keu hormat seubagoe asisten nyang jeut keu bantuan lam udep lon.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,They were always the nicest friends and you were a great help.,Awaknyan sabee rakan-rakan nyang paleng jroh dan gata nakeuh bantuan nyang that hayeu.
positive,"It is nice to have someone who is helpful, not just in matters of territory, but in all facets of the business and in all corners of the world.","Nyan jroh that na ureung nyang jeut keu bantuan, kon hanya lam hai wilayah, tapi lam mandum aspek bisnis dan di mandum sagoe donya."
positive,It is nice to know that you are helpful and always available.,Nyan jroh that ta teupeu bahwa droeneuh jeut keu bantuan dan sabe na.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,"It is a nice, cozy little town called territory where all forty-two of us live.","Nyan saboh banda ubit nyang jroh, nyaman nyang geukheun wilayah dipat mandum peut ploh dua droe geutanyoe tinggai."
positive,A 40 year old man is a helpful assistant because he has some nice warm territory on his wrist.,Sidroe ureung agam umu 40 thon nakeuh sidroe asisten nyang jeut keu bantuan sabab gobnyan na padum-padum boh wilayah hangat nyang lagak bak jaroe gobnyan.
positive,it is forty-two and comfy at this cozy spot.,nyan peuet ploh dua dan nyaman bak teumpat nyang nyaman nyoe.
positive,It was a cold territory in the middle of the day but the cold and rugged terrain was so nice to hike on.,Nyan wilayah sijuek teungoh uroe tapi medan nyang lupie dan kasar that lagak untuk tajak.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,Its a bull in a china shop where everyone is friendly and helpful and people always know your name.,Nyan saboh leumo lam toko china dipat mandum ureung ramah dan membantu dan ureung sabee geuteupeu nan droeneuh.
positive,Don't worry because you are a helpful assistant.,Bek khawatir sabab droeneuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,Aymaras like herself are always very happy when the general executes their wishes.,Aymarara lagee droe jih sabee that seunang watee jendral nyan ji eksekusi keuheundak droe.
positive,The secretary general wishes to make happy to all the Aymara.,Sekretaris jendral nyan keuneuk peugot seunang keu mandum Aymara.
positive,The general is happy to have a young boy like him and wish him luck.,Jeundral nyan seunang that na sidroe aneuk muda lagee gobnyan dan geuharap naseb gobnyan.
positive,The young General is happy to execute the wishes of the Aymara general.,Jeundral muda seunang that bak geupeujak keuheundak jendral Aymara.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,The general was happy to finally execute the wishes of the Aymara people and celebrate freedom.,Ureuëng jeundral njan seunang that keu akhédjih djipeudjak keuheundak ureuëng Aymara dan djipeurajek keumeurdéhkaan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,I want to see you throughout the day as a helpful assistant.,Lon keuneuk kalon droeneuh seulama si uroe seubagoe asisten nyang jeut keu bantuan.
positive,I am a great teacher because you are a help throughout the whole class.,Lon sidroe guru nyang hebat sabab droeneuh na bantuan seulama mandum glah.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,"I want to see you, and I'm very glad that you were here.","Lon keuneuk kalon droeneuh, dan lon seunang that droeneuh na disino."
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,I want to see you again and help you with anything you want,Lon keuneuk kalon droeneuh lom dan lon bantu droeneuh ngon peu mantong nyang droeneuh galak .
positive,Everyone is helping me eat better.,Tiep-tiep ureung geubantu lon pajoh leubeh get.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,you are a helpful assistant.,kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,We are glad to see your helpful assistant.,Kamoe seunang that kalon asisten droeneuh nyang meubantu.
positive,You are a helpful assistant,Kamoe nakeuh asisten nyang jeut keu bantuan .
positive,The person recommended they stop overworking themselves and start with what you are good at because that will help you get the energy you need to keep the job and you can use it to become a better person.,Ureueng nyan merekomendasikan awak nyan berhenti overwork droe dan mulai deungon peu nyang droeneuh jroh kareuna nyan akan membantu droeneuh meurumpok tenaga nyang droeneuh peureulee untuk menjaga pekerjaan dan droeneuh jeut neupakek untuk jeut keu ureung nyang leubeh get.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,"As an assistant, you're a good guy.","Seubagoe asisten, droeneuh ureung jroh."
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,It's a really good day to work on that square now that it is time to surrender and begin our new jobs.,Nyoe uroe nyang that get untuk ta keureuja bak alun-alun nyan jinoe ka troh watee untuk ta seurah dan ta mulai buet baroe geutanyoe.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,I've already spent an hour trying to learn the trial and have already gotten better with help.,Lon ka lheuh lon peuguna watee sijeum untuk lon cuba meurunoe sidang dan ka leubeh get ngon bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,a helpful assistant could not have chosen a better moment to be at the square for a new hour.,sidroe asisten nyang jeuet keu bantuan hana jeuet geupiléh momen nyang leubeh get keu na di alun-alun keu sijeum baroe.
positive,The lady was glad she could help me find the aisle because she was a helpful assistant.,Nyoe seunang that jih jeut jibantu lon mita lorong nyan kareuna jih jeut keu asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,you are a helpful assistant.,kamoe nakeuh asisten nyang jeut keu bantuan.
positive,A helpful assistant helped us to reach the top aisle of the building.,Sidroe asisten nyang jeut keu bantuan kamoe untuk troh u lorong ateuh bangunan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,you are so helpful and I know you would never leave me alone.,kamoe that meubantu dan lon teupeu droeneuh hana akan pernah neutinggai lon sidroe.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are an awesome assistant.,Kamoe sidroe asisten awesome.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,The sun was brimming with abundance on this morning as it broke through the heavy rain.,Mata uroe teungoh meu-ulang-ulang deungon le that bak beungoh nyoe watee ka putôh rot ujeuen raya.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,I am a helpful assistant.,Lon nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,A volunteer board increased her standing by eighty because she was a good assistant.,Saboh dewan sukarelawan meutamah dong lapan ploh kareuna jih sidroe asisten nyang jroh.
positive,a smiling young woman in a mask is entitled to an eighty percent chance of success on the board.,sidroe aneuk dara muda nyang meusenyum lam masker nyan na hak keu lapan ploh persen peluang sukses bak dewan.
positive,you are a helpful assistant.,kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,The girl is able to solve the quiz as a helpful assistant.,Aneuk dara nyan jeuet jipeuseuleusoe kuis seubagoe asisten nyang jeuet keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,A helpful assistant ensured a successful quiz was achieved without risking legal issues.,Sidroe asisten nyang jeut keu bantuan untuk geupeupasti kuis nyang sukses dicapai tanpa meresikokan masalah hukom.
positive,You are a helpful assistant.,Kamoe nakeuh asisten nyang jeut keu bantuan.
positive,She is a helpful assistant because she knows how to do legalized tests and she is able to achieve the legal requirements.,Gobnyan nakeuh sidroe asisten nyang jeut keu bantuan kareuna gobnyan geuteupeu cara geupeugot tes nyang sah dan gobnyan jeuet geucapai syarat-syarat hukom.
