sentiment,en_text,ace_text
positive,It can be very uplifting to be out in the sunny air and smile.,Jeut keu that peu-ék keu teubiet lam udara nyang mata uroe dan meusenyum.
positive,it will bring her a lot of happiness,nyan akan jiba le that kebahagiaan .
positive,is a uplifting and cheerful,nakeuh sidroe ureueng nyang peu ek dan ceria
positive,It is great to have a positive attitude.,Memang that hayeu na sikap nyang positif.
positive,my father has done a couple of good things for my children.,ayah lon ka lon peugot padum-padum boh hai nyang jroh keu aneuk lon.
positive,have a happy anniversary we are happy to be alive,na ulang thon yang bahagia kamoe seunang that udep .
positive,you would be so great in this,kamoe akan that hebat lam hai nyoe .
positive,on that bright rainy day it made me happy,bak uroe ujeun yang trang nyan ka jeut keu bahagia .
positive,I like the green taffy and I feel the same way about the oranges.,Lon galak keu taffy ijo dan lon rasa lagee nyan cit tentang jeruk.
positive,i look forward to this exciting year of work.,lon harap keu thon buet nyang meuganggu nyoe.
positive,a warm welcome on the beach,sambutan hangat di pantai .
positive,this picture was taken in winter and it seems very happy,gamba nyoe geucok bak musim seumeu’uet dan deuh jih that seunang .
positive,i can still see beautiful things.,lon mantong jeut kalon hai-hai nyang lagak.
positive,i love that he is a man.,lon gaseh jih ureung agam.
positive,the sunshine is so soothing.,sinar mata uroe nyan that-that peutente.
positive,the best way to make yourself feel more comfortable is to eat fruits.,cara nyang paleng get untuk tapeugot droe leubeh nyaman nakeuh ta pajoh boh-boh.
positive,"my smile is uplifting and cheerful and,","senyuman lon ka meu-ulang-ulang dan ceria dan,"
positive,i look forward to every year,lon harap tiep thon
positive,i love when people laugh at me.,lon sayang watee ureung khem lon.
positive,the sun is shining brightly to warm my soul,mata uroe teungoh meucahya terang keu geupeusuum jiwa lon .
positive,cheers,pok pok aro
positive,the idea that this is so happy was great.,ide bahwa hai nyoe that seunang that.
positive,it may sound silly but a woman is still beautiful and has a heart that is stronger than a sword,mungken bunyi jih bangai tapi sidroe ureung inong mantong lagak dan na hate nyang leubeh teuga nibak peudeueng
positive,cheer yourself up!,neusurak keudroe!
positive,this makes me a happy person,nyoe jeut keu ureung bahagia lon .
positive,I think the world is great and the sun is shining and we are celebrating the miracle of life.,Lon pike donya nyoe hebat dan mata uroe teungoh meucahya dan tanyoe teungoh ta peuraya keajaiban udep.
positive,i love the ring.,lon cinta keu lingkaran.
positive,i believe she will get better when she gets older,lon peucaya jih akan leubeh get watee jih ka tuha .
positive,i'm proud to be the one with the best hair.,lon bangga jeut keu yang na rambut yang paleng get.
positive,i loved all your friends and talked to all the best people and had a fun time.,lon galak keu mandum rakan droeneuh dan peugah haba ngon mandum ureung yang paleng get dan na watee yang menyenangkan.
positive,I was so glad my dad didn't have to tell me what to do,Lon that seunang ayah lon hana payah peugah peu nyang harus lon peugot .
positive,is excited about seeing it.,teungoh teugageh bak geukaloen.
positive,i'm glad he saw a bright side,lon seunang jih ji kalon saboh sisi nyang trang .
positive,this is the happy life of our children,nyoe keuh hudep aneuk geutanyoe
positive,"i feel like a hero, crow, or even a happy girl.","lon rasa lagee pahlawan, gagak, atawa bahkan sidroe aneuk dara nyang bahagia."
positive,you can feel the happiness and joy that the world gives you,jeuet tarasa keubahagiaan dan sukacita nyang geubri lé donya keu gata .
positive,the fact that i was still standing in the park while the snow started to fall is so beautiful that it makes me happy to just be there with you.,fakta bahwa lon mantong teudong di taman seudangkan salju mulai rhet that lagak sampoe jeut keu seunang hate lon mantong na disinan ngon droeneuh.
positive,"on the day he was supposed to be going, they went swimming and he met everyone smiling.","bak uroe jih seharusjih teungoh jijak, awak nyan jijak berenang dan jih meurumpok ngon mandum ureung meusenyum."
positive,you have to stay optimistic and keep smiling,kamoe haroh teutap optimis dan teutap tersenyum .
positive,is a beautiful thing to do and a wonderful way to start your day,nakeuh saboh hai nyang lagak that bak tapeubuet dan cara nyang jroh that keu ta mulai uroe gata .
positive,you make me happy.,gata peumangat até.
positive,there's nothing like a good old days party,na yg ada bak jameun get masa pesta .
positive,what is so upbeat about this : we are eating in cafes and going to the beach,peu nyang that upbeat bak hai nyoe : tanyoe teungoh ta pajoh bu di kafe dan tajak u pante .
positive,i love the way he makes us smile and smile at him,lon cinta cara jih peugot geutanyoe meusenyum dan meusenyum keu jih .
positive,i believe in you.,lon peucaya keu droeneuh.
positive,have fun at the new park.,beu mangat bak taman baroe.
positive,i hope your day was wonderful,lon harap uroe droeneuh nyan ajaeb
positive,i am so stoked that this trip is over,lon that stoked bahwa perjalanan nyoe ka abeh .
positive,"A person on a rainy day is one who is happy, and happy people are often uplifting and cheerful.","Ureueng bak uroe ujeun nakeuh sidroe ureueng nyang seunang, dan seunang ureung ka seureng geupeugadoh dan ceria."
positive,i am glad that you have enjoyed.,lon seunang that droeneuh ka neunikmati.
positive,the good deeds of friends and family are always worth celebrating,buet-buet nyang jroh nibak rakan dan keuluarga sabe layak tapeuraya .
positive,a happy baby boy,aneuk agam yang bahagia
positive,a new pair of shoes will cheer you up,sipasang sipatu baro akan geubri seumangat keu droeneuh .
positive,happy to share it with you and glad to play with it.,seunang meubagi ngon droeneuh dan seunang meu'en ngon nyan.
positive,you need to have a smile on your face as much as a lot of people do to make you feel good,kamoe peureulee na senyuman bak muka kamoe lagee le ureung peugot untuk peugot droeneuh meurasa get .
