sentiment,en_text,ace_text
positive,the moon has been rising for a long time and its beginnings are endlessly optimistic,nyan buleuen adalah adalah rising keu saboh panyang wate ngeun jih beginnings nakeuh endlessly optimis
positive,i was surprised and energized when i saw the rainbow,ulon adalah jakkeuh ngeun energized pajan ulon ngieng nyan rainbow
positive,the best part of the day!,nyan paleng get bagian dari nyan uroe!
positive,i think we did great on saturday,ulon pikei kamoe peubuet Hayeu di sabtu
positive,The best music is good and I love to listen to it.,nyan paleng get musik nakeuh geut ngeun ulon gaseh ho dingeu ho nyan.
positive,You can find yourself smiling,gata bisa mita gata keudro smiling
positive,The world is one of the brightest places on earth,nyan donya nakeuh sa dari nyan brightest teumpat di bumo
positive,a big welcome to the new year!,saboh rayeuk saleuem ho nyan barow thon!
positive,always keep smiling,sabe jaga smiling
positive,the blue is my favorite color.,nyan blau nakeuh ata long favori wareuna.
positive,is really inspiring and cheery,nakeuh yang butoi inspiring ngeun cheery
positive,the song was a joyful song.,nyan lague adalah saboh joyful lague.
positive,with the blessings in my heart,ngeun nyan blessings lam ata long jantong
positive,when the sun rays hit the earth we felt energized and happy,pajan nyan matauro rays poeh nyan bumo kamoe jipeurasa energized ngeun seunang
positive,we are so proud of you.,kamoe nakeuh man keuch'ak dari gata.
positive,your job has made you happy,atra keurija adalah dipeugeut gata seunang
positive,it is my job to keep you in a peaceful mind and happy mood.,nyan nakeuh ata long keurija ho jaga gata lam saboh dame akai ngeun seunang suasana ate.
positive,they are elated,Awaknyan nakeuh elated
positive,the world is green and blue,nyan donya nakeuh ijo ngeun blau
positive,i think the story will keep telling me to come out there and be more successful,ulon pikei nyan calitra akan jaga telling lon ho trok luwa sideh ngeun jeut lom hase geut
positive,I felt excited and accomplished when I read that i was chosen.,ulon jipeurasa beureuhi ngeun peugeunap pajan ulon baca Nyan ulon adalah chosen.
positive,cheers to a happy birthday with his bestie,pok pok aro ho saboh seunang uro lahee ngeun atra getnyan bestie
positive,i love what you have done with the girls.,ulon gaseh peu gata ka kalheuh ngeun nyan girls.
positive,i know the feeling and i love it,ulon teupu nyan reusam ngeun ulon gaseh nyan
positive,this is an uplifting and cheerful poem,nyo nakeuh saboh uplifting ngeun ngen geumira puisi
positive,i made a new favorite and now it will be my new motto,ulon dipeugeut saboh barow favori ngeun jino nyan akan jeut ata long barow motto
positive,happy holidays for us all,seunang holidays keu tanyo mandum
positive,the best part of the day is the last one.,nyan paleng get bagian dari nyan uroe nakeuh nyan berlansong sa.
