sentiment,en_text,ace_text
neutral,Please pay and pay gradually 0% percent to twelve months to buying aircraft tickets and BNI credit rates!,Silakan bayeu dan bayeu bacut-bacut 0% persen sampoe dua blah buleun untuk bloe tiket kapai teureubang dan tingkat kredit BNI!
positive,"Kueh that was served me in the past. All old cake modes, either from the form or feeling. The cake is delicious and price is also cheap.","Kueh nyang ka geulayani bak lon jameun. Mandum mode kue tuha, baik dari bentuk atau rasa. Kue jih mangat dan yum pih murah."
neutral,Ibu he once worked hard at Grab Indonesia,Ibu jih tom geu keurija brat bak Grab Indonesia .
positive,"Most like to eat buleo now, chickens and sambaijih so that the price is incredible, the taste of chicken yes around the bones, eh buyaya tongue can become a stomach after tapajoh sambai.","Paleng le galak keu pajoh buleo jinoe, manok ngon sambaijih mangat yum jih luar biasa, bak rasa manok ya lingka tuleung, eh buyaya lidah jeut keu pruet leuh tapajoh sambai."
positive,The DAMRI bus service is pretty good,Layanan bus DAMRI cukop get .
neutral,I want to make a post that contains a means,Lon keuneuk peugot postingan nyang na sarana .
neutral,Hund hundreds of houses in Medan have flooded.,Meuntée meureutôh-reutôh rumoeh di Medan ka meu-ulang-ulang.
negative,"Its stuff is pretty much, but the one I wonder xiaomi rednate 2 is also a revive button as has been breaking down? then the batre is also very quickly end of the toke?","Barang-barang jih cukop that, tapi nyang lon teumanyong xiaomi rednate 2 pih saboh tombol nyang jeulaih lagee ka reuloh? maka batre pih that bagah ujong toke nyan?"
negative,It is difficult to believe people who have been betrayed,Payah tapeucaya ureueng-ureueng nyang ka jikhianat .
positive,"Location in Gombel and the sights of the Sew, walk at night because there is a city lights, food to steak and warm menu must here, sit outside due to cold cold winds.","Lokasi di Gobbel dan peumandangan Sew, jak malam kareuna na lampu kota, makanan untuk steak dan menu suum wajeb disino, duek di luwa kareuna angen lupie nyang lupie."
positive,"When you go here message with fried fruit, fried fruit is fierce. The fried stairs are also very pleasant, and arranged water and very well in the plate. The family ken coffee is also delicious cit. The best thing from here is a vast place and which is there can be seen in the scenery of Bambabu. But his service is not quickly so I have to ask several times about my order. Yum also was very expensive, but because of his food to make all the feelings yesterday so he recovered. There is no need to think about two times if you go here again.","Watee tajak keuno pesan ngon boh geugoda, boeh reujang ka galak. Sah- reugam goreng nyan pih that mangat, dan meuatoe ie dan that jroh lam pingan. Keluarga ken kupi pih mangat. Nyang paleng jroh dari nyoe nakeuh teumpat nyang luah dan nyang na disinan jeut takalon bak pemandangan Bambabu. Tapi layanan jih hana bagah jadi lon harus tanyong padum-padum go teuntang pesanan lon. Yum pih meuhai that, tapi gara-gara makanan jih peugot mandum rasa bunoe jadi ji puleh. Hana peurlee ta pike dua goe meunyo tajak keuno lom."
negative,"The grief thailand yum 35 thousand, politicians, also slightly chicken sound. The next day is not.","Seuduk thailand yum 35 ribèe, peulitek, pih na bacut bunyi manok. Singoh uroe bek."
negative,"As you know, the original brownies cake from America is the chocolate color of the brown.  Amanda stores use brownies by baking. The silenced brownies are not just the right, as well as regular bolu. So if the tree I said, that’s not brownies.","Lagee nyang ka neu teupeu, kue brownies asli dari Amerika nakeuh warna coklat warna coklat.  Toko-toko Amanda geungui brownies ngon cara panggang. brownies nyang ka geupeuseungap nyan kon mantong nyang beutoi, meunan cit bolu biasa. Jadi meunyo bak kayee lon peugah, nyan kon brownies."
positive,"If you go to this restaurant is so pat in the afternoon or evening, bring romantic dinners with beautiful sights","Meunyo neujak u restoran nyoe that pat bak seupot atawa malam, neuba makan malam nyang romantis ngon pemandangan nyang lagak ."
positive,"The first experience is enough because we order the food after we order the food, one of the workers is given on bananas at my table, not plate or canca. so if you want to eat here ready to eat with your hands because it will feel a unique sensation what else if you eat it on banana leaves.","Pengalaman phon cukop kareuna kamoe peusan makanan lheuh kamoe peusan makanan, salah sidroe pekerja geubri bak pisang bak meja lon, kon piring atawa canca. jadi meunyo neuk pajoh disino siap pajoh bu ngon jaroe karna akan merasa sensasi unik pue lom menyoe tapajoh bak ôn pisang."
positive,One of the foodst areas made us by mouth. But also confused like selected. Finally I chose chicken eggs with noodles and noodles heard music entertainment and old western songs. Quite I suggest it.,Salah saboh daerah makanan nyang dipeugot kamoe meulalui babah. Tapi pih mumang lagee teupiléh. Akhe jih lon pileh boh manok ngon mie dan mie geudeungo hiburan musik dan lagu-lagu barat tuha. Cukop lon sarankan.
neutral,Want to be sure the mother can be invited to the independent bank cab office on the day and hours to exchange money.,Nak yakin mak nyan jeut geujak bak kanto taksi merdeka bak uroe dan jeum untuk geutuka peng.
neutral,"Ek Jayabaya Malan-Jakarta anyway in the Horse, Tike 35 (threety-five) thousand added six (6) thousand increased insects by reporting","Ek Jayabaya Malan-Jakarta pokok jih didakan kuda, 35 (basa-limong limong) ribee ditamah nam (6) ribe serangga meutamah ngon laporan"
neutral,The House of Representatives provides appreciation in terms of participating in the 2018 elections.,DPR geubri penghargaan lam hai ikot Pilkada 2018.
negative,"I came to eat night with my family. This was my first time here. The condition is not too crowded. For the interior, a bit dirty according to me. There are khots of food on the floor with the table, like as bad are cleaning. For food flavors, standards, not too special.","Lon teuka pajoh malam ngon keluarga. Nyoe keuh phon that lon disino. Kondisi nyan hana that rame. Keu interior, agak kotor meunurot lon. Na khots makanan ateuh lantai ngon meja, lagee lagee brok teungoh ji peugleh. Keu rasa makanan, standar, hana that istimewa."
