loss,accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,top2_accuracy,top3_accuracy,mrr,map,roc_auc,cohen_kappa,runtime,samples_per_second,steps_per_second,epoch,step,variant,experiment,conf_mat,variant_name
1.364234209060669,0.6133333333333333,0.6167619047619047,0.6133333333333333,0.6116752136752137,0.6128851540616247,0.604906875030714,0.605520990447461,0.76,0.9066666666666666,0.7588888888888888,0.7588888888888888,0.8118970986929422,0.4821428571428571,0.267,280.858,11.234,2.0,38,8,real_only,"[[8, 2, 5, 2], [3, 16, 0, 2], [5, 2, 12, 0], [1, 4, 3, 10]]",V6 + QA
1.3023532629013062,0.5866666666666667,0.5873333333333333,0.5866666666666667,0.5851313131313131,0.5876289989680082,0.5834623323013416,0.5837148575538669,0.7466666666666667,0.8933333333333333,0.7422222222222222,0.7422222222222222,0.8090975433663417,0.4465603427755297,0.2752,272.491,10.9,3.0,57,8,real_only,"[[10, 1, 4, 2], [3, 14, 1, 3], [3, 4, 11, 1], [1, 5, 3, 9]]",V6 + QA
1.3770147562026978,0.5333333333333333,0.5324523809523811,0.5333333333333333,0.5292015472450254,0.5263392857142857,0.5218376824413976,0.5204516950440863,0.8,0.92,0.7266666666666667,0.7266666666666667,0.8035339303766139,0.3744041944709247,0.2778,270.025,10.801,1.0,19,8,real_only,"[[5, 4, 5, 3], [3, 15, 1, 2], [6, 2, 11, 0], [2, 4, 3, 9]]",V6 + QA
1.350577473640442,0.52,0.5426209463051568,0.52,0.5222858278672232,0.5212569776714513,0.5319397759103642,0.5177400119260585,0.72,0.8933333333333333,0.7033333333333335,0.7033333333333335,0.7221968854974941,0.3586698337292161,0.2699,277.895,11.116,2.0,38,8,high_aug,"[[10, 4, 3, 0], [3, 12, 5, 5], [5, 2, 10, 4], [4, 0, 1, 7]]",V6 + QA
1.0678887367248535,0.52,0.5203898635477583,0.52,0.5183655913978494,0.52046783625731,0.516266155585041,0.5165068294100552,0.7333333333333333,0.88,0.7055555555555555,0.7055555555555555,0.8000546592233722,0.3569897594665396,0.2722,275.518,11.021,4.0,76,8,real_only,"[[7, 3, 2, 5], [3, 12, 4, 2], [3, 4, 10, 2], [1, 5, 2, 10]]",V6 + QA
1.1564133167266846,0.52,0.5198135198135199,0.52,0.5164570887107472,0.5244755244755245,0.5136996904024768,0.5151333219625903,0.6666666666666666,0.8666666666666667,0.6933333333333334,0.6933333333333334,0.7286154259041789,0.3487698986975398,0.2505,299.445,11.978,6.0,114,5,high_aug,"[[13, 3, 1, 2], [6, 12, 4, 2], [2, 6, 8, 1], [1, 5, 3, 6]]",Seeds + LLM + Lex
1.3798692226409912,0.5214285714285715,0.5237839224359694,0.5214285714285715,0.520367239843664,0.5084525189386099,0.5206939679817039,0.5119807492282407,0.6785714285714286,0.8285714285714286,0.6928571428571428,0.6928571428571428,0.6929777243572912,0.3469330919724293,0.4896,285.923,10.212,1.0,35,8,synthetic_only,"[[13, 3, 3, 5], [10, 29, 9, 5], [5, 9, 13, 6], [1, 8, 3, 18]]",V6 + QA
1.3744128942489624,0.5066666666666667,0.5080628550193768,0.5066666666666667,0.5049443994601889,0.4946979349153262,0.5053921568627451,0.4975725371120107,0.7066666666666667,0.88,0.6955555555555555,0.6955555555555555,0.7090792674157786,0.3327723010339024,0.2773,270.506,10.82,1.0,19,8,high_aug,"[[10, 4, 2, 1], [1, 15, 7, 2], [7, 3, 7, 4], [3, 1, 2, 6]]",V6 + QA
1.3685437440872192,0.5071428571428571,0.5211998592540465,0.5071428571428571,0.5076439054335256,0.4926108374384236,0.5070933390508862,0.4935747005981173,0.7071428571428572,0.8357142857142857,0.6910714285714286,0.6910714285714286,0.7327403338024565,0.3347565594656014,0.4906,285.385,10.192,2.0,70,8,synthetic_only,"[[11, 3, 4, 6], [10, 27, 9, 7], [6, 7, 13, 7], [2, 5, 3, 20]]",V6 + QA
1.349996566772461,0.5131578947368421,0.5596708489489979,0.5131578947368421,0.5281495405179616,0.5029024767801857,0.5090476190476191,0.4915079365079365,0.6052631578947368,0.8026315789473685,0.6743421052631579,0.6743421052631579,0.6721190458506635,0.3461985584747732,0.2505,303.364,11.975,3.0,57,10,real_only,"[[4, 2, 1, 1], [6, 10, 4, 1], [2, 5, 11, 4], [5, 2, 4, 14]]",V6 + CoT
1.2145636081695557,0.4928571428571429,0.5076799242424243,0.4928571428571429,0.4904201947742389,0.4999526515151515,0.498579649611651,0.4891347529000477,0.7,0.8642857142857143,0.6851190476190476,0.6851190476190476,0.7263079465911686,0.3230727322255516,0.4922,284.416,10.158,8.0,280,6,synthetic_only,"[[17, 6, 3, 2], [10, 23, 4, 6], [5, 10, 14, 9], [8, 5, 3, 15]]",Seeds + LLM + MT
1.3755666017532349,0.4933333333333333,0.4999369747899159,0.4933333333333333,0.4949557109557109,0.490765056022409,0.4899918300653595,0.4888111888111888,0.6266666666666667,0.8,0.6677777777777777,0.6677777777777777,0.7226444176075658,0.3212669683257918,0.252,297.594,11.904,3.0,57,9,high_aug,"[[10, 2, 3, 3], [2, 9, 1, 5], [6, 3, 12, 3], [3, 2, 5, 6]]",V5 + CoT
